"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b05150.2","AT5G44040","MRH10.15",1.80455969004824,0.913,0.076,0,0,NA,NA,"male meiosis II, molecular_function, nucleus","DEGs"
"Chir07Ox-b06540.2","AT5G36710","F24C7.9",1.9491773391963,0.832,0.076,0,0,NA,NA,"biological_process, chloroplast, mitochondrion, molecular_function","DEGs"
"Chir03Ox-b12040.2","AT3G12870","MJM20.1",1.57200087185573,0.575,0.079,0,0,NA,NA,"lipid biosynthetic process, mitochondrion, molecular_function, negative regulation of cellular process, organic hydroxy compound biosynthetic process, plasmodesma","DEGs"
"Chir08Ox-b30440.2",NA,NA,1.93567232617661,0.743,0.081,0,0,NA,NA,NA,"DEGs"
"Chir04Ox-b24880.2","AT2G42110","T24P15.2",2.22682181205411,0.933,0.083,0,0,NA,NA,"cell division, embryo development, molecular_function, nucleus","DEGs"
"Chir07Ox-b34930.2","AT4G37490","CYC1",1.12096209485439,0.688,0.087,0,0,NA,NA,"centrosome, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitotic cell cycle phase transition, nucleus, protein binding, regulation of cell growth, regulation of cyclin-dependent protein serine/threonine kinase activity, response to gamma radiation","DEGs"
"Chir01Ox-b02600.2","AT1G03470","NET3A",1.14828948681815,0.874,0.091,0,0,NA,NA,"actin binding, actin filament, cellular catabolic process, cellular lipid metabolic process, monocarboxylic acid metabolic process, nuclear membrane, nucleus, protein catabolic process, regulation of biological quality, response to light stimulus, vacuolar membrane","DEGs"
"Chir03Ox-b04700.2","AT3G05330","ATN",1.17223929044969,0.632,0.094,0,0,NA,NA,"cytokinesis by cell plate formation, cytosol, microtubule associated complex, microtubule binding, mitochondrion, phragmoplast assembly, preprophase band, protein binding, regulation of phragmoplast microtubule organization","DEGs"
"Chir08Ox-b02080.2",NA,NA,2.55105136124679,0.863,0.094,0,0,NA,NA,NA,"DEGs"
"Chir01Ox-b02880.2","AT1G03780","AtTPX2",1.5973363096235,0.806,0.098,0,0,NA,NA,"activation of protein kinase activity, chloroplast envelope, microtubule, microtubule binding, mitotic cell cycle, mitotic spindle, mitotic spindle assembly, nuclear microtubule, nucleoplasm, nucleus, phragmoplast, protein binding, protein kinase activator activity, regulation of mitotic spindle organization, spindle, spindle assembly","DEGs"
