"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"Chir06Ox-b36350.2",0,1.02199647549724,0.284,0.001,0,1,"GEP_31 and DEGs","No"
"Chir03Ox-b29450.2",0,1.18359377779322,0.209,0.002,0,2,"GEP_31 and DEGs","No"
"Chir04Ox-b29550.2",0,1.91146004430918,0.244,0.002,0,3,"GEP_31 and DEGs","No"
"Chir08Ox-b16630.2",0,1.05577832325546,0.259,0.002,0,4,"GEP_31 and DEGs","No"
"Chir05Ox-b02240.2",0,0.53915224605511,0.249,0.002,0,5,"DEGs","Yes"
"Chir04Ox-b18890.2",2.0384023575071e-137,1.08499297188212,0.1,0.002,4.00749903485895e-133,6,"DEGs","No"
"Chir02Ox-b16470.2",0,0.882949007869979,0.214,0.003,0,7,"GEP_3 and DEGs","No"
"Chir06Ox-b36800.2",3.50776822477595e-286,0.688997145139453,0.159,0.003,6.89627232990952e-282,8,"GEP_3 and DEGs","No"
"Chir03Ox-b21760.2",0,1.30028364489345,0.264,0.003,0,9,"GEP_31 and DEGs","No"
"Chir07Ox-b12590.2",0,1.56878150852532,0.244,0.003,0,10,"GEP_31 and DEGs","No"
"Chir08Ox-b05320.2",0,3.0505224638897,0.219,0.004,0,11,"GEP_3 and DEGs","No"
"Chir02Ox-b26600.2",0,1.66877703173416,0.323,0.004,0,12,"GEP_31 and DEGs","Yes"
"Chir04Ox-b12270.2",6.74959472620227e-138,1.59291978232654,0.124,0.004,1.32697032317137e-133,13,"DEGs","No"
"Chir07Ox-b19200.2",5.97141293972021e-86,4.58184073783856,0.1,0.004,1.17397978394899e-81,14,"DEGs","No"
"Chir03Ox-b00160.2",5.55479369267417e-147,0.656158978639591,0.179,0.008,1.09207243997974e-142,15,"GEP_3 and DEGs","No"
"Chir06Ox-b20190.2",1.86935579897199e-46,2.55973516697966,0.109,0.009,3.67515350077894e-42,16,"GEP_3 and DEGs","No"
"Chir03Ox-b06010.2",2.12704232896079e-38,0.788482474383948,0.114,0.012,4.18176521873691e-34,17,"DEGs","Yes"
"Chir02Ox-b15850.2",1.31972244053609e-64,1.51276466582857,0.174,0.017,2.59457431809396e-60,18,"GEP_31 and DEGs","No"
"Chir06Ox-b34070.2",2.05379472103693e-31,0.729747157789002,0.134,0.019,4.0377604215586e-27,19,"GEP_3 and DEGs","No"
"Chir01Ox-b07120.2",5.28085262493221e-121,0.564396686213613,0.264,0.021,1.03821562606167e-116,20,"DEGs","Yes"
"Chir06Ox-b14960.2",1.43935153563909e-73,1.11087941435994,0.224,0.024,2.82976511906646e-69,21,"DEGs","Yes"
"Chir05Ox-b10420.2",1.52517085037996e-90,0.737008279422221,0.254,0.025,2.99848589184701e-86,22,"DEGs","Yes"
"Chir06Ox-b09400.2",2.03231949349806e-13,1.55609915419498,0.104,0.025,3.99554012421719e-09,23,"DEGs","No"
"Chir03Ox-b00420.2",1.07935432366937e-31,1.64774046035636,0.169,0.029,2.12201060033397e-27,24,"GEP_3 and DEGs","No"
"Chir02Ox-b22040.2",3.98982580625036e-60,3.03049248354328,0.244,0.034,7.84399753508822e-56,25,"DEGs","No"
"Chir06Ox-b25450.2",2.65949106500637e-35,1.01323073271563,0.209,0.039,5.22855943380253e-31,26,"DEGs","Yes"
"Chir03Ox-b00650.2",2.25928233984288e-49,0.54764677283988,0.254,0.043,4.4417490801311e-45,27,"DEGs","Yes"
"Chir02Ox-b16030.2",8.71762125257129e-55,1.02063892204476,0.269,0.044,1.71388433825552e-50,28,"GEP_31 and DEGs","Yes"
"Chir05Ox-b21880.2",3.30924300186552e-93,2.01457979090731,0.343,0.045,6.50597174166762e-89,29,"DEGs","No"
"Chir07Ox-b34150.2",6.85020168504914e-31,0.480783231853473,0.234,0.053,1.34674965128066e-26,30,"DEGs","Yes"
"Chir07Ox-b30800.2",2.34810414387779e-11,0.857501409485596,0.174,0.063,4.61637274686373e-07,31,"GEP_3 and DEGs","No"
"Chir03Ox-b15040.2",3.22344724766633e-46,2.87783963085947,0.303,0.063,6.33729728891201e-42,32,"DEGs","No"
"Chir07Ox-b35940.2",1.97493172822646e-10,0.681188732180867,0.179,0.068,3.88271577769321e-06,33,"DEGs","Yes"
"Chir01Ox-b05840.2",2.68764176848795e-05,0.595750237857858,0.149,0.076,0.52839037168473,34,"GEP_3 and DEGs","No"
"Chir02Ox-b03080.2",5.89728151720382e-16,1.09405885506187,0.229,0.078,1.15940554628227e-11,35,"DEGs","No"
"Chir07Ox-b11440.2",1.74208742310119e-05,1.03904487744554,0.159,0.08,0.342494387381693,36,"DEGs","No"
"Chir07Ox-b16040.2",5.30408284212124e-10,0.7598833933274,0.194,0.081,1.04278268676104e-05,37,"GEP_3 and DEGs","No"
"Chir06Ox-b17670.2",4.39209097800985e-17,1.68326942232701,0.249,0.09,8.63485086276736e-13,38,"GEP_31 and DEGs","No"
"Chir01Ox-b27710.2",1.04592026157257e-19,0.458709454886948,0.269,0.091,2.05627923425167e-15,39,"DEGs","Yes"
"Chir02Ox-b12050.2",7.49741339036098e-39,3.2609416086708,0.353,0.098,1.47399147254497e-34,40,"DEGs","No"
