"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir08Ox-b05880.2",0,0.414553339053681,0.124,0.003,0,"Chir08Ox-b05880.2"
"Chir01Ox-b16440.2",0,0.545654958414471,0.132,0.005,0,"Chir01Ox-b16440.2"
"Chir06Ox-b31270.2",0,0.334533402994822,0.146,0.005,0,"Chir06Ox-b31270.2"
"Chir03Ox-b19560.2",6.6814248656307e-215,1.31242078288243,0.103,0.006,1.313568128583e-210,"Chir03Ox-b19560.2"
"Chir08Ox-b19860.2",5.53823411245317e-188,0.275548783024034,0.137,0.013,1.08881682650829e-183,"Chir08Ox-b19860.2"
"Chir02Ox-b19530.2",0,1.38688663694374,0.305,0.014,0,"Chir02Ox-b19530.2"
"Chir08Ox-b03300.2",0,1.59489670054121,0.209,0.014,0,"Chir08Ox-b03300.2"
"Chir06Ox-b16730.2",0,1.53575042581431,0.318,0.015,0,"Chir06Ox-b16730.2"
"Chir06Ox-b25230.2",0,0.963079994883882,0.379,0.015,0,"Chir06Ox-b25230.2"
"Chir05Ox-b17280.2",0,0.296110454445151,0.229,0.018,0,"Chir05Ox-b17280.2"
"Chir06Ox-b16750.2",0,1.89597691077638,0.33,0.018,0,"Chir06Ox-b16750.2"
"Chir05Ox-b08450.2",0,0.28185393880366,0.263,0.021,0,"Chir05Ox-b08450.2"
"Chir06Ox-b29150.2",0,0.387481895614143,0.245,0.021,0,"Chir06Ox-b29150.2"
"Chir03Ox-b15410.2",2.95964450084248e-65,0.250708693859345,0.115,0.025,5.81866108865632e-61,"Chir03Ox-b15410.2"
"Chir04Ox-b19600.2",8.53740145301173e-94,0.426026881564644,0.144,0.028,1.67845312566211e-89,"Chir04Ox-b19600.2"
"Chir03Ox-b13130.2",0,0.445016729685646,0.333,0.029,0,"Chir03Ox-b13130.2"
"Chir01Ox-b34820.2",4.24599617913822e-219,0.470799534260581,0.224,0.031,8.34762848818575e-215,"Chir01Ox-b34820.2"
"Chir06Ox-b31280.2",0,0.688010934074269,0.491,0.032,0,"Chir06Ox-b31280.2"
"Chir06Ox-b31470.2",7.39334657635332e-231,0.326381413609222,0.233,0.032,1.45353193691106e-226,"Chir06Ox-b31470.2"
"Chir01Ox-b25590.2",5.85771851350951e-73,0.404656774834467,0.141,0.033,1.15162745975597e-68,"Chir01Ox-b25590.2"
"Chir07Ox-b09390.2",0,1.73565631207636,0.576,0.034,0,"Chir07Ox-b09390.2"
"Chir07Ox-b35760.2",0,1.20455440202347,0.34,0.035,0,"Chir07Ox-b35760.2"
