"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir01Ox-b25960.2",0,0.66136468244327,0.185,0,0,"Chir01Ox-b25960.2"
"Chir01Ox-b32310.2",0,0.701266590602342,0.156,0,0,"Chir01Ox-b32310.2"
"Chir04Ox-b22260.2",0,0.353365557190285,0.127,0,0,"Chir04Ox-b22260.2"
"Chir04Ox-b27390.2",0,0.62111164973852,0.185,0,0,"Chir04Ox-b27390.2"
"Chir05Ox-b28440.2",0,1.50343929998237,0.549,0.001,0,"Chir05Ox-b28440.2"
"Chir08Ox-b00900.2",0,0.328393138065816,0.231,0.001,0,"Chir08Ox-b00900.2"
"Chir08Ox-b13540.2",0,0.360349764586634,0.22,0.001,0,"Chir08Ox-b13540.2"
"Chir04Ox-b00240.2",0,1.57215883084191,0.179,0.001,0,"Chir04Ox-b00240.2"
"Chir06Ox-b36410.2",0,0.25985596871869,0.225,0.001,0,"Chir06Ox-b36410.2"
"Chir06Ox-b36830.2",0,0.813571403520416,0.277,0.001,0,"Chir06Ox-b36830.2"
"Chir03Ox-b16860.2",0,0.367693187026295,0.121,0.001,0,"Chir03Ox-b16860.2"
"Chir03Ox-b34530.2",0,0.451309393988209,0.116,0.001,0,"Chir03Ox-b34530.2"
"Chir07Ox-b35460.2",4.52967688748204e-274,0.298349128643964,0.127,0.001,8.90534476078968e-270,"Chir07Ox-b35460.2"
"Chir01Ox-b03780.2",0,1.72290934149876,0.451,0.002,0,"Chir01Ox-b03780.2"
"Chir03Ox-b05620.2",0,3.44027598834668,0.445,0.002,0,"Chir03Ox-b05620.2"
"Chir03Ox-b35550.2",0,0.36182994956544,0.272,0.002,0,"Chir03Ox-b35550.2"
"Chir05Ox-b21110.2",0,2.53535377984474,0.416,0.002,0,"Chir05Ox-b21110.2"
"Chir06Ox-b31750.2",0,0.420862041644458,0.277,0.002,0,"Chir06Ox-b31750.2"
"Chir07Ox-b23500.2",0,1.74708416056483,0.728,0.002,0,"Chir07Ox-b23500.2"
"Chir01Ox-b12390.2",0,0.489965938583116,0.202,0.002,0,"Chir01Ox-b12390.2"
"Chir07Ox-b18400.2",3.96719147273501e-211,0.271933062610457,0.133,0.002,7.79949843539703e-207,"Chir07Ox-b18400.2"
"Chir01Ox-b08370.2",0,1.18259826914245,0.48,0.003,0,"Chir01Ox-b08370.2"
"Chir01Ox-b21290.2",0,0.647136584086225,0.208,0.003,0,"Chir01Ox-b21290.2"
"Chir02Ox-b15750.2",0,0.772391703168126,0.514,0.003,0,"Chir02Ox-b15750.2"
"Chir02Ox-b18370.2",0,2.42115985202971,0.566,0.003,0,"Chir02Ox-b18370.2"
"Chir03Ox-b35560.2",0,2.44959124412325,0.671,0.003,0,"Chir03Ox-b35560.2"
"Chir01Ox-b31450.2",1.28125508138954e-298,0.250798306969215,0.185,0.003,2.51894749001184e-294,"Chir01Ox-b31450.2"
"Chir02Ox-b08470.2",1.40828948127656e-296,0.684655556959361,0.185,0.003,2.76869712018973e-292,"Chir02Ox-b08470.2"
"Chir08Ox-b17510.2",2.25851749582409e-285,0.366454331091219,0.173,0.003,4.44024539679016e-281,"Chir08Ox-b17510.2"
"Chir08Ox-b02160.2",1.10438089483672e-198,0.560004815418553,0.145,0.003,2.171212839249e-194,"Chir08Ox-b02160.2"
"Chir07Ox-b21540.2",3.85633246478011e-129,0.364509705672149,0.121,0.003,7.5815496257577e-125,"Chir07Ox-b21540.2"
"Chir01Ox-b07200.2",0,0.426532524938388,0.329,0.004,0,"Chir01Ox-b07200.2"
"Chir01Ox-b17020.2",0,1.66986945482418,0.549,0.004,0,"Chir01Ox-b17020.2"
"Chir05Ox-b21810.2",0,0.343195624676267,0.243,0.004,0,"Chir05Ox-b21810.2"
"Chir06Ox-b31760.2",0,1.30653587765978,0.526,0.004,0,"Chir06Ox-b31760.2"
"Chir01Ox-b32160.2",0,1.2497050603692,0.699,0.005,0,"Chir01Ox-b32160.2"
"Chir06Ox-b32010.2",0,0.357007963458984,0.243,0.005,0,"Chir06Ox-b32010.2"
"Chir07Ox-b08860.2",0,0.505458887593775,0.399,0.005,0,"Chir07Ox-b08860.2"
"Chir02Ox-b17620.2",1.63729040551103e-302,1.36827971233501,0.237,0.005,3.21891293723468e-298,"Chir02Ox-b17620.2"
"Chir03Ox-b23540.2",2.64686609662818e-235,0.445247338649968,0.197,0.005,5.203738745971e-231,"Chir03Ox-b23540.2"
"Chir03Ox-b06360.2",0,0.791805056907202,0.509,0.006,0,"Chir03Ox-b06360.2"
"Chir03Ox-b24280.2",0,1.55123924176394,0.445,0.006,0,"Chir03Ox-b24280.2"
"Chir07Ox-b34180.2",2.16446632253419e-249,0.597765601150133,0.231,0.006,4.25534079010222e-245,"Chir07Ox-b34180.2"
"Chir01Ox-b02960.2",1.55468911482134e-214,0.416580810770205,0.202,0.006,3.05651879973876e-210,"Chir01Ox-b02960.2"
"Chir08Ox-b22700.2",5.32951914918753e-193,0.398919025469034,0.191,0.006,1.04778346473027e-188,"Chir08Ox-b22700.2"
"Chir08Ox-b21640.2",1.21117473533127e-65,1.36361715792897,0.116,0.006,2.38116952966128e-61,"Chir08Ox-b21640.2"
"Chir04Ox-b19970.2",0,0.48703831511898,0.329,0.007,0,"Chir04Ox-b19970.2"
"Chir05Ox-b04350.2",0,1.15748820459391,0.382,0.007,0,"Chir05Ox-b04350.2"
"Chir01Ox-b26060.2",7.5105911875901e-142,0.301590126050578,0.173,0.007,1.47658222748021e-137,"Chir01Ox-b26060.2"
"Chir07Ox-b10380.2",8.62167239318915e-71,0.276335540536639,0.121,0.007,1.69502079250099e-66,"Chir07Ox-b10380.2"
"Chir04Ox-b09450.2",0,0.724009487114955,0.301,0.008,0,"Chir04Ox-b09450.2"
"Chir05Ox-b23410.2",1.84870409777968e-232,0.882188654113426,0.243,0.008,3.63455225623486e-228,"Chir05Ox-b23410.2"
"Chir08Ox-b11790.2",2.8325315624061e-196,0.658533024955419,0.231,0.008,5.5687570516904e-192,"Chir08Ox-b11790.2"
"Chir01Ox-b01210.2",1.19087398644068e-142,0.999386221526327,0.191,0.008,2.34125825734237e-138,"Chir01Ox-b01210.2"
"Chir04Ox-b29930.2",4.29774222206556e-133,0.707514279262619,0.185,0.008,8.44936120858089e-129,"Chir04Ox-b29930.2"
