"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
0,0.261491563038434,0.114,0.001,0,"Chir01Ox-b11000.2"
0,0.368769349131834,0.108,0.001,0,"Chir04Ox-b00760.2"
0,0.255065807212871,0.126,0.001,0,"Chir05Ox-b19300.2"
0,0.262838375066974,0.141,0.002,0,"Chir01Ox-b30110.2"
0,0.35250962719724,0.12,0.002,0,"Chir01Ox-b44730.2"
0,1.07083463219721,0.118,0.002,0,"Chir03Ox-b14400.2"
0,0.294856454204925,0.179,0.002,0,"Chir06Ox-b13350.2"
0,0.610268819981549,0.124,0.002,0,"Chir07Ox-b15200.2"
0,0.294706747549365,0.174,0.002,0,"Chir07Ox-b20360.2"
0,0.354389443884626,0.138,0.002,0,"Chir07Ox-b25650.2"
0,0.683994080940679,0.192,0.002,0,"Chir08Ox-b02170.2"
0,1.2137907552906,0.105,0.003,0,"Chir01Ox-b24800.2"
0,0.474519871316768,0.243,0.003,0,"Chir01Ox-b34720.2"
0,0.388663426689707,0.129,0.003,0,"Chir02Ox-b01840.2"
0,0.35234223569409,0.116,0.003,0,"Chir02Ox-b18880.2"
0,0.2543941976769,0.158,0.003,0,"Chir03Ox-b00160.2"
0,0.41339832985244,0.138,0.003,0,"Chir03Ox-b13010.2"
0,0.355260206605813,0.221,0.003,0,"Chir03Ox-b24310.2"
0,0.310426094242807,0.132,0.003,0,"Chir04Ox-b19900.2"
0,0.889848546381701,0.2,0.003,0,"Chir05Ox-b18600.2"
0,0.50024146047902,0.151,0.003,0,"Chir05Ox-b22210.2"
0,0.502003685013887,0.281,0.003,0,"Chir07Ox-b05400.2"
0,0.265847458251237,0.166,0.003,0,"Chir07Ox-b21220.2"
0,0.380988384212477,0.2,0.003,0,"Chir08Ox-b18660.2"
0,0.254636248307431,0.116,0.004,0,"Chir02Ox-b11600.2"
0,0.493238170214835,0.111,0.004,0,"Chir02Ox-b16600.2"
0,0.811170767140766,0.221,0.004,0,"Chir03Ox-b11140.2"
0,0.405104142155473,0.111,0.004,0,"Chir03Ox-b13020.2"
0,0.35365504455564,0.234,0.004,0,"Chir04Ox-b10460.2"
0,0.42621249494025,0.197,0.004,0,"Chir06Ox-b15170.2"
0,0.268698370767443,0.148,0.004,0,"Chir07Ox-b09160.2"
0,0.438934711101397,0.159,0.005,0,"Chir01Ox-b40900.2"
0,0.61251498911869,0.264,0.005,0,"Chir03Ox-b20670.2"
0,0.913410319346643,0.228,0.005,0,"Chir06Ox-b16360.2"
0,0.437558645275453,0.119,0.005,0,"Chir07Ox-b16330.2"
0,0.334749414148524,0.222,0.005,0,"Chir07Ox-b36520.2"
0,0.263073560302966,0.118,0.005,0,"Chir08Ox-b00580.2"
0,0.409754477995685,0.277,0.006,0,"Chir01Ox-b40990.2"
0,0.252031428364856,0.185,0.006,0,"Chir02Ox-b14750.2"
0,0.557847213871132,0.129,0.006,0,"Chir02Ox-b27480.2"
0,0.359670450080233,0.213,0.006,0,"Chir03Ox-b26790.2"
0,0.490142794691801,0.196,0.006,0,"Chir03Ox-b33030.2"
0,0.333280763719741,0.175,0.006,0,"Chir04Ox-b09070.2"
0,0.368091825273465,0.127,0.006,0,"Chir04Ox-b27610.2"
0,0.269309799603481,0.25,0.006,0,"Chir05Ox-b25480.2"
0,0.285266874970585,0.156,0.006,0,"Chir06Ox-b36510.2"
0,0.560612485342794,0.313,0.006,0,"Chir07Ox-b27210.2"
0,0.884578943214367,0.387,0.007,0,"Chir01Ox-b07120.2"
0,0.721197353201798,0.202,0.007,0,"Chir04Ox-b16290.2"
0,1.36024167780605,0.524,0.007,0,"Chir05Ox-b04070.2"
0,0.429061579972144,0.217,0.007,0,"Chir05Ox-b18430.2"
0,0.465122492733068,0.237,0.007,0,"Chir05Ox-b29100.2"
0,0.855994952175914,0.239,0.007,0,"Chir06Ox-b16370.2"
0,0.511894810393657,0.325,0.008,0,"Chir02Ox-b20640.2"
0,0.391458131184032,0.184,0.008,0,"Chir03Ox-b10170.2"
0,0.911509515952801,0.459,0.008,0,"Chir06Ox-b08200.2"
0,0.256192995167494,0.154,0.008,0,"Chir06Ox-b15150.2"
2.59412479207411e-225,0.575260780928247,0.108,0.008,5.10004934121771e-221,"Chir02Ox-b22230.2"
0,0.572393209617493,0.157,0.009,0,"Chir01Ox-b00670.2"
0,0.527899259563474,0.35,0.009,0,"Chir01Ox-b26430.2"
0,0.390384822625731,0.309,0.009,0,"Chir01Ox-b40160.2"
0,1.20763254463323,0.328,0.009,0,"Chir06Ox-b14280.2"
0,1.40938642391946,0.218,0.009,0,"Chir06Ox-b19550.2"
0,0.270739017851097,0.158,0.01,0,"Chir02Ox-b24180.2"
5.55016088520236e-243,0.27322422441565,0.127,0.01,1.09116163003078e-238,"Chir02Ox-b24930.2"
0,0.690121278024914,0.28,0.011,0,"Chir03Ox-b18390.2"
0,0.407323966381113,0.344,0.011,0,"Chir03Ox-b34660.2"
0,0.40834365131974,0.333,0.011,0,"Chir04Ox-b07640.2"
0,0.345974978126032,0.182,0.011,0,"Chir05Ox-b16370.2"
0,2.05036473716432,0.36,0.011,0,"Chir06Ox-b14960.2"
0,0.252527659811103,0.205,0.011,0,"Chir08Ox-b06530.2"
0,0.947417035749785,0.519,0.012,0,"Chir01Ox-b04520.2"
0,0.28175915214888,0.224,0.012,0,"Chir05Ox-b00970.2"
0,0.268672544365471,0.175,0.012,0,"Chir07Ox-b32000.2"
0,0.548962674872771,0.175,0.012,0,"Chir07Ox-b36270.2"
