"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","17/357","156/21875",7.89228635105961e-10,2.54920849139225e-07,2.01045610205939e-07,"ATDHAR1/NA/SPDS1/ATGSTU20/ATGSTU19/ATGSTF7/ATGSTF10/MAT3/ACS1/AtCGS1/ATGSTF11/ATCYSD1/ATGSTU27/ARATH;BSAS3;1/ATCYS-3A/AtDAHP1/ATCYSD2",17
"GO:0016168","GO:0016168","chlorophyll binding","7/357","21/21875",2.7772448337857e-08,3.90824571529833e-06,3.08227297735765e-06,"AB140/CP22/LHCB2/LHCB4.2/LHCB2/CAB4/LHCA2",7
"GO:0046906","GO:0046906","tetrapyrrole binding","24/357","393/21875",3.62994958077244e-08,3.90824571529833e-06,3.08227297735765e-06,"APX1/BUS1/ATCAT3/AB140/CP22/ALPHA/LHCB2/NA/NA/ATCB5-C/LHCB4.2/CYP90D1/LHCB2/CAB4/LHCA2/APX4/CYP83A1/CYP707A1/PRXR1/ATR4/CYP79B2/SIR/CYP79A2/CYP94B1",24
"GO:0030170","GO:0030170","pyridoxal phosphate binding","12/357","99/21875",7.68140037995272e-08,4.96218464544945e-06,3.91347135147065e-06,"AlaAT1/ALF1/ACS1/AtCGS1/ATCYSD1/CBL/ARATH;BSAS3;1/SHM4/ATCYS-3A/AtGLDP1/ATCYSD2/NA",12
"GO:0070279","GO:0070279","vitamin B6 binding","12/357","99/21875",7.68140037995272e-08,4.96218464544945e-06,3.91347135147065e-06,"AlaAT1/ALF1/ACS1/AtCGS1/ATCYSD1/CBL/ARATH;BSAS3;1/SHM4/ATCYS-3A/AtGLDP1/ATCYSD2/NA",12
"GO:0019842","GO:0019842","vitamin binding","13/357","135/21875",3.41917729797142e-07,1.65874875892817e-05,1.30818706097643e-05,"AlaAT1/P4H5/ALF1/ACS1/AtCGS1/ATCYSD1/CBL/ARATH;BSAS3;1/SHM4/ATCYS-3A/AtGLDP1/ATCYSD2/NA",13
"GO:0043295","GO:0043295","glutathione binding","6/357","19/21875",4.10835605926482e-07,1.65874875892817e-05,1.30818706097643e-05,"ATGSTU20/ATGSTU19/ATGSTF7/ATGSTF10/ATGSTF11/AtGSH2",6
"GO:1900750","GO:1900750","oligopeptide binding","6/357","19/21875",4.10835605926482e-07,1.65874875892817e-05,1.30818706097643e-05,"ATGSTU20/ATGSTU19/ATGSTF7/ATGSTF10/ATGSTF11/AtGSH2",6
"GO:0016209","GO:0016209","antioxidant activity","13/357","139/21875",4.79772788032891e-07,1.72185122816249e-05,1.35795338835041e-05,"APX1/AtSOD1/ATDHAR1/ATCAT3/ANN1/ALPHA/ATGSTF7/NA/ATCM1/APX4/PRXR1/ATFSD1/AtGRXC2",13
"GO:0005507","GO:0005507","copper ion binding","15/357","191/21875",6.16777975341669e-07,1.99219286035359e-05,1.57116073718615e-05,"AtSOD1/ATDHAR1/ANN1/ACO2/ATGSTF7/ATGSTF10/MAT3/CuAO&#950;-zeta/ATMT-1/ARATH;BSAS3;1/ATPCAP1/ATFSD1/MT2B/SIR/ATCIMS",15
"GO:0016829","GO:0016829","lyase activity","20/357","343/21875",1.04850875854086e-06,3.07880299098817e-05,2.42812554609463e-05,"ATGLX1/ASB1/EMB1144/ALF1/ADT3/ATLEUD1/SAMDC/THA2/ATCYSD1/ATNIT1/TRP3/CBL/IPMI1/ARATH;BSAS3;1/ATLEUC1/TSB2/AtFBA2/ATPDX1/AtNIT4/ATCYSD2",20
"GO:0072341","GO:0072341","modified amino acid binding","6/357","24/21875",1.90219079778393e-06,5.12006356403508e-05,4.03798397424308e-05,"ATGSTU20/ATGSTU19/ATGSTF7/ATGSTF10/ATGSTF11/AtGSH2",6
"GO:1901681","GO:1901681","sulfur compound binding","6/357","41/21875",5.02933613743893e-05,0.00108298371492852,0.000854104803691383,"ATGSTU20/ATGSTU19/ATGSTF7/ATGSTF10/ATGSTF11/AtGSH2",6
"GO:0042802","GO:0042802","identical protein binding","18/357","387/21875",7.44546435189312e-05,0.00150305311603842,0.00118539629813035,"ARF5/ANN1/AKN1/AtPFA-DSP2/AS1/IAA16/AQP1/IAA26/ATCM1/ARF18/ATHB-2/PGR5-LIKE/IAA27/ATPDX1/AtGSH2/THI1/ATHB-5/ATHB25",18
"GO:0004601","GO:0004601","peroxidase activity","9/357","112/21875",9.32233808664684e-05,0.00172406606310838,0.00135970013776187,"APX1/ATCAT3/ANN1/ALPHA/ATGSTF7/NA/ATCM1/APX4/PRXR1",9
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","9/357","117/21875",0.000130496778029354,0.00214219259827386,0.00168945937357756,"ACHT4/ATDHAR1/APR2/ATMSRB5/SIR/ATMSRA2/ATH2/AtGRXC2/NA",9
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity","9/357","126/21875",0.000228923962100047,0.00336101998901432,0.00265069850852686,"AtNPF1.2/PHT5;1/AST56/ATNRAMP3/NRT1.12/ORF02/AST12/SULTR3;2/ARAPPT",9
"GO:0005372","GO:0005372","water transmembrane transporter activity","5/357","36/21875",0.000279967160480366,0.00376789136813159,0.00297158126474775,"GAMMA-TIP/PIP2;2/AQP1/GAMMA-TIP2/AtPIP2;1",5
"GO:0015250","GO:0015250","water channel activity","5/357","36/21875",0.000279967160480366,0.00376789136813159,0.00297158126474775,"GAMMA-TIP/PIP2;2/AQP1/GAMMA-TIP2/AtPIP2;1",5
"GO:0016762","GO:0016762","xyloglucan:xyloglucosyl transferase activity","4/357","32/21875",0.00174815234345796,0.0194675425149035,0.0153532517145402,"ATXTH28/EXGT-A1/XTH16/AtXTH22",4
"GO:0000981","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","12/357","272/21875",0.00180813088373717,0.0194675425149035,0.0153532517145402,"NA/NA/AtHB23/ATHB13/ATHB6/ATHB-7/UNE12/ATHB-2/bhlh68/ATHB-16/HAT2/ATHB-5",12
