"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","71/1494","298/25124",2.37012380276625e-24,6.61228334877127e-22,4.09167693349223e-22,"VAP27-2/AtCRT1b/DPMS1/p24delta5/NA/ATDAD1/ANAC013/WPP2/NA/NA/AtCRT1a/NA/ARTUMES/OST1b/ATERDJ2A/OST1a/ATSPP/NA/ABX45/UFD1/NA/NA/ATNPSN11/DAD2/ATMEMB11/NA/NA/PVA12/NA/NA/NA/p24beta2/ATCDC48/NA/NA/ATTSC13/(AT)VAP/NA/NA/NA/HAP6/NA/ATUTR2/BTI1/NA/PPI1/DER1/NA/NA/NA/CER9/ERG9/PRCE2/NA/PAS2/NA/NA/AtTPR7/LCB2/NA/ATVTI11/AtORM2/NA/NA/ATB5-B/NA/ATB5-A/CER3/NA/ATCNX1/DGL1",71
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","70/1494","293/25124",4.2251011813235e-24,6.61228334877127e-22,4.09167693349223e-22,"VAP27-2/AtCRT1b/DPMS1/p24delta5/NA/ATDAD1/ANAC013/NA/NA/AtCRT1a/NA/ARTUMES/OST1b/ATERDJ2A/OST1a/ATSPP/NA/ABX45/UFD1/NA/NA/ATNPSN11/DAD2/ATMEMB11/NA/NA/PVA12/NA/NA/NA/p24beta2/ATCDC48/NA/NA/ATTSC13/(AT)VAP/NA/NA/NA/HAP6/NA/ATUTR2/BTI1/NA/PPI1/DER1/NA/NA/NA/CER9/ERG9/PRCE2/NA/PAS2/NA/NA/AtTPR7/LCB2/NA/ATVTI11/AtORM2/NA/NA/ATB5-B/NA/ATB5-A/CER3/NA/ATCNX1/DGL1",70
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","47/1494","148/25124",3.62741433487682e-22,3.78460228938815e-20,2.34190960567486e-20,"SDH6/NA/TOM20-2/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/NA/NA/ATP3/NA/ATOEP16-3/SDH8/SDH4/NA/NA/mtLPD2/NA/NA/SDH7/ATPQ/NA/AtPAM16/NA/SDH3-2/NA/AtCIB22/NA/MIC60/NA/CI51/NA/NA/RISP/ATP5/SDH2-2/NA/NA/AtPAM16L/cMCU/SDH1-1",47
"GO:0005740","GO:0005740","mitochondrial envelope","66/1494","290/25124",1.46622705803325e-21,1.14732267291102e-19,7.09962575468731e-20,"NA/SDH6/iPGAM1/NA/COQ9/ATCYTC-A/AtTTM2/TOM20-2/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/NA/NA/ATP3/NA/PECT1/ATOEP16-3/SDH8/SDH4/NA/GAPC/AAC1/NA/mtLPD2/NA/NA/SDH7/ATPQ/NA/AtFBA8/BIGYIN/AtPAM16/ATCBG/NA/NDB2/NDB1/SDH3-2/NA/AtCIB22/NA/MIC60/NA/CI51/NA/NA/RISP/ATP5/AAC2/MPT3/AtVDAC-3/NA/AtHIGD2/SDH2-2/NA/NA/AtPAM16L/cMCU/SDH1-1/ATVDAC2",66
"GO:0005746","GO:0005746","mitochondrial respirasome","35/1494","94/25124",2.11099079532596e-19,1.32148023787405e-17,8.17731171242055e-18,"SDH6/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/SDH8/SDH4/NA/NA/mtLPD2/NA/NA/SDH7/NA/NA/SDH3-2/NA/AtCIB22/NA/NA/CI51/NA/RISP/AtHIGD2/SDH2-2/NA/SDH1-1",35
"GO:0098803","GO:0098803","respiratory chain complex","34/1494","89/25124",2.65920823972664e-19,1.38722029839073e-17,8.58411080894213e-18,"SDH6/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/SDH8/SDH4/NA/NA/mtLPD2/NA/NA/SDH7/NA/NA/SDH3-2/NA/AtCIB22/NA/NA/CI51/NA/RISP/SDH2-2/NA/SDH1-1",34
"GO:0070469","GO:0070469","respirasome","35/1494","96/25124",4.68260470314817e-19,2.09379324583626e-17,1.29563799305152e-17,"SDH6/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/ATOEP16-3/SDH8/SDH4/NA/NA/mtLPD2/NA/NA/SDH7/NA/NA/SDH3-2/NA/AtCIB22/NA/NA/CI51/NA/RISP/AtHIGD2/SDH2-2/NA/SDH1-1",35
"GO:0031966","GO:0031966","mitochondrial membrane","59/1494","270/25124",1.65417312537158e-18,6.4719523530163e-17,4.00484019826803e-17,"NA/SDH6/NA/COQ9/AtTTM2/TOM20-2/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/NA/NA/ATP3/NA/PECT1/ATOEP16-3/SDH8/SDH4/NA/NA/mtLPD2/NA/NA/SDH7/ATPQ/NA/BIGYIN/AtPAM16/ATCBG/NA/NDB2/NDB1/SDH3-2/NA/AtCIB22/NA/MIC60/NA/CI51/NA/NA/RISP/ATP5/MPT3/AtVDAC-3/AtHIGD2/SDH2-2/NA/NA/AtPAM16L/cMCU/SDH1-1/ATVDAC2",59
"GO:0005743","GO:0005743","mitochondrial inner membrane","52/1494","216/25124",2.13728133625128e-18,7.4329895360739e-17,4.59952942538287e-17,"SDH6/NA/COQ9/TOM20-2/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/NA/NA/ATP3/NA/ATOEP16-3/SDH8/SDH4/NA/NA/mtLPD2/NA/NA/SDH7/ATPQ/NA/AtPAM16/NA/NDB2/NDB1/SDH3-2/NA/AtCIB22/NA/MIC60/NA/CI51/NA/NA/RISP/ATP5/MPT3/AtHIGD2/SDH2-2/NA/NA/AtPAM16L/cMCU/SDH1-1",52
"GO:0098798","GO:0098798","mitochondrial protein complex","52/1494","219/25124",4.06508084446557e-18,1.27237030431772e-16,7.87341974085963e-17,"SDH6/NA/NA/IAR4/TOM20-2/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/NA/NA/ATP3/NA/ATOEP16-3/SDH8/SDH4/NA/NA/DIN4/mtLPD2/NA/NA/SDH7/ATPQ/NA/AtPAM16/NA/SDH3-2/NA/AtCIB22/NA/MIC60/NA/CI51/NA/NA/RISP/ATP5/SDH2-2/NA/NA/MAB1/AtPAM16L/cMCU/SDH1-1",52
