"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046686","GO:0046686","response to cadmium ion","82/1351","319/21895",2.1479837004559e-29,4.21004805289356e-26,3.39155321124616e-26,"c-NAD-MDH1/TOR2/APX1/iPGAM1/NA/NA/AlaAT1/CAT1/PGM3/ARF1/APT1/ANN1/MSA1/mMDH1/AtCRT1a/PBG1/Hop2/cICDH/ATXYL1/HIPP20/ASK1/AtVAB1/ATPDI6/ATGSTU19/UBC13A/AtFBA3/ATNTRA/NA/ATGRP7/ARF3/PAG1/TBB7/PUR/AtCRL1/FBA6/LEA26/ATCS/ATPDI11/MEE31/GAPC/iPGAM2/ATCDC48/ATSERAT2;2/DDI1/AtDJ1A/PLD/mtLPD2/ATGSKB6/GABA-T/ATPHS2/ALDH2/AAE3/AtFBA8/NA/AtPPa4/ATCTIMC/RHA1B/ATGPX6/SHM4/AtSBP1/ACX1/NA/AtHsp90-7/RPT2a/PCK1/AT-HSC70-1/AtTudor1/GDH2/NA/NA/TRA2/AtFDH1/ATRGP2/GF14/ATCIMS/AtGGCT2;1/BIP/ADF3/AtTudor2/ADK1/NA/TPPJ",82
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","41/1351","125/21895",1.5218926986878e-19,9.94303229809363e-17,8.00996157204106e-17,"c-NAD-MDH1/NA/SDH6/NA/ATCYTC-A/APL2/SDH5/ATPEPC1/NA/APL4/BE3/NA/ATCS/SDH8/SDH4/FUM1/AtUGP1/NA/NA/ATPHS2/SDH7/NA/CSY2/ADNT1/NA/NDB2/SDH3-2/NA/AtCIB22/NA/IDH-V/NA/CI51/NA/RISP/AtVDAC-3/SDH2-2/c-NAD-MDH2/SDHAF2/SDH1-1/SDHAF4",41
"GO:0016192","GO:0016192","vesicle-mediated transport","88/1351","499/21895",2.38808201841074e-19,1.17016018902126e-16,9.4266395463582e-17,"ABCI18/ECH/atgos11/ATRABA1B/p24delta5/ARF1/TNO1/ATSYP61/NA/NA/PRA1.F2/ATSAR1/ADL3/NA/VPS2.1/AP19/ATSLY1/AP4S/SNF7.2/CLC1/AtSYT1/NA/ATRER1B/ATRER1C1/ARF3/ATSKD1/ATVAMP722/ATNPSN11/ATMEMB11/PRA1.B4/NA/CLC2/AT-GDI1/ATGOS12/ARF1A1C/NA/NA/TRAPPC6/NA/p24beta2/ATSYP71/AtCHC1/PRA1.F3/NA/AtCASP/NA/ARFC1/ERD2B/ARA-3/NA/ATELP/ATRAB8/ARA-6/PRA1.B1/ALPHA-SNAP2/ASAR1/NSF/NA/NA/SAY1/AtSEC23F/ATVAMP724/AT-RAB2/AGD8/AP4M/SNF7.1/CAP1/NA/NA/ATGB2/ATRER1A/PRA1.A1/NA/SNX2b/ACT7/NA/ATVTI11/HLB1/NA/FL1/CPI1/ATARLB1/VPS26A/AGD5/TRAPPC3/TRAPPC5/ATGP1/AtRabE1b",88
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","64/1351","365/21895",2.77741019470653e-14,6.80465497703101e-12,5.48173064744711e-12,"AXS2/iPGAM1/ACLA-1/IAR4/ATUGD1/APT1/ATNUDT15/NA/NA/ATMUM4/AT-RSH3/ACLA-2/UGE3/ATRHM1/PGK/AtFBA3/NA/AXS1/ATP3/NSH1/FBA6/ADK/CYT1/ATPMM/MEE31/AtUGP1/GAPC/ACLB-1/iPGAM2/ATRHM3/AtDJ1A/NA/UGD2/UXS5/GMD2/ATPQ/AtFBA8/NA/AtMDD2/ATCTIMC/FKP1/PFK3/PFK1/LKR/NA/APT5/ATP5/UGD3/ATRGP2/AtGNA1/SAMDC2/FAR1/PYR6/GSDA/ACS/UDG4/NA/ACLB-2/NA/MAB1/ATUXS3/ADK1/NA/BETA-UP",64
"GO:0046034","GO:0046034","ATP metabolic process","33/1351","117/21895",7.26307959753093e-14,1.5817373345734e-11,1.2742244907949e-11,"iPGAM1/NA/ATCYTC-A/NA/AtVAB1/PGK/AtFBA3/ATP3/FBA6/GAPC/iPGAM2/NA/ATPQ/NA/AtFBA8/NA/ATCTIMC/NA/PFK3/PFK1/SDH3-2/NA/AtCIB22/NA/CI51/NA/RISP/ATP5/SDH2-2/NA/SDHAF2/NA/SDH1-1",33
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","24/1351","63/21895",1.15715650810904e-13,2.26802675589371e-11,1.82708922333006e-11,"AtGET3a/NA/NA/NA/NA/ATERDJ2A/NA/ATRER1B/ATRER1C1/NA/NA/ATPMM/NA/NA/NA/ERD2B/NA/NA/ATRER1A/NA/NA/NA/NA/NA",24
"GO:0006631","GO:0006631","fatty acid metabolic process","48/1351","244/21895",6.41528066903009e-13,1.04782917594158e-10,8.44115877503959e-11,"ACX3/KCS3/FATB/ACLA-1/LAG13/LACS2/LACS3/ATKCR1/AtCER6/EDA17/ATKAS2/ATECH2/LACS8/ATHPT/PMDH1/FDH/ATCB5-B/KAT2/AtNCER2/CYP86A8/CER8/AAD5/ACP/ACLB-1/PLD/AtPNP-R1/AtFaTA/ATMYB30/SFAR4/AAE3/ACX4/ATTSC13/CSY2/ATT1/FATA2/ATECI3/ACX1/LACS4/CER2/ATOST1/PAS2/PEX4/ATSCP2/KCS20/MOB1-like/ACLB-2/ATGPAT9/CHY1",48
"GO:0006119","GO:0006119","oxidative phosphorylation","17/1351","42/21895",1.43650505138768e-10,1.48186836879993e-08,1.19377151084849e-08,"NA/ATCYTC-A/PGK/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/CI51/NA/RISP/ATP5/SDH2-2/SDHAF2/SDH1-1",17
"GO:0009226","GO:0009226","nucleotide-sugar biosynthetic process","17/1351","42/21895",1.43650505138768e-10,1.48186836879993e-08,1.19377151084849e-08,"AXS2/ATUGD1/ATMUM4/UGE3/ATRHM1/AXS1/CYT1/ATPMM/MEE31/ATRHM3/UGD2/UXS5/GMD2/UGD3/AtGNA1/UDG4/ATUXS3",17
"GO:0009415","GO:0009415","response to water","58/1351","408/21895",2.3964901994325e-09,1.95713366286987e-07,1.57663828910033e-07,"AtLEA14/ATCTL1/AtMYB60/ESL1/ATGSTU17/CDI3/AtMYB124/ATOCT6/ATVOZ1/ATNCED5/ATP8/ANN1/RD21/ATDI19/BDG1/ATGSTU19/AHA1/ATGRP7/AtCRL1/AtPUB23/ABI5/AKR4C9/ATP5CS/GPDHC1/LEA26/ATMYB2/RGLG1/AtCHC1/ATCYS6/ANAC055/ASPG1/ATERF-7/TIC/FMA/ATPHS2/ALDH10A9/AtRZF1/AtCLB/AtATG18a/AtHsp90-7/ATOST1/CER9/ABIG1/RD19/ATPLAT1/ABCG22/ATCYS1/ZIFL1/AtCor6.6/ATBPM1/ATSTP13/ATCBL9/COR78/SPCH/ABI2/HAI1/ANNAT2/ATDI8",58
"GO:0090558","GO:0090558","plant epidermis development","45/1351","283/21895",4.73486511380765e-09,3.7121342492252e-07,2.99044112451009e-07,"AtGET3a/AtSDD1/HDG2/ATCTL1/ICE2/AtMYB124/EPF2/SVB/ADL3/NA/MUS/UBC13A/AtRLP17/AL6/FOCL1/atEPF1/GEM/ATSKD1/CDKB1;2/ATHPP2C5/ATROPGEF4/ABIL1/NA/ABCB4/MUTE/AT-P4H-2/GIR2/SOL1/FMA/ATICE1/ATTSC13/MDIS2/PFK3/RAF28/ATMCB1/ERL2/ACT7/ATWRKY75/WVD2/HLB1/TRY/SPCH/ERL1/SCAP1/KCBP",45
"GO:0010374","GO:0010374","stomatal complex development","19/1351","66/21895",9.76178325938274e-09,6.83324828156792e-07,5.50476499589252e-07,"AtSDD1/ICE2/AtMYB124/EPF2/NA/MUS/AtRLP17/FOCL1/atEPF1/CDKB1;2/ATHPP2C5/MUTE/SOL1/FMA/ATICE1/ERL2/SPCH/ERL1/SCAP1",19
"GO:0080167","GO:0080167","response to karrikin","27/1351","128/21895",1.49430863749149e-08,9.76281643161108e-07,7.8647823025868e-07,"NA/ATGSTU17/CASPL2A1/NA/KUF1/NA/BGLU4/GLI1/FDH/RTNLB5/ATGSTF5/GIR2/ATBFRUCT1/AtFBA8/AtSIP2/SDR1/ALKBH10B/ATECI3/LKR/COR28/ATFLS1/ZIFL1/DIN10/AtLHT1/SMAX1/ATOPT4/sks17",27
"GO:0019693","GO:0019693","ribose phosphate metabolic process","37/1351","217/21895",1.67115350551184e-08,1.04130878963623e-06,8.38863149545833e-07,"iPGAM1/ACLA-1/IAR4/APT1/ATNUDT15/NA/NA/AT-RSH3/ACLA-2/PGK/AtFBA3/NA/ATP3/FBA6/GAPC/ACLB-1/iPGAM2/NA/ATPQ/AtFBA8/NA/AtMDD2/ATCTIMC/FKP1/PFK3/PFK1/LKR/NA/APT5/ATP5/FAR1/PYR6/ACS/NA/ACLB-2/MAB1/NA",37
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","23/1351","97/21895",1.70009598307955e-08,1.04130878963623e-06,8.38863149545833e-07,"AtCRT1b/ATPDI5/NA/AtCRT1a/ATPDI6/UFD1/ATPDI9/ATVAMP722/MUSE2/ATPDI11/ATCDC48/ATPDI4/ATPDI1/AtHsp90-7/ATRMA3/DER1/CER9/AtORM2/BIP/NA/FKBP15-2/ATPDI2/ATCNX1",23
"GO:0001101","GO:0001101","response to acid chemical","58/1351","440/21895",3.83532043150281e-08,2.27794789265016e-06,1.8350815461736e-06,"AtLEA14/ATCTL1/AtMYB60/ESL1/ATGSTU17/CDI3/AtMYB124/ATOCT6/ATVOZ1/ATNCED5/ATP8/ANN1/RD21/ATDI19/BDG1/ATGSTU19/AHA1/ATGRP7/AtCRL1/AtPUB23/ABI5/AKR4C9/ATP5CS/GPDHC1/LEA26/ATMYB2/RGLG1/AtCHC1/ATCYS6/ANAC055/ASPG1/ATERF-7/TIC/FMA/ATPHS2/ALDH10A9/AtRZF1/AtCLB/AtATG18a/AtHsp90-7/ATOST1/CER9/ABIG1/RD19/ATPLAT1/ABCG22/ATCYS1/ZIFL1/AtCor6.6/ATBPM1/ATSTP13/ATCBL9/COR78/SPCH/ABI2/HAI1/ANNAT2/ATDI8",58
"GO:1902600","GO:1902600","proton transmembrane transport","20/1351","80/21895",5.58239900933572e-08,3.01457915480447e-06,2.42850093029361e-06,"ATVHA-C/NA/AtVAB1/NA/AHA1/NA/ATP3/NA/NA/ATPQ/NA/emb2448/NA/PPI1/AHA2/NA/NA/ATP5/NA/NA",20
"GO:0006979","GO:0006979","response to oxidative stress","60/1351","467/21895",5.69078717998804e-08,3.01457915480447e-06,2.42850093029361e-06,"APX1/AtSOD1/AtCRT1b/CDI3/ATDHAR1/CAT1/ATP8/LOL1/ANAC013/ANN1/NA/AtCRT1a/ACO2/DHAR2/ATGSTU19/AtFBA3/ATNTRA/MSRA5/AtOZF1/NA/ATGPX2/CYT1/ATP5CS/FUM1/NA/NA/GAPC/ATMKP2/NA/ATCYS6/NA/AtDJ1A/NA/GABA-T/TIC/FIB4/NPU/AtUSP/AtSIP2/AtATG18a/AT0ZI1/NA/ATGPX6/NA/AtSBP1/AtBBE19/AR1/ATPDX1/ATMSRA3/ATCHS/MBS2/NA/DIN10/AtGRXC2/AtORM2/COR78/ATTSB1/NA/ADF3/ATPDI2",60
"GO:1901137","GO:1901137","carbohydrate derivative biosynthetic process","58/1351","453/21895",1.06621636370801e-07,5.22446018216926e-06,4.20874880411057e-06,"AXS2/ACLA-1/DPMS1/IAR4/ATUGD1/APT1/ATNUDT15/ATDAD1/NA/ATMUM4/AT-RSH3/ACLA-2/ARTUMES/UGE3/OST1b/NA/ATRHM1/GLI1/OST1a/AXS1/NA/ATP3/DAD2/BE3/NA/CYT1/ATPMM/NA/MEE31/ACLB-1/ATRHM3/NA/UGD2/UXS5/GMD2/ATPQ/ATCTIMC/NA/HAP6/NA/NA/NA/APT5/ATP5/UGD3/AtGNA1/SAMDC2/STT3A/PYR6/XGD1/ACS/UDG4/NA/NA/ACLB-2/MAB1/ATUXS3/DGL1",58
"GO:0035383","GO:0035383","thioester metabolic process","14/1351","45/21895",2.96228834365631e-07,1.31956480762872e-05,1.06302213289102e-05,"ACLA-1/IAR4/ATNUDT15/NA/ACLA-2/NA/ACLB-1/AtMDD2/FKP1/LKR/FAR1/ACS/ACLB-2/MAB1",14
"GO:0009651","GO:0009651","response to salt stress","59/1351","485/21895",4.82340671141511e-07,2.1008615898608e-05,1.69242340751407e-05,"ATCTL1/AtSOD1/ESL1/ATGSTU17/NA/AtMYB124/ATOCT6/ATRABA1B/ABCG11/TNO1/ATVOZ1/ATP8/AtSTOP1/ANN1/ABCG12/AtNCL/ATNRP1/ABX45/ATGRP7/ABI5/AKR4C9/CYT1/ATP5CS/GARU/ATMYB2/ATMYB12/BGLU25/RCI2A/ATPEN2/GABA-T/SIZ1/AtCLB/AtATG18a/ATMPK4/AtCDPK6/AtHsp90-7/ATMKK2/ANY1/ATOST1/ATMCB1/RD19/ATPLAT1/ATPDX1/SIS/AtTudor1/MPT3/ATSK13/GASA14/ATBPM1/STT3A/HHP1/FAR1/ATSTP13/ATGH9A1/COR78/COB/AtTudor2/RZFP/ANNAT2",59
"GO:0005996","GO:0005996","monosaccharide metabolic process","25/1351","134/21895",6.06502359415256e-07,2.584227444465e-05,2.08181587899973e-05,"iPGAM1/UGE3/PGK/AtFBA3/FRK1/FBA6/CYT1/ATPMM/GAPC/GAL1/iPGAM2/NA/AtEIN3/GAE6/UXS5/NA/AtFBA8/ATCTIMC/ARA1/ATUGE2/PCK1/ATRGP2/G6PD6/NA/ATUXS3",25
"GO:0010103","GO:0010103","stomatal complex morphogenesis","11/1351","30/21895",8.69487033683567e-07,3.62594592770168e-05,2.92100907172531e-05,"AtSDD1/AtMYB124/EPF2/NA/MUS/AtRLP17/atEPF1/FMA/ERL2/ERL1/SCAP1",11
"GO:0002790","GO:0002790","peptide secretion","9/1351","20/21895",1.13949927857245e-06,4.21399733207924e-05,3.39473469286728e-05,"ECH/ARA-3/ATRAB8/AtHsp90-7/NA/AtTudor1/NA/AtRabE1b/AtTudor2",9
"GO:0009306","GO:0009306","protein secretion","9/1351","20/21895",1.13949927857245e-06,4.21399733207924e-05,3.39473469286728e-05,"ECH/ARA-3/ATRAB8/AtHsp90-7/NA/AtTudor1/NA/AtRabE1b/AtTudor2",9
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","9/1351","20/21895",1.13949927857245e-06,4.21399733207924e-05,3.39473469286728e-05,"ECH/ARA-3/ATRAB8/AtHsp90-7/NA/AtTudor1/NA/AtRabE1b/AtTudor2",9
"GO:0071692","GO:0071692","protein localization to extracellular region","9/1351","20/21895",1.13949927857245e-06,4.21399733207924e-05,3.39473469286728e-05,"ECH/ARA-3/ATRAB8/AtHsp90-7/NA/AtTudor1/NA/AtRabE1b/AtTudor2",9
"GO:0009743","GO:0009743","response to carbohydrate","26/1351","163/21895",7.66215851491943e-06,0.000243734501821809,0.000196348954206613,"AtMYB60/AtSOD1/NA/NA/XLG3/NA/AtVAB1/NA/ATTPS1/PGK/ABX45/ABI5/MEE31/GAPC/BCE2/DIN4/AtEIN3/NA/ATMCB1/TRA2/DIN10/HHP1/AtbZIP63/ATSCP2/NA/COR78",26
"GO:0062197","GO:0062197","cellular response to chemical stress","22/1351","126/21895",8.66630637934355e-06,0.000269302613293696,0.000216946251310711,"APX1/AtSOD1/ATOCT6/ATDHAR1/LOL1/ANAC013/AtSTOP1/AtNCL/ATWRKY6/ACO2/DHAR2/ATNTRA/MSRA5/ATMKP2/AtDJ1A/SIZ1/MCA1/ATMSRA3/MBS2/ATBPM1/AtGRXC2/RZFP",22
"GO:0044282","GO:0044282","small molecule catabolic process","34/1351","246/21895",8.79355471979416e-06,0.000269302613293696,0.000216946251310711,"ACX3/iPGAM1/AlaAT1/NA/NA/MSA1/ATECH2/GLI1/PMDH1/KAT2/NA/NSH1/PGD2/iPGAM2/DIN4/NA/GABA-T/NA/AAE3/ACX4/ATCTIMC/CSY2/SHM4/ATECI3/ACX1/LKR/CYCLASE1/GDH2/AtFDH1/PEX4/GSDA/ATSCP2/NA/CHY1",34
"GO:0006085","GO:0006085","acetyl-CoA biosynthetic process","7/1351","15/21895",1.39030741135472e-05,0.00040671679496347,0.0003276451087246,"ACLA-1/IAR4/ACLA-2/ACLB-1/ACS/ACLB-2/MAB1",7
"GO:0051643","GO:0051643","endoplasmic reticulum localization","6/1351","11/21895",1.92644545629197e-05,0.000531807478074968,0.000428416335720973,"VAP27-2/AtSYT1/PVA12/(AT)VAP/NA/NA",6
"GO:0061817","GO:0061817","endoplasmic reticulum-plasma membrane tethering","6/1351","11/21895",1.92644545629197e-05,0.000531807478074968,0.000428416335720973,"VAP27-2/AtSYT1/PVA12/(AT)VAP/NA/NA",6
