"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","90/469","197/21895",6.5485041865928e-98,6.79079884149673e-95,5.35598710840274e-95,"PSB27/OE23/PSAO/CLPP6/GAPA-2/PnsL2/CP24/NDF6/LHCA2*1/ATLFNR2/PYG7/AB140/PRK/OHP2/GAPB/Lhca5/FTSH1/NA/AtTLP18.3/NDF5/ZKT/PSAG/cPGK2/ATFD2/LHCA3/NDF2/RBCS1A/PSBY/CRR23/LIL8/LPA3/LQY1/NA/NA/PSBR/LHCB2/AtPGR5/PSB29/PDTPI/PSBW/FTSH2/LHB1B1/EDA3/PnsL1/ATFER4/CURT1B/CP12/PnsL3/ATCYP38/ATBCA1/EMB3119/LHCB4.2/NDF4/GBP/LHCB2/CAB4/OEC33/cfbp1/LHCA1/PDE329/PPL1/SBPASE/NA/AtTKL1/LHCA2/TROL/MPH2/PETC/ATPC1/PSBQ/ATPD/LHCB5/PAM68/PSBQ/PGR5-LIKE/NARA5/PPH1/FAD6/AtHMAC6/HCF244/LHCB4.1/FTRA2/PPD5/NA/AtProRS-Org/LHCB3/EMB2728/PSAN/ATLFNR1/MSP-1",90
"GO:0019684","GO:0019684","photosynthesis, light reaction","66/469","128/21895",4.45667908977264e-76,2.31078810804712e-73,1.82254718565966e-73,"PSB27/OE23/PSAO/PnsL2/CP24/NDF6/LHCA2*1/PYG7/AB140/OHP2/Lhca5/FTSH1/NA/AtTLP18.3/NDF5/ZKT/PSAG/ATFD2/LHCA3/NDF2/PSBY/CRR23/LIL8/LPA3/LQY1/PSBR/LHCB2/AtPGR5/PSB29/PSBW/FTSH2/LHB1B1/EDA3/CURT1B/PnsL3/ATCYP38/LHCB4.2/NDF4/GBP/LHCB2/CAB4/OEC33/cfbp1/LHCA1/PDE329/NA/LHCA2/TROL/MPH2/PETC/ATPC1/PSBQ/ATPD/LHCB5/PAM68/PSBQ/PGR5-LIKE/PPH1/FAD6/AtHMAC6/HCF244/LHCB4.1/LHCB3/PSAN/ATLFNR1/MSP-1",66
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","80/469","351/21895",6.98902888013649e-59,2.41587431623385e-56,1.90542997890037e-56,"PSB27/OE23/PSAO/PnsL2/CP24/NDF6/LHCA2*1/PYG7/AB140/FdC2/OHP2/Lhca5/FTSH1/NA/AtTLP18.3/NDF5/ZKT/PSAG/cPGK2/ATFD2/LHCA3/NDF2/PSBY/CRR23/LIL8/LPA3/LQY1/PSBR/LHCB2/AtPGR5/PSB29/PDTPI/AtFBA1/PSBW/FTSH2/LHB1B1/EDA3/CURT1B/PnsL3/ATCYP38/EMB3119/LHCB4.2/PIFI/NDF4/GBP/LHCB2/CAB4/PGL2/OEC33/cfbp1/LHCA1/PDE329/NA/AtTKL1/LHCA2/TROL/MPH2/PETC/ATPC1/PSBQ/ATPD/LHCB5/FdC1/PAM68/PSBQ/PGR5-LIKE/PPH1/FAD6/AtHMAC6/HCF244/AtFBA2/LHCB4.1/ADG2/PGL5/LHCB3/NADP-MDH/EMB2728/PSAN/ATLFNR1/MSP-1",80
"GO:0009657","GO:0009657","plastid organization","64/469","311/21895",4.70174054284321e-44,1.2189262357321e-41,9.61382210997152e-42,"ATTIC110/ABC1/CRB/CLPP6/CLP2/AtLrgB/RPL21C/SGRL/CP22/NA/CLPR1/GDC1/cPGK2/EMB1303/ATSCO1/PTAC4/PSRP3/1/FLN2/HPE1/RIQ2/CS17/APG2/NA/PSB29/PDTPI/ATSULA/AtIF3-2/CH-CPN60A/ALB3/FTSH2/AtCGL160/EMB3113/EDA3/PSRP4/PDE328/CURT1B/TRX/ABCI6/FIB4/FLN1/PSRP5/ACSF/APG3/CSP41A/AtcpRRF/CURT1A/PTAC14/ATRAB8D/CGA1/EMB2797/mTERF6/SAMC1/RIQ1/ATYLMG2/emb1211/CDF1/HCF136/PDE225/AtRH3/ATPRFB/CLPP4/ATHSP93-V/ANU7/RPL24",64
"GO:0009767","GO:0009767","photosynthetic electron transport chain","30/469","48/21895",1.70776450583466e-38,3.54190358510109e-36,2.79354320217586e-36,"PSAO/PnsL2/NDF6/NDF5/PSAG/ATFD2/NDF2/PSBY/CRR23/AtPGR5/FTSH2/CURT1B/PnsL3/NDF4/GBP/OEC33/cfbp1/TROL/PETC/ATPC1/PSBQ/ATPD/PSBQ/PGR5-LIKE/PPH1/FAD6/AtHMAC6/PSAN/ATLFNR1/MSP-1",30
"GO:0033014","GO:0033014","tetrapyrrole biosynthetic process","32/469","74/21895",5.25886547883511e-34,9.08907250258669e-32,7.16866399483313e-32,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/HO2/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/CGA1/PORB/HEMC/ABAR/DVR/LIL3:2/ATHSP93-V/PORA/EMB3143/GSA1",32
"GO:0006778","GO:0006778","porphyrin-containing compound metabolic process","35/469","99/21895",2.16717567147061e-33,3.21051595902146e-31,2.53217367929723e-31,"ATCPO-I/POR/ALB-1V/ATCAO/EMB1303/AtHEMA1/ALAD1/NA/PSB29/HO2/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/CGA1/PORB/HEMC/ABAR/DVR/CLD1/LIL3:2/ATHSP93-V/PORA/EMB3143/GSA1",35
"GO:0015995","GO:0015995","chlorophyll biosynthetic process","30/469","64/21895",2.76495282787519e-33,3.58407010313321e-31,2.82680045691977e-31,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/HEME2/NTRC/PDE326/FLU/HEME1/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/CGA1/PORB/HEMC/ABAR/DVR/LIL3:2/ATHSP93-V/PORA/EMB3143/GSA1",30
"GO:0033013","GO:0033013","tetrapyrrole metabolic process","35/469","100/21895",3.26964232992386e-33,3.76735455125672e-31,2.97135917000098e-31,"ATCPO-I/POR/ALB-1V/ATCAO/EMB1303/AtHEMA1/ALAD1/NA/PSB29/HO2/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/CGA1/PORB/HEMC/ABAR/DVR/CLD1/LIL3:2/ATHSP93-V/PORA/EMB3143/GSA1",35
"GO:0006779","GO:0006779","porphyrin-containing compound biosynthetic process","31/469","71/21895",3.86399387065824e-33,4.0069616438726e-31,3.16034025000153e-31,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/CGA1/PORB/HEMC/ABAR/DVR/LIL3:2/ATHSP93-V/PORA/EMB3143/GSA1",31
