"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005507","GO:0005507","copper ion binding","17/436","191/21875",3.07243829288058e-07,0.000123512019373799,0.000105756560186521,"ATDHAR1/NA/ANN1/ATGSTF7/FBA6/ENO2/MAT3/GAPC/ATMT-1/ADK1/ATGSKB6/ATCTIMC/ATSAHH1/ATPCAP1/ADK2/ATCIMS/GDH1",17
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","6/436","31/21875",2.92248119417293e-05,0.00497856724293258,0.00426287375867755,"TUB5/TUB1/ACT2/ACT7/TUB8/TUB4",6
"GO:0042802","GO:0042802","identical protein binding","21/436","387/21875",3.71534868875566e-05,0.00497856724293258,0.00426287375867755,"PAP3/FHY2/ANN1/AtHB33/ATOEP16-1/AS1/PEX11D/IAA16/DUT1/AtGATA18/ARF18/ATXT2/ATSK21/ATHB22/IAA27/JKD/ATCM2/THI1/TOE2/ATHB-5/ATHB25",21
"GO:0016872","GO:0016872","intramolecular lyase activity","4/436","12/21875",6.78688225467869e-05,0.00682081666595209,0.00584029078231561,"ATIPS2/A11/ATIPS1/AtCHIL",4
"GO:0042803","GO:0042803","protein homodimerization activity","13/436","205/21875",0.0002540496799402,0.020425594267192,0.0174893148085148,"FHY2/ANN1/AtHB33/ATOEP16-1/AS1/AtGATA18/ATXT2/ATHB22/JKD/ATCM2/THI1/ATHB-5/ATHB25",13
"GO:0043295","GO:0043295","glutathione binding","4/436","19/21875",0.000475743175404506,0.024894750838647,0.0213160081807739,"ATGSTU19/ATGSTF7/ATGSTF11/ATGSTF12",4
"GO:1900750","GO:1900750","oligopeptide binding","4/436","19/21875",0.000475743175404506,0.024894750838647,0.0213160081807739,"ATGSTU19/ATGSTF7/ATGSTF11/ATGSTF12",4
"GO:0046527","GO:0046527","glucosyltransferase activity","12/436","192/21875",0.000495417927137254,0.024894750838647,0.0213160081807739,"ATXTH28/GBSS1/EXGT-A1/NA/AtXTH32/ATSAGT1/ATRGP1/GT72B1/NA/XTH7/UGT78D2/CESA6",12
"GO:0016829","GO:0016829","lyase activity","17/436","343/21875",0.00057144526126003,0.025524555002948,0.021855274904331,"ATGLX1/ATMGL/GAD2/NA/AtFBA3/ALF1/FBA6/ENO2/ATPPC2/SAMDC/ATCYSD1/NA/NA/AtHNL/AtNIT4/NA/ATUXS3",17
"GO:0072341","GO:0072341","modified amino acid binding","4/436","24/21875",0.00120547220096938,0.0466267843390036,0.0399239551685105,"ATGSTU19/ATGSTF7/ATGSTF11/ATGSTF12",4
"GO:1901681","GO:1901681","sulfur compound binding","5/436","41/21875",0.00127585728290806,0.0466267843390036,0.0399239551685105,"ACBP/ATGSTU19/ATGSTF7/ATGSTF11/ATGSTF12",5
"GO:0030570","GO:0030570","pectate lyase activity","4/436","25/21875",0.00141270583315736,0.0473256454107717,0.0405223515300402,"NA/NA/NA/NA",4
"GO:0016209","GO:0016209","antioxidant activity","9/436","139/21875",0.00191673924408305,0.0550296605514726,0.0471188766701533,"ATDHAR1/ATCAT3/ANN1/TPX1/ATGSTF7/NA/PRXR1/ATPLAT1/AtGRXC2",9
"GO:0009678","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","5/436","45/21875",0.00194903589832955,0.0550296605514726,0.0471188766701533,"ATVHA-C2/VHA-E3/VHA-A/AVMA10/VAG2",5
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","10/436","168/21875",0.0020533455429654,0.0550296605514726,0.0471188766701533,"c-NAD-MDH1/ATCCR1/AtHMGR1/NA/ATCAD4/EDA9/AtFDH1/DFR/ADH2/NA",10
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","17/436","394/21875",0.00253814817301773,0.0637709728470706,0.0546035824063684,"NA/NA/ATXTH28/BGLU45/ATGH9B1/NA/EXGT-A1/AtXTH32/BGLU43/BGLU44/AtGH9B13/AT-BETA-AMY/AtBGLU10/A/N-InvB/BGAL3/XTH7/ATGH9A1",17
"GO:0016846","GO:0016846","carbon-sulfur lyase activity","4/436","31/21875",0.00319839512087724,0.0672037092981968,0.0575428461390688,"ATGLX1/ATMGL/ALF1/ATCYSD1",4
"GO:0050897","GO:0050897","cobalt ion binding","5/436","51/21875",0.0033998211224283,0.0672037092981968,0.0575428461390688,"ATCAT3/ATCYS6/SHM4/CBSX3/GDH1",5
"GO:0016762","GO:0016762","xyloglucan:xyloglucosyl transferase activity","4/436","32/21875",0.00359858243431407,0.0672037092981968,0.0575428461390688,"ATXTH28/EXGT-A1/AtXTH32/XTH7",4
"GO:0016837","GO:0016837","carbon-oxygen lyase activity, acting on polysaccharides","4/436","32/21875",0.00359858243431407,0.0672037092981968,0.0575428461390688,"NA/NA/NA/NA",4
"GO:0030170","GO:0030170","pyridoxal phosphate binding","7/436","99/21875",0.00367781493671724,0.0672037092981968,0.0575428461390688,"ATSDC1/ATMGL/GAD2/ALF1/ATCYSD1/PHS1/SHM4",7
"GO:0070279","GO:0070279","vitamin B6 binding","7/436","99/21875",0.00367781493671724,0.0672037092981968,0.0575428461390688,"ATSDC1/ATMGL/GAD2/ALF1/ATCYSD1/PHS1/SHM4",7
"GO:0000156","GO:0000156","phosphorelay response regulator activity","4/436","33/21875",0.00403143496684775,0.070462472029252,0.0603331457281105,"ARR4/ARR3/ARR5/APRR7",4
"GO:0016758","GO:0016758","transferase activity, transferring hexosyl groups","15/436","353/21875",0.00509386621323295,0.0853222590716519,0.0730567654266305,"ATXTH28/GBSS1/EXGT-A1/NA/AtXTH32/ATSAGT1/ATRGP1/PHS1/GT72B1/ATXT2/NA/XTH7/UGT78D2/ATCSLA02/CESA6",15
"GO:0005372","GO:0005372","water transmembrane transporter activity","4/436","36/21875",0.0055378648182813,0.085623909882657,0.07331505245255,"GAMMA-TIP/GAMMA-TIP2/PIP2;5/PIP1;4",4
"GO:0015250","GO:0015250","water channel activity","4/436","36/21875",0.0055378648182813,0.085623909882657,0.07331505245255,"GAMMA-TIP/GAMMA-TIP2/PIP2;5/PIP1;4",4
"GO:0004364","GO:0004364","glutathione transferase activity","5/436","59/21875",0.00636699017169878,0.0937899443737748,0.0803071793930986,"ATDHAR1/ATGSTU19/ATGSTF7/ATGSTF11/ATGSTF12",5
"GO:0016830","GO:0016830","carbon-carbon lyase activity","7/436","110/21875",0.00653263294145695,0.0937899443737748,0.0803071793930986,"GAD2/AtFBA3/FBA6/ATPPC2/SAMDC/AtHNL/ATUXS3",7
"GO:0004601","GO:0004601","peroxidase activity","7/436","112/21875",0.00719148522565921,0.0975375818591817,0.0835160755903441,"ATCAT3/ANN1/TPX1/ATGSTF7/NA/PRXR1/ATPLAT1",7
"GO:0019829","GO:0019829","ATPase-coupled cation transmembrane transporter activity","5/436","61/21875",0.00732596662499879,0.0975375818591817,0.0835160755903441,"ATVHA-C2/VHA-E3/VHA-A/AVMA10/VAG2",5
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","10/436","202/21875",0.00752155481998665,0.0975375818591817,0.0835160755903441,"c-NAD-MDH1/ATCCR1/AtHMGR1/NA/ATCAD4/EDA9/AtFDH1/DFR/ADH2/NA",10
"GO:0033218","GO:0033218","amide binding","7/436","114/21875",0.00789831946448229,0.0975507372839814,0.0835273398582401,"ACBP/ATGSTU19/AtCYP19-1/ER/ATGSTF7/ATGSTF11/ATGSTF12",7
"GO:0035251","GO:0035251","UDP-glucosyltransferase activity","8/436","144/21875",0.00836895711958778,0.0975507372839814,0.0835273398582401,"GBSS1/NA/ATSAGT1/ATRGP1/GT72B1/NA/UGT78D2/CESA6",8
"GO:0003779","GO:0003779","actin binding","7/436","117/21875",0.0090528835465032,0.0975507372839814,0.0835273398582401,"AtVAB3/WLIM2a/FH2/WLIM2b/AtVAB2/PFN3/ADF4",7
"GO:0016832","GO:0016832","aldehyde-lyase activity","3/436","22/21875",0.00913842621454553,0.0975507372839814,0.0835273398582401,"AtFBA3/FBA6/AtHNL",3
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","3/436","22/21875",0.00913842621454553,0.0975507372839814,0.0835273398582401,"ATVHA-C2/VHA-E3/VHA-A",3
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","3/436","22/21875",0.00913842621454553,0.0975507372839814,0.0835273398582401,"ATVHA-C2/VHA-E3/VHA-A",3
"GO:0008092","GO:0008092","cytoskeletal protein binding","13/436","308/21875",0.00925770453031697,0.0975507372839814,0.0835273398582401,"AtVAB3/NA/CC1/WLIM2a/FH2/WLIM2b/ATPCAP1/MAP65-2/ATK2/AtVAB2/ATRAB/PFN3/ADF4",13
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","7/436","118/21875",0.00946387749769968,0.0975507372839814,0.0835273398582401,"ATCAT3/ANN1/TPX1/ATGSTF7/NA/PRXR1/ATPLAT1",7
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","4/436","43/21875",0.0104056339885611,0.104576621585039,0.0895432187963022,"ATCCR1/ALDH10A8/GAPC/AtFDH1",4
"GO:0042277","GO:0042277","peptide binding","6/436","93/21875",0.010770859803212,0.105606966851006,0.0904254468716388,"ATGSTU19/AtCYP19-1/ER/ATGSTF7/ATGSTF11/ATGSTF12",6
"GO:0102483","GO:0102483","scopolin beta-glucosidase activity","4/436","45/21875",0.0121794842387208,0.116575063427756,0.0998168257158322,"BGLU45/BGLU43/BGLU44/AtBGLU10",4
"GO:0015926","GO:0015926","glucosidase activity","7/436","127/21875",0.013798447065806,0.128999435359395,0.110455133182829,"NA/BGLU45/NA/BGLU43/BGLU44/AtBGLU10/A/N-InvB",7
"GO:0008553","GO:0008553","proton-exporting ATPase activity, phosphorylative mechanism","3/436","26/21875",0.0145504232164497,0.132937957568472,0.113827473487537,"VHA-E3/AVMA10/VAG2",3
"GO:0019206","GO:0019206","nucleoside kinase activity","2/436","10/21875",0.0160441262354946,0.140211711884105,0.120055589908621,"ADK1/ADK2",2
"GO:0035252","GO:0035252","UDP-xylosyltransferase activity","2/436","10/21875",0.0160441262354946,0.140211711884105,0.120055589908621,"ATXT2/UF3GT",2
"GO:0016853","GO:0016853","isomerase activity","11/436","262/21875",0.0165100576623764,0.141213684686709,0.120913524201502,"ATICS2/AtCYP19-1/ATIPS2/ATRGP1/iPGAM2/GAE6/A11/ATCTIMC/ATIPS1/AtCHIL/ATCM2",11
"GO:0051015","GO:0051015","actin filament binding","5/436","75/21875",0.0169777920874317,0.14218900873224,0.121748640626977,"AtVAB3/WLIM2a/WLIM2b/AtVAB2/ADF4",5
"GO:0008810","GO:0008810","cellulase activity","3/436","28/21875",0.0178058592845481,0.143798575672842,0.123126824417437,"ATGH9B1/AtGH9B13/ATGH9A1",3
"GO:0042625","GO:0042625","ATPase-coupled ion transmembrane transporter activity","5/436","76/21875",0.0178853949841843,0.143798575672842,0.123126824417437,"ATVHA-C2/VHA-E3/VHA-A/AVMA10/VAG2",5
"GO:0019842","GO:0019842","vitamin binding","7/436","135/21875",0.0187078170882006,0.147461617048169,0.126263285610766,"ATSDC1/ATMGL/GAD2/ALF1/ATCYSD1/PHS1/SHM4",7
"GO:0002020","GO:0002020","protease binding","2/436","11/21875",0.019353536007986,0.149617720677123,0.128109438757316,"VHA-A/AT-HSC70-1",2
