"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099503","GO:0099503","secretory vesicle","18/504","174/25124",1.53989026003395e-08,2.35603209785195e-06,2.05859013709802e-06,"NA/ATGLX1/FLA7/NA/NA/scpl26/NA/NA/ATEXLA1/HINT1/AT-BETA-AMY/ATPLAT1/ML3/AtGRXC2/DIR1-like/FLA1/AALP/ARA12",18
"GO:0048046","GO:0048046","apoplast","23/504","301/25124",5.23652115816041e-08,4.00593868599272e-06,3.50020098466512e-06,"c-NAD-MDH1/ATCTL1/NA/ATDHAR1/ATCAT3/ANN1/PGK/NA/ATGSTF7/ENO2/ATSFGH/ATPPC2/GAPC/iPGAM2/ADK1/NA/NA/ATCTIMC/AT-HSC70-1/ATCIMS/ADG1/RALF34/ARA12",23
"GO:0005777","GO:0005777","peroxisome","21/504","324/25124",2.87479272093912e-06,0.000109960821575921,9.60785988313864e-05,"ACD31.2/ATGLX1/ATDHAR1/NA/ATCAT3/AtHMGR1/ATGRP7/ATOEP16-1/RPT2/ATGSTF7/NA/PEX11D/HINT1/NA/NA/ATGRP8/ATRAB/ATCIMS/ATSCP2/ADH2/KAT5",21
"GO:0042579","GO:0042579","microbody","21/504","324/25124",2.87479272093912e-06,0.000109960821575921,9.60785988313864e-05,"ACD31.2/ATGLX1/ATDHAR1/NA/ATCAT3/AtHMGR1/ATGRP7/ATOEP16-1/RPT2/ATGSTF7/NA/PEX11D/HINT1/NA/NA/ATGRP8/ATRAB/ATCIMS/ATSCP2/ADH2/KAT5",21
"GO:0009505","GO:0009505","plant-type cell wall","17/504","235/25124",6.00410226507353e-06,0.000171235278570426,0.000149617340064975,"AT-EXP1/LCR69/EXGT-A1/NA/ATEXP6/ATEXP4/BGLU44/NA/ATEXLA1/PME34/AtPAE7/PRXR1/BGAL3/ATPGIP2/DGR2/AtPAE10/COB",17
"GO:0031225","GO:0031225","anchored component of membrane","20/504","315/25124",6.7151089635461e-06,0.000171235278570426,0.000149617340064975,"NA/NA/AtENODL8/FLA7/NA/AGP9/AGP26/NA/AGP12/NA/NA/NA/FLA2/ATPCAP1/E13L3/AtENODL17/FLA1/COB/AtXYP1/AGP7",20
"GO:0033176","GO:0033176","proton-transporting V-type ATPase complex","6/504","25/25124",8.1011934001056e-06,0.000177068941459451,0.000154714520573445,"ATVHA-C2/AtVAB3/VHA-A/AVMA10/VAG2/AtVAB2",6
"GO:0046658","GO:0046658","anchored component of plasma membrane","12/504","174/25124",0.000216233475356599,0.00367596908106218,0.00321188904915649,"NA/AtENODL8/FLA7/NA/NA/FLA2/ATPCAP1/E13L3/AtENODL17/FLA1/COB/AtXYP1",12
"GO:0045298","GO:0045298","tubulin complex","3/504","13/25124",0.00197558993494441,0.0251887716705412,0.0220087650647316,"TUB5/TUB8/TUB4",3
"GO:0005874","GO:0005874","microtubule","10/504","169/25124",0.00226097359780825,0.0266099200357433,0.0232504977264492,"TUB5/TUB1/SP1L3/IQD16/ATPCAP1/MAP65-2/ATK2/TUB8/TUB4/CESA6",10
"GO:0099081","GO:0099081","supramolecular polymer","10/504","184/25124",0.00415822908393543,0.0374240617554189,0.032699386604322,"TUB5/TUB1/SP1L3/IQD16/ATPCAP1/MAP65-2/ATK2/TUB8/TUB4/CESA6",10
"GO:0099512","GO:0099512","supramolecular fiber","10/504","184/25124",0.00415822908393543,0.0374240617554189,0.032699386604322,"TUB5/TUB1/SP1L3/IQD16/ATPCAP1/MAP65-2/ATK2/TUB8/TUB4/CESA6",10
