"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048046","GO:0048046","apoplast","20/333","301/25124",4.39772421355584e-09,1.72435824672423e-07,1.60295776865684e-07,"NA/CLE43/BGLU40/GDSL1/ANN1/SKS6/GDPDL1/CLE17/CLE13/sks5/NA/CLE16/ARPN/AtPNP-A/ATGSTF10/NA/RALFL24/NA/ATCAD9/ATSBT1.3",20
"GO:0010168","GO:0010168","ER body","6/333","12/25124",4.47885258889412e-09,1.72435824672423e-07,1.60295776865684e-07,"ERMO3/BGLU23/NAI2/NA/ML3/MEB2",6
"GO:0009986","GO:0009986","cell surface","5/333","19/25124",3.96235690850028e-06,0.000101700493984841,9.45404455361471e-05,"ABCG11/ANNAT4/ANN3/ACR4/ANNAT2",5
"GO:0099503","GO:0099503","secretory vesicle","9/333","174/25124",0.000547083690405311,0.0105313610403022,0.00978991867041082,"LTPG1/SKS6/ATTLL1/GDPDL1/sks5/ARPN/PLAT2/NAI2/ML3",9
"GO:0009505","GO:0009505","plant-type cell wall","10/333","235/25124",0.00123716982588815,0.0190524153186776,0.0177110627706094,"AT-EXP10/LTPG1/NA/BDG1/NA/AtLtpI-5/ATGRP-5/PME34/BDX/DGR2",10
"GO:0000325","GO:0000325","plant-type vacuole","7/333","177/25124",0.00953845786113548,0.106942932886336,0.0994137995389039,"ATOCT6/ERMO3/UMAMIT5/NA/ATGRP-5/ATCCH1/ML3",7
"GO:0031225","GO:0031225","anchored component of membrane","10/333","315/25124",0.00972208480784869,0.106942932886336,0.0994137995389039,"AT3-MMP/LTPG1/LTPG6/NA/GDPDL1/NA/ARPN/NA/LTPG2/NA",10
"GO:0046658","GO:0046658","anchored component of plasma membrane","6/333","174/25124",0.0288460096407203,0.266566810611028,0.247799632557073,"LTPG1/NA/GDPDL1/NA/ARPN/LTPG2",6
"GO:0031012","GO:0031012","extracellular matrix","2/333","21/25124",0.0311571596818085,0.266566810611028,0.247799632557073,"AT3-MMP/ARPN",2
"GO:0005777","GO:0005777","peroxisome","8/333","324/25124",0.0680309593313806,0.476216715319664,0.442689496127644,"FDH/ABCG32/ATGSTF10/FRK1/EVR/BGLU26/BGLU23/NAI2",8
"GO:0042579","GO:0042579","microbody","8/333","324/25124",0.0680309593313806,0.476216715319664,0.442689496127644,"FDH/ABCG32/ATGSTF10/FRK1/EVR/BGLU26/BGLU23/NAI2",8
"GO:0030139","GO:0030139","endocytic vesicle","1/333","11/25124",0.136534295542067,0.876095063061594,0.814415096215836,"ACR4",1
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","6/333","273/25124",0.156081469579728,0.909982858768935,0.845917079921908,"LTPG1/NA/GDPDL1/NA/ARPN/LTPG2",6
"GO:0008180","GO:0008180","COP9 signalosome","1/333","14/25124",0.170431005631908,0.909982858768935,0.845917079921908,"AtIAA17",1
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","6/333","293/25124",0.194791577027815,0.909982858768935,0.845917079921908,"CER1/ADS1/NA/NA/PAS2/NA",6
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","6/333","298/25124",0.204995761547703,0.909982858768935,0.845917079921908,"CER1/ADS1/NA/NA/PAS2/NA",6
"GO:0035838","GO:0035838","growing cell tip","1/333","19/25124",0.224002669103147,0.909982858768935,0.845917079921908,"ICR1",1
"GO:0090404","GO:0090404","pollen tube tip","1/333","19/25124",0.224002669103147,0.909982858768935,0.845917079921908,"ICR1",1
"GO:0030427","GO:0030427","site of polarized growth","1/333","21/25124",0.244452650877663,0.909982858768935,0.845917079921908,"ICR1",1
"GO:0009705","GO:0009705","plant-type vacuole membrane","3/333","129/25124",0.244639023912038,0.909982858768935,0.845917079921908,"ATOCT6/ERMO3/UMAMIT5",3
"GO:0005615","GO:0005615","extracellular space","3/333","130/25124",0.248177143300619,0.909982858768935,0.845917079921908,"TAX1/BRS1/CLEL",3
"GO:0051286","GO:0051286","cell tip","1/333","24/25124",0.274124513902271,0.9177211987163,0.85311061534803,"ICR1",1
"GO:0060187","GO:0060187","cell pole","1/333","24/25124",0.274124513902271,0.9177211987163,0.85311061534803,"ICR1",1
"GO:0005871","GO:0005871","kinesin complex","1/333","31/25124",0.338918471902989,0.998567707865378,0.928265265001308,"Kin7.1",1
"GO:1905368","GO:1905368","peptidase complex","2/333","93/25124",0.349840802017392,0.998567707865378,0.928265265001308,"AtIAA17/NA",2
"GO:0000145","GO:0000145","exocyst","1/333","35/25124",0.373319991677079,0.998567707865378,0.928265265001308,"ATEXO70H4",1
"GO:0098552","GO:0098552","side of membrane","1/333","39/25124",0.405936412743156,0.998567707865378,0.928265265001308,"ABCG11",1
"GO:0005797","GO:0005797","Golgi medial cisterna","1/333","60/25124",0.551353788835325,0.998567707865378,0.928265265001308,"ATCSLA02",1
"GO:1990204","GO:1990204","oxidoreductase complex","2/333","141/25124",0.559704623516031,0.998567707865378,0.928265265001308,"NA/GPDHC1",2
"GO:0000502","GO:0000502","proteasome complex","1/333","62/25124",0.563196245848596,0.998567707865378,0.928265265001308,"AtIAA17",1
"GO:0016607","GO:0016607","nuclear speck","1/333","64/25124",0.574727023559366,0.998567707865378,0.928265265001308,"PIF7",1
"GO:0005770","GO:0005770","late endosome","1/333","67/25124",0.591456624257011,0.998567707865378,0.928265265001308,"ENP",1
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","5/333","391/25124",0.593801296759615,0.998567707865378,0.928265265001308,"AtLtpI-5/NA/ATCSLA02/ATRD22/FL1",5
"GO:1905369","GO:1905369","endopeptidase complex","1/333","68/25124",0.596886042947294,0.998567707865378,0.928265265001308,"AtIAA17",1
"GO:0005802","GO:0005802","trans-Golgi network","4/333","313/25124",0.597793042602105,0.998567707865378,0.928265265001308,"AtLtpI-5/NA/ATRD22/FL1",4
"GO:0005875","GO:0005875","microtubule associated complex","1/333","69/25124",0.6022435201064,0.998567707865378,0.928265265001308,"Kin7.1",1
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","1/333","78/25124",0.647376207984236,0.998567707865378,0.928265265001308,"PAS2",1
"GO:0019005","GO:0019005","SCF ubiquitin ligase complex","1/333","80/25124",0.656690703723988,0.998567707865378,0.928265265001308,"AtIAA17",1
"GO:0031227","GO:0031227","intrinsic component of endoplasmic reticulum membrane","1/333","80/25124",0.656690703723988,0.998567707865378,0.928265265001308,"PAS2",1
"GO:0099023","GO:0099023","vesicle tethering complex","1/333","80/25124",0.656690703723988,0.998567707865378,0.928265265001308,"ATEXO70H4",1
"GO:0090575","GO:0090575","RNA polymerase II transcription regulator complex","1/333","85/25124",0.678917708050595,0.998567707865378,0.928265265001308,"NA",1
"GO:0090406","GO:0090406","pollen tube","1/333","86/25124",0.683187862738049,0.998567707865378,0.928265265001308,"ICR1",1
"GO:0016604","GO:0016604","nuclear body","1/333","103/25124",0.747699103503763,0.998567707865378,0.928265265001308,"PIF7",1
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","1/333","103/25124",0.747699103503763,0.998567707865378,0.928265265001308,"ICR1",1
"GO:0042995","GO:0042995","cell projection","1/333","119/25124",0.796393977144603,0.998567707865378,0.928265265001308,"ICR1",1
"GO:0005768","GO:0005768","endosome","4/333","418/25124",0.807064887154247,0.998567707865378,0.928265265001308,"AtLtpI-5/ENP/NA/ATRD22",4
"GO:0005938","GO:0005938","cell cortex","1/333","126/25124",0.814634810546171,0.998567707865378,0.928265265001308,"ATEXO70H4",1
"GO:0080008","GO:0080008","Cul4-RING E3 ubiquitin ligase complex","1/333","130/25124",0.824316815012035,0.998567707865378,0.928265265001308,"NA",1
"GO:0005667","GO:0005667","transcription regulator complex","1/333","131/25124",0.826657476794902,0.998567707865378,0.928265265001308,"NA",1
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","2/333","241/25124",0.831337684581093,0.998567707865378,0.928265265001308,"AtIAA17/NA",2
"GO:0018995","GO:0018995","host cellular component","1/333","161/25124",0.884110669698797,0.998567707865378,0.928265265001308,"SPL3",1
"GO:0033643","GO:0033643","host cell part","1/333","161/25124",0.884110669698797,0.998567707865378,0.928265265001308,"SPL3",1
"GO:0033646","GO:0033646","host intracellular part","1/333","161/25124",0.884110669698797,0.998567707865378,0.928265265001308,"SPL3",1
"GO:0033647","GO:0033647","host intracellular organelle","1/333","161/25124",0.884110669698797,0.998567707865378,0.928265265001308,"SPL3",1
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","1/333","161/25124",0.884110669698797,0.998567707865378,0.928265265001308,"SPL3",1
"GO:0042025","GO:0042025","host cell nucleus","1/333","161/25124",0.884110669698797,0.998567707865378,0.928265265001308,"SPL3",1
