"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009535","GO:0009535","chloroplast thylakoid membrane","11/42","329/25124",4.89965676496369e-12,8.9319412293363e-11,1.88040867986027e-11,"PnsL2/NDF6/Lhca5/NDF2/NDH-O/NA/LHB1B1/PnsL1/NA/ATBCA1/CCL",11
"GO:0055035","GO:0055035","plastid thylakoid membrane","11/42","335/25124",5.9546274862242e-12,8.9319412293363e-11,1.88040867986027e-11,"PnsL2/NDF6/Lhca5/NDF2/NDH-O/NA/LHB1B1/PnsL1/NA/ATBCA1/CCL",11
"GO:0042651","GO:0042651","thylakoid membrane","11/42","363/25124",1.41268668384044e-11,1.09128227060385e-10,2.297436359166e-11,"PnsL2/NDF6/Lhca5/NDF2/NDH-O/NA/LHB1B1/PnsL1/NA/ATBCA1/CCL",11
"GO:0034357","GO:0034357","photosynthetic membrane","11/42","364/25124",1.4550430274718e-11,1.09128227060385e-10,2.297436359166e-11,"PnsL2/NDF6/Lhca5/NDF2/NDH-O/NA/LHB1B1/PnsL1/NA/ATBCA1/CCL",11
"GO:0048046","GO:0048046","apoplast","8/42","301/25124",3.2054667037809e-08,1.37377144447753e-07,2.89215040942638e-08,"CRB/ATCAT3/AOR/NA/AGT/ATBCA1/NA/ATGER3",8
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","3/42","13/25124",1.22796505332476e-06,4.60486894996786e-06,9.69446094730076e-07,"NDF6/NDF2/NDH-O",3
"GO:0010319","GO:0010319","stromule","3/42","35/25124",2.7391057407526e-05,9.13035246917533e-05,1.92217946719481e-05,"CRB/AOR/ATBCA1",3
"GO:0031012","GO:0031012","extracellular matrix","2/42","21/25124",0.000561483109490281,0.00153131757133713,0.00032238264659729,"ATGER1/ATGER3",2
"GO:0099503","GO:0099503","secretory vesicle","3/42","174/25124",0.00307383370173049,0.00576343819074468,0.00121335540857783,"NA/ATGER3/DIR1-like",3
"GO:0031977","GO:0031977","thylakoid lumen","2/42","61/25124",0.00469021377029357,0.00827684782992982,0.00174249427998523,"PnsL2/PnsL1",2
"GO:0010287","GO:0010287","plastoglobule","2/42","67/25124",0.00563093618271666,0.0093848936378611,0.00197576708165497,"CRB/LHB1B1",2
"GO:0019898","GO:0019898","extrinsic component of membrane","2/42","76/25124",0.00718977823581382,0.0113522814249692,0.00238995398420404,"PnsL2/PnsL1",2
"GO:0005777","GO:0005777","peroxisome","3/42","324/25124",0.0168341979604066,0.0240488542291523,0.00506291667982153,"CRB/ATCAT3/AGT",3
"GO:0042579","GO:0042579","microbody","3/42","324/25124",0.0168341979604066,0.0240488542291523,0.00506291667982153,"CRB/ATCAT3/AGT",3
"GO:1990204","GO:1990204","oxidoreductase complex","2/42","141/25124",0.0232563877208249,0.0317132559829431,0.00667647494377749,"PnsL2/PnsL1",2
