"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","8/33","197/21895",4.26497294939793e-10,7.46370266144637e-08,5.16286199137644e-08,"PnsL2/LHCA2*1/Lhca5/NDF5/NDF2/NA/PnsL1/ATBCA1",8
"GO:0010275","GO:0010275","NAD(P)H dehydrogenase complex assembly","4/33","11/21895",1.40015634369056e-09,1.22513680072924e-07,8.47463050128496e-08,"NDH-O/CRR6/CRR9/CRR7",4
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","7/33","351/21895",7.64978161916808e-07,4.46237261118138e-05,3.08675398668186e-05,"PnsL2/LHCA2*1/Lhca5/NDF5/NDF2/PGL2/ADG2",7
"GO:0019684","GO:0019684","photosynthesis, light reaction","5/33","128/21895",1.31387383289744e-06,5.74819801892631e-05,3.97619712587384e-05,"PnsL2/LHCA2*1/Lhca5/NDF5/NDF2",5
"GO:0009409","GO:0009409","response to cold","6/33","427/21895",3.76475011548764e-05,0.00131766254042067,0.00091146581743385,"CRB/AOR/Lhca5/ATBCA1/AtJAC1/ATGER3",6
"GO:0009767","GO:0009767","photosynthetic electron transport chain","3/33","48/21895",5.15126557329913e-05,0.00150245245887891,0.00103929042268316,"PnsL2/NDF5/NDF2",3
"GO:0017014","GO:0017014","protein nitrosylation","2/33","16/21895",0.000260877114593969,0.00507261056154941,0.00350887347114696,"CRB/ATGER3",2
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","2/33","16/21895",0.000260877114593969,0.00507261056154941,0.00350887347114696,"CRB/ATGER3",2
"GO:2000038","GO:2000038","regulation of stomatal complex development","2/33","16/21895",0.000260877114593969,0.00507261056154941,0.00350887347114696,"ATBCA1/AtEPFL9",2
"GO:0009773","GO:0009773","photosynthetic electron transport in photosystem I","2/33","17/21895",0.000295381959233947,0.00516918428659407,0.00357567634862146,"NDF5/NDF2",2
"GO:0032544","GO:0032544","plastid translation","2/33","20/21895",0.000411499994388387,0.00654659081981524,0.00452846883776694,"CRB/CSP41A",2
"GO:0022900","GO:0022900","electron transport chain","3/33","101/21895",0.000470067282145774,0.00685514786462588,0.00474190679357579,"PnsL2/NDF5/NDF2",3
"GO:0009768","GO:0009768","photosynthesis, light harvesting in photosystem I","2/33","23/21895",0.00054639691711383,0.00735534311499387,0.00508790651563486,"LHCA2*1/Lhca5",2
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","2/33","30/21895",0.000933279359443195,0.0116172623898048,0.00803600105159427,"NDH-O/CRR9",2
"GO:0045727","GO:0045727","positive regulation of translation","2/33","31/21895",0.000996703918071464,0.0116172623898048,0.00803600105159427,"CRB/CSP41A",2
"GO:0034250","GO:0034250","positive regulation of cellular amide metabolic process","2/33","32/21895",0.00106214970421072,0.0116172623898048,0.00803600105159427,"CRB/CSP41A",2
