"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","35/196","162/21875",1.37449129034136e-38,3.02388083875098e-36,2.64770427507861e-36,"AtTPX2/ATNACK1/NA/CORD4/DRP5A/ZCF125/NA/NA/NA/RSW7/NA/EDE1/NA/POK1/POK2/NA/KINESIN-12B/NA/ADL1E/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/NA/MPB2C/NA/NA/NA/ADL1/ATMAP65-3/NA/NA/ATEB1C",35
"GO:0015631","GO:0015631","tubulin binding","35/196","174/21875",2.06316940916242e-37,2.26948635007866e-35,1.98715790461433e-35,"AtTPX2/ATNACK1/NA/CORD4/DRP5A/ZCF125/NA/NA/NA/RSW7/NA/EDE1/NA/POK1/POK2/NA/KINESIN-12B/NA/ADL1E/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/NA/MPB2C/NA/NA/NA/ADL1/ATMAP65-3/NA/NA/ATEB1C",35
"GO:0008092","GO:0008092","cytoskeletal protein binding","38/196","308/21875",3.25133274513392e-32,2.38431067976487e-30,2.0876978679281e-30,"NET3A/AtTPX2/ATNACK1/NA/CORD4/DRP5A/ZCF125/NA/NA/NA/RSW7/NA/EDE1/NA/POK1/POK2/NA/KINESIN-12B/NA/ADL1E/MadA1/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/NA/MPB2C/NA/NA/NA/ADL1/AtFIM2/ATMAP65-3/NA/NA/ATEB1C",38
"GO:0003777","GO:0003777","microtubule motor activity","22/196","65/21875",2.31877749926607e-29,1.27532762459634e-27,1.11667442727813e-27,"ATNACK1/NA/ZCF125/NA/NA/NA/RSW7/NA/NA/POK1/POK2/NA/KINESIN-12B/NA/ATK5/PAKRP2/NA/NA/NA/NA/NA/NA",22
"GO:0003774","GO:0003774","motor activity","22/196","84/21875",1.54661332020648e-26,6.80509860890852e-25,5.95853131784813e-25,"ATNACK1/NA/ZCF125/NA/NA/NA/RSW7/NA/NA/POK1/POK2/NA/KINESIN-12B/NA/ATK5/PAKRP2/NA/NA/NA/NA/NA/NA",22
"GO:0008574","GO:0008574","ATP-dependent microtubule motor activity, plus-end-directed","6/196","17/21875",5.46369081524913e-09,2.00335329892468e-07,1.75413231436946e-07,"NA/RSW7/NA/NA/KINESIN-12B/NA",6
"GO:0019887","GO:0019887","protein kinase regulator activity","10/196","92/21875",1.01017880103873e-08,3.17484766040743e-07,2.77989053518928e-07,"AtTPX2/CYCB2;3/CYCB2;4/CYCB2;1/CYC2/TPXL3/CYCB2;2/CYC1/CYC1BAT/NA",10
"GO:1990939","GO:1990939","ATP-dependent microtubule motor activity","6/196","19/21875",1.18005949807317e-08,3.24516361970123e-07,2.84145905457093e-07,"NA/RSW7/NA/NA/KINESIN-12B/NA",6
"GO:0019207","GO:0019207","kinase regulator activity","10/196","98/21875",1.87301351643306e-08,4.57847748461416e-07,4.00890612289182e-07,"AtTPX2/CYCB2;3/CYCB2;4/CYCB2;1/CYC2/TPXL3/CYCB2;2/CYC1/CYC1BAT/NA",10
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","7/196","53/21875",4.52974953330844e-07,9.96544897327857e-06,8.7257280483731e-06,"CYCB2;3/CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",7
"GO:0030332","GO:0030332","cyclin binding","3/196","10/21875",8.115732593581e-05,0.0016231465187162,0.00142122398528739,"CDKB2;2/CDKB2;1/CDKB1;2",3
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","4/196","33/21875",0.000208676938886286,0.00353145588884484,0.00309213601750529,"CDKB2;2/CDKB2;1/CDKB1;2/ATCDT1B",4
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","4/196","33/21875",0.000208676938886286,0.00353145588884484,0.00309213601750529,"CDKB2;2/CDKB2;1/CDKB1;2/ATCDT1B",4
"GO:0030234","GO:0030234","enzyme regulator activity","13/196","479/21875",0.000404018756822394,0.00634886617863762,0.00555905507507505,"AtTPX2/CYCB2;3/CYCB2;4/CYCB2;1/EMB2795/CYC2/TPXL3/AtCDC20.1/CYCB2;2/CYC1/CYC1BAT/CCS52B/NA",13
"GO:0042973","GO:0042973","glucan endo-1,3-beta-D-glucosidase activity","4/196","51/21875",0.00112398935913239,0.016485177267275,0.0144343896646475,"NA/NA/NA/NA",4
"GO:0008353","GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","3/196","28/21875",0.00196751028360352,0.0240473479107097,0.0210558118069851,"CDKB2;2/CDKB2;1/CDKB1;2",3
"GO:0019209","GO:0019209","kinase activator activity","3/196","28/21875",0.00196751028360352,0.0240473479107097,0.0210558118069851,"AtTPX2/TPXL3/NA",3
"GO:0030295","GO:0030295","protein kinase activator activity","3/196","28/21875",0.00196751028360352,0.0240473479107097,0.0210558118069851,"AtTPX2/TPXL3/NA",3
"GO:0009055","GO:0009055","electron transfer activity","6/196","159/21875",0.00315079610094961,0.0359151092351949,0.0314472009092855,"NA/AtENODL14/AtENODL15/NA/NA/AtENODL13",6
"GO:0010997","GO:0010997","anaphase-promoting complex binding","2/196","10/21875",0.00342826042699588,0.0359151092351949,0.0314472009092855,"AtCDC20.1/CCS52B",2
"GO:0055106","GO:0055106","ubiquitin-protein transferase regulator activity","2/196","10/21875",0.00342826042699588,0.0359151092351949,0.0314472009092855,"AtCDC20.1/CCS52B",2
"GO:0003924","GO:0003924","GTPase activity","6/196","194/21875",0.008193644280373,0.080894086209318,0.0708307070636612,"DRP5A/APSR1/ADL1E/AtRBGA/ARAC7/ADL1",6
"GO:0005227","GO:0005227","calcium activated cation channel activity","2/196","16/21875",0.00882480940465287,0.080894086209318,0.0708307070636612,"osca1/CSC1",2
"GO:0022839","GO:0022839","ion gated channel activity","2/196","16/21875",0.00882480940465287,0.080894086209318,0.0708307070636612,"osca1/CSC1",2
"GO:0008139","GO:0008139","nuclear localization sequence binding","2/196","18/21875",0.0111203386768444,0.0940951734194527,0.0823895537596165,"IMPA-6/ATIMPALPHA3",2
"GO:0061608","GO:0061608","nuclear import signal receptor activity","2/196","18/21875",0.0111203386768444,0.0940951734194527,0.0823895537596165,"IMPA-6/ATIMPALPHA3",2
"GO:0019899","GO:0019899","enzyme binding","10/196","499/21875",0.0148426813798038,0.120940366798401,0.105895153703863,"PATL1/ATGSTU20/EMB2795/ATCDT1B/ATROPGEF6/BB/ARAC7/AtCDC20.1/ADL1/ANQ1",10
"GO:0008422","GO:0008422","beta-glucosidase activity","4/196","112/21875",0.0183415289336585,0.144112013050174,0.126184202814267,"NA/NA/NA/NA",4
"GO:0015035","GO:0015035","protein disulfide oxidoreductase activity","3/196","66/21875",0.0214539115815688,0.162753811998108,0.142506926294994,"NA/NA/NA",3
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity","2/196","26/21875",0.0225421293864545,0.165308948834,0.144744199218287,"IMPA-6/ATIMPALPHA3",2
"GO:0008047","GO:0008047","enzyme activator activity","4/196","124/21875",0.0255278201390734,0.179286106662224,0.156982571862139,"AtTPX2/EMB2795/TPXL3/NA",4
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","8/196","394/21875",0.026077979150869,0.179286106662224,0.156982571862139,"ATXTH28/NA/ATGH9B1/AMY2/NA/AtXTH32/NA/NA",8
"GO:0015926","GO:0015926","glucosidase activity","4/196","127/21875",0.027554102665053,0.18369401776702,0.160842130389305,"NA/NA/NA/NA",4
"GO:0016762","GO:0016762","xyloglucan:xyloglucosyl transferase activity","2/196","32/21875",0.0332228065268492,0.214971101056083,0.188228284656762,"ATXTH28/AtXTH32",2
"GO:0019900","GO:0019900","kinase binding","4/196","137/21875",0.0349868369169134,0.2151036064966,0.188344306166879,"ARAC7/AtCDC20.1/ADL1/ANQ1",4
"GO:0015036","GO:0015036","disulfide oxidoreductase activity","3/196","80/21875",0.0351987719721709,0.2151036064966,0.188344306166879,"NA/NA/NA",3
"GO:0019901","GO:0019901","protein kinase binding","3/196","92/21875",0.0498237713208518,0.296173167835079,0.259328658917797,"ARAC7/ADL1/ANQ1",3
"GO:0042277","GO:0042277","peptide binding","3/196","93/21875",0.0511571835351501,0.296173167835079,0.259328658917797,"IMPA-6/ATGSTU20/ATIMPALPHA3",3
"GO:0005048","GO:0005048","signal sequence binding","2/196","49/21875",0.0714153233908898,0.400816448083919,0.35095411482946,"IMPA-6/ATIMPALPHA3",2
"GO:0030246","GO:0030246","carbohydrate binding","4/196","176/21875",0.0740253945824608,0.400816448083919,0.35095411482946,"NDF5/PDCB4/AT-P4H-2/PDCB5",4
"GO:0033218","GO:0033218","amide binding","3/196","114/21875",0.0829729905971561,0.400816448083919,0.35095411482946,"IMPA-6/ATGSTU20/ATIMPALPHA3",3
"GO:0019206","GO:0019206","nucleoside kinase activity","1/196","10/21875",0.0860893103450278,0.400816448083919,0.35095411482946,"AtTK1b",1
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","3/196","117/21875",0.0880768917872078,0.400816448083919,0.35095411482946,"NA/NA/NA",3
"GO:0002020","GO:0002020","protease binding","1/196","11/21875",0.0942816952145622,0.400816448083919,0.35095411482946,"PATL1",1
"GO:0003905","GO:0003905","alkylbase DNA N-glycosylase activity","1/196","11/21875",0.0942816952145622,0.400816448083919,0.35095411482946,"NA",1
"GO:0008725","GO:0008725","DNA-3-methyladenine glycosylase activity","1/196","11/21875",0.0942816952145622,0.400816448083919,0.35095411482946,"NA",1
"GO:0016160","GO:0016160","amylase activity","1/196","11/21875",0.0942816952145622,0.400816448083919,0.35095411482946,"AMY2",1
"GO:0043733","GO:0043733","DNA-3-methylbase glycosylase activity","1/196","11/21875",0.0942816952145622,0.400816448083919,0.35095411482946,"NA",1
"GO:0046527","GO:0046527","glucosyltransferase activity","4/196","192/21875",0.0945132134115275,0.400816448083919,0.35095411482946,"ATCSLD5/ATXTH28/AtXTH32/ATSAGT1",4
"GO:0004675","GO:0004675","transmembrane receptor protein serine/threonine kinase activity","2/196","59/21875",0.0981418910526784,0.400816448083919,0.35095411482946,"LecRK-VIII.1/LecRK-S.7",2
"GO:0004708","GO:0004708","MAP kinase kinase activity","1/196","12/21875",0.102401014082928,0.400816448083919,0.35095411482946,"ANQ1",1
"GO:0008381","GO:0008381","mechanosensitive ion channel activity","1/196","12/21875",0.102401014082928,0.400816448083919,0.35095411482946,"CSC1",1
"GO:0015101","GO:0015101","organic cation transmembrane transporter activity","1/196","12/21875",0.102401014082928,0.400816448083919,0.35095411482946,"AQP1",1
"GO:0016872","GO:0016872","intramolecular lyase activity","1/196","12/21875",0.102401014082928,0.400816448083919,0.35095411482946,"NA",1
"GO:0016889","GO:0016889","endodeoxyribonuclease activity, producing 3'-phosphomonoesters","1/196","12/21875",0.102401014082928,0.400816448083919,0.35095411482946,"HIGLE",1
"GO:0017108","GO:0017108","5'-flap endonuclease activity","1/196","12/21875",0.102401014082928,0.400816448083919,0.35095411482946,"HIGLE",1
"GO:0030247","GO:0030247","polysaccharide binding","2/196","64/21875",0.112403219818789,0.400816448083919,0.35095411482946,"PDCB4/PDCB5",2
"GO:0004427","GO:0004427","inorganic diphosphatase activity","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"AtPPa2",1
"GO:0004656","GO:0004656","procollagen-proline 4-dioxygenase activity","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"AT-P4H-2",1
"GO:0016888","GO:0016888","endodeoxyribonuclease activity, producing 5'-phosphomonoesters","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"HIGLE",1
"GO:0031545","GO:0031545","peptidyl-proline 4-dioxygenase activity","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"AT-P4H-2",1
"GO:0032029","GO:0032029","myosin tail binding","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"MadA1",1
"GO:0032036","GO:0032036","myosin heavy chain binding","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"MadA1",1
"GO:0048256","GO:0048256","flap endonuclease activity","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"HIGLE",1
"GO:0080115","GO:0080115","myosin XI tail binding","1/196","14/21875",0.11842304147934,0.400816448083919,0.35095411482946,"MadA1",1
"GO:0019798","GO:0019798","procollagen-proline dioxygenase activity","1/196","15/21875",0.126327029580069,0.421090098600231,0.368705684420298,"AT-P4H-2",1
"GO:0005089","GO:0005089","Rho guanyl-nucleotide exchange factor activity","1/196","16/21875",0.134160510925097,0.434048711816491,0.380052221351281,"ATROPGEF6",1
"GO:0031543","GO:0031543","peptidyl-proline dioxygenase activity","1/196","16/21875",0.134160510925097,0.434048711816491,0.380052221351281,"AT-P4H-2",1
"GO:0015174","GO:0015174","basic amino acid transmembrane transporter activity","1/196","17/21875",0.141924111266315,0.45251165910999,0.396218342665685,"LAT1",1
"GO:0017022","GO:0017022","myosin binding","1/196","18/21875",0.149618450830401,0.46330057606284,0.405665097700956,"MadA1",1
"GO:0031418","GO:0031418","L-ascorbic acid binding","1/196","18/21875",0.149618450830401,0.46330057606284,0.405665097700956,"AT-P4H-2",1
