"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061134","GO:0061134","peptidase regulator activity","6/446","33/21875",4.82211584764184e-05,0.0172149535760814,0.0156845662833824,"NA/PRN2/ATTI1/ATTI2/PA200/AtKPI-1",6
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","8/446","77/21875",0.00017246689545678,0.0198613360108425,0.0180956887139918,"LecRK-S.1/EVR/AP4.3A/ATHLECRK/LecRK-VII.2/LecRK-VI.2/LecRK-VI.3/LecRK-VI.4",8
"GO:0004675","GO:0004675","transmembrane receptor protein serine/threonine kinase activity","7/446","59/21875",0.000190974457339399,0.0198613360108425,0.0180956887139918,"LecRK-S.1/AP4.3A/ATHLECRK/LecRK-VII.2/LecRK-VI.2/LecRK-VI.3/LecRK-VI.4",7
"GO:0060089","GO:0060089","molecular transducer activity","13/446","201/21875",0.000260865803739365,0.0198613360108425,0.0180956887139918,"LecRK-S.1/LORE/EVR/AP4.3A/ATHLECRK/PYL13/LecRK-VII.2/HHP4/LecRK-VI.2/LecRK-VI.3/LecRK-VI.4/APRR5/APRR1",13
"GO:0004724","GO:0004724","magnesium-dependent protein serine/threonine phosphatase activity","5/446","31/21875",0.000377873378096691,0.0198613360108425,0.0180956887139918,"PLL5/PAPP2C/PP2CG1/ATHPP2C5/NA",5
"GO:0038023","GO:0038023","signaling receptor activity","11/446","157/21875",0.000389437960996911,0.0198613360108425,0.0180956887139918,"LecRK-S.1/LORE/EVR/AP4.3A/ATHLECRK/PYL13/LecRK-VII.2/HHP4/LecRK-VI.2/LecRK-VI.3/LecRK-VI.4",11
"GO:0005516","GO:0005516","calmodulin binding","11/446","169/21875",0.000723422187469459,0.0285107980844712,0.0259762247032334,"LORE/NA/NA/AtWRKY15/PRN2/ATMYB2/ATBT2/RLK4/SD2-5/BT5/BT1",11
"GO:0015145","GO:0015145","monosaccharide transmembrane transporter activity","4/446","22/21875",0.000931803982478867,0.0302412747040869,0.0275528641709062,"ESL1/ATPLT5/ATSTP4/ATSTP13",4
"GO:0061630","GO:0061630","ubiquitin protein ligase activity","13/446","236/21875",0.00117858306225748,0.0322938162063582,0.0294229373662529,"RHA2A/NA/NA/NA/RHC2A/RGLG1/ATRMA1/AtSAP9/ATRMA3/NA/JUL1/NA/AtARRE",13
"GO:0061659","GO:0061659","ubiquitin-like protein ligase activity","13/446","237/21875",0.00122448496310043,0.0322938162063582,0.0294229373662529,"RHA2A/NA/NA/NA/RHC2A/RGLG1/ATRMA1/AtSAP9/ATRMA3/NA/JUL1/NA/AtARRE",13
"GO:0005351","GO:0005351","carbohydrate:proton symporter activity","3/446","14/21875",0.00259201731732961,0.048259636004812,0.043969416262677,"ATPLT5/ATSTP4/ATSTP13",3
"GO:0005402","GO:0005402","carbohydrate:cation symporter activity","3/446","14/21875",0.00259201731732961,0.048259636004812,0.043969416262677,"ATPLT5/ATSTP4/ATSTP13",3
