"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b13690.2","AT1G13710","CYP78A5",2.43023044964506,0.607,0.03,0,0,NA,NA,"chloroplast, endoplasmic reticulum, floral organ development, heme binding, iron ion binding, leaf formation, organ growth, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, positive regulation of cell population proliferation, positive regulation of organ growth, regulation of growth rate, regulation of meristem growth","DEGs"
"Chir02Ox-b17390.2","AT1G70830","MLP28",1.14960836444521,0.105,0.03,8.23566711766903e-18,1.61913215533373e-13,NA,NA,"cell wall polysaccharide metabolic process, chloroplast, cytoplasm, cytosol, defense response, mitochondrion, molecular_function, nucleus","DEGs"
"Chir08Ox-b16470.2","AT5G54510","GH3.6",2.79639719447142,0.709,0.059,0,0,NA,NA,"acid-amino acid ligase activity, auxin homeostasis, auxin-activated signaling pathway, cytoplasm, indole-3-acetic acid amido synthetase activity, nucleus, response to auxin, unidimensional cell growth","DEGs"
"Chir07Ox-b35240.2","AT4G37800","XTH7",1.23686287465636,0.439,0.078,3.04986304037767e-158,5.99603073738249e-154,NA,NA,"cell wall biogenesis, cellular component biogenesis, extracellular region, hydrolase activity, hydrolyzing O-glycosyl compounds, plant-type cell wall organization or biogenesis, polysaccharide binding, xyloglucan metabolic process, xyloglucan:xyloglucosyl transferase activity","DEGs"
"Chir03Ox-b30070.2",NA,NA,1.32841452104253,0.564,0.086,8.24911613449606e-254,1.62177623204193e-249,NA,NA,NA,"DEGs"
"Chir06Ox-b37780.2","AT5G01840","ATOFP1",1.08102873919018,0.52,0.091,2.71584863849228e-208,5.33935842327582e-204,NA,NA,"cell growth, cortical microtubule organization, cytoskeleton, negative regulation of DNA-templated transcription, nucleolus, nucleus, protein binding, regulation of unidimensional cell growth, response to dexamethasone","DEGs"
"Chir06Ox-b17160.2","AT5G22580","AT5G22580.1",2.46960152147219,0.661,0.094,0,0,NA,NA,"chloroplast, cytosol, defense response to other organism, plastid, regulation of hormone levels, tissue development","DEGs"
"Chir07Ox-b11520.2","AT4G15210","ATBETA-AMY",1.51756865138748,0.339,0.096,7.03200610866201e-64,1.38249240096295e-59,NA,NA,"amylopectin maltohydrolase activity, beta-amylase activity, extracellular region, response to herbivore, secretory vesicle, starch catabolic process","DEGs"
"Chir07Ox-b29750.2","AT4G32480","F8B4.180",1.14178822284564,0.25,0.098,2.30780179147903e-26,4.53713832204777e-22,NA,NA,"cellular response to hypoxia, molecular_function, nucleus, response to nutrient levels","DEGs"
"Chir05Ox-b09870.2",NA,NA,1.25725241392921,0.24,0.1,7.3575721275881e-23,1.44649868028382e-18,NA,NA,NA,"DEGs"
