"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b14960.2","AT5G24800","ATBZIP9",2.03726768238835,0.366,0.01,0,0,"Yes","bZIP","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"Chir03Ox-b00650.2","AT3G01470","ATHB-1",1.03012318029826,0.395,0.029,0,0,"Yes","HD-ZIP","DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leaf morphogenesis, negative regulation of translation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein homodimerization activity, regulation of cell growth, response to blue light, response to salt stress, sequence-specific DNA binding","DEGs"
"Chir05Ox-b02980.2","AT3G25710","ATAIG1",1.03537404853551,0.353,0.044,0,0,"Yes","bHLH","anthocyanin-containing compound biosynthetic process, cellular response to phosphate starvation, DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root development, root hair cell development","DEGs"
"Chir04Ox-b10040.2","AT2G28510","AT2G28510.1",1.17619943839971,0.57,0.078,0,0,"Yes","Dof","DNA-binding transcription factor activity, nucleolus, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding","DEGs"
"Chir06Ox-b22720.2","AT5G16600","MYB43",1.34388437128651,0.551,0.097,0,0,"Yes","MYB","cell differentiation, DNA-binding transcription factor activity, L-phenylalanine biosynthetic process, nucleus, positive regulation of DNA-templated transcription, regulation of lignin biosynthetic process, regulation of phenylpropanoid metabolic process, regulation of secondary cell wall biogenesis, transcription cis-regulatory region binding","DEGs"
"Chir07Ox-b26310.2","AT4G29100","BHLH68",1.34980679343842,0.789,0.1,0,0,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to abscisic acid, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs"
"Chir04Ox-b02280.2","AT2G22850","AtbZIP6",1.22574162355549,0.498,0.109,0,0,"Yes","bZIP","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, transcription cis-regulatory region binding","DEGs"
"Chir08Ox-b23950.2","AT5G61420","HAG1",1.12310509683736,0.52,0.194,2.10708959127829e-217,4.14253813645312e-213,"Yes","MYB","cellular response to sulfur starvation, defense response to fungus, DNA-binding transcription factor activity, induced systemic resistance, nucleus, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, response to bacterium, response to insect, transcription cis-regulatory region binding","DEGs"
"Chir01Ox-b28620.2","AT1G29950","AT1G29950.1",1.283462976875,0.752,0.233,0,0,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription","DEGs"
"Chir07Ox-b35230.2","AT4G37790","HAT22",0.982802737301562,0.607,0.296,8.28512639727891e-181,1.62885584970503e-176,"Yes","HD-ZIP","abscisic acid-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, response to abscisic acid, response to cytokinin, response to water deprivation, transcription cis-regulatory region binding","DEGs"
