"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir08Ox-b21660.2","Chir08Ox-b21660.2","AT5G59320","AT5G59320.1",2.8602478095038,0.288,0.002,0,0,NA,NA,"apoplast, extracellular region, lipid transport, plant-type cell wall, response to abscisic acid, response to water deprivation","GEP_26and DEGs"
"Chir07Ox-b19200.2","Chir07Ox-b19200.2",NA,NA,6.14810731179336,0.303,0.004,6.43667351083799e-274,1.26545001223075e-269,NA,NA,NA,"GEP_26and DEGs"
"Chir01Ox-b05710.2","Chir01Ox-b05710.2",NA,NA,1.7147157157406,0.258,0.006,4.16831212677762e-148,8.1949016412448e-144,NA,NA,NA,"GEP_26and DEGs"
"Chir03Ox-b05160.2","Chir03Ox-b05160.2","AT3G05727","DEG28",6.45245516687361,0.227,0.006,2.63599849085076e-109,5.1823730330126e-105,NA,NA,"biological_process, extracellular region, molecular_function, secretory vesicle","GEP_26and DEGs"
"Chir04Ox-b19970.2","Chir04Ox-b19970.2","AT2G37540","F13M22.4",1.72876460184286,0.288,0.008,5.5146507312037e-128,1.08418033375465e-123,NA,NA,"endoplasmic reticulum, pollen tube growth","GEP_26and DEGs"
"Chir03Ox-b06010.2","Chir03Ox-b06010.2","AT3G06490","MYB108",1.49790183676654,0.273,0.012,4.55346793449238e-80,8.95211795921202e-76,"Yes","MYB","DNA-binding transcription factor activity, nucleus, positive regulation of anther dehiscence, regulation of DNA-templated transcription, response to fungus, sequence-specific DNA binding, transcription cis-regulatory region binding","GEP_26and DEGs"
"Chir04Ox-b29020.2","Chir04Ox-b29020.2","AT2G46150","T3F17.20",1.43867578310029,0.288,0.012,1.52963377026664e-92,3.00725999234421e-88,NA,NA,"aging, cellular response to organic cyclic compound, cellular response to oxygen-containing compound, defense response to bacterium, defense response to fungus, immune system process, meristem maintenance, molecular_function, negative regulation of cellular process, phyllome development, plant organ formation, plasma membrane, response to salicylic acid, signal transduction","GEP_26and DEGs"
"Chir03Ox-b10100.2","Chir03Ox-b10100.2","AT3G10815","AT3G10815.1",1.44609612624886,0.258,0.014,9.83110939234047e-65,1.93279610653414e-60,NA,NA,"cellular response to oxygen-containing compound, defense response to other organism, hormone-mediated signaling pathway, mitochondrion, regulation of defense response, response to abscisic acid, response to chitin, response to jasmonic acid, response to organic cyclic compound, response to oxidative stress, response to salt stress, response to water deprivation, response to wounding, ubiquitin protein ligase activity","GEP_26and DEGs"
"Chir06Ox-b09400.2","Chir06Ox-b09400.2","AT2G26400","ARD",2.81986347827275,0.288,0.025,5.57168152902959e-44,1.09539258860722e-39,NA,NA,"acireductone dioxygenase [iron(II)-requiring] activity, cytosol, heteropolysaccharide binding, L-methionine salvage from methylthioadenosine, methionine metabolic process, plasma membrane","GEP_26and DEGs"
"Chir04Ox-b12770.2","Chir04Ox-b12770.2",NA,NA,2.94472837305422,0.197,0.031,5.23888610448712e-15,1.02996500814217e-10,NA,NA,NA,"GEP_26and DEGs"
