"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
0,1.01567441491708,0.137,0.001,0,"Chir03Ox-b01000.2"
0,1.0452795939646,0.168,0.001,0,"Chir04Ox-b26410.2"
0,0.296076678754221,0.162,0.001,0,"Chir07Ox-b20270.2"
0,0.388478729995214,0.103,0.001,0,"Chir07Ox-b30280.2"
0,0.250659810419691,0.125,0.001,0,"Chir08Ox-b07070.2"
0,0.483642050617924,0.118,0.001,0,"Chir08Ox-b23240.2"
0,0.508189908586231,0.262,0.002,0,"Chir01Ox-b01580.2"
0,2.71787184224105,0.184,0.002,0,"Chir05Ox-b10320.2"
0,1.13787469255914,0.166,0.002,0,"Chir07Ox-b31070.2"
0,0.860426454182489,0.318,0.003,0,"Chir01Ox-b22650.2"
0,0.317295622008912,0.193,0.003,0,"Chir02Ox-b22460.2"
0,0.291198484585475,0.112,0.003,0,"Chir04Ox-b16890.2"
0,0.453576674605799,0.247,0.003,0,"Chir07Ox-b20280.2"
0,0.865075115668521,0.368,0.004,0,"Chir03Ox-b26140.2"
0,0.959049921783127,0.428,0.004,0,"Chir04Ox-b26430.2"
0,0.358565258789133,0.258,0.004,0,"Chir07Ox-b09320.2"
2.07802071495155e-303,1.1392101965974,0.11,0.004,4.08538872559476e-299,"Chir03Ox-b05160.2"
0,0.935568591375152,0.561,0.005,0,"Chir04Ox-b20210.2"
0,1.01053450619967,0.257,0.005,0,"Chir07Ox-b16670.2"
0,1.73156551248158,0.486,0.005,0,"Chir07Ox-b20540.2"
0,0.956875679214388,0.302,0.005,0,"Chir07Ox-b21080.2"
0,0.562336883041244,0.32,0.005,0,"Chir07Ox-b21150.2"
0,1.22510000385644,0.645,0.005,0,"Chir07Ox-b33740.2"
0,0.390640422372705,0.2,0.006,0,"Chir03Ox-b32580.2"
0,1.17760728453201,0.335,0.006,0,"Chir04Ox-b21490.2"
0,0.776620972825807,0.465,0.006,0,"Chir05Ox-b26750.2"
0,0.634087027683838,0.25,0.006,0,"Chir06Ox-b30590.2"
0,0.320595614862842,0.162,0.006,0,"Chir08Ox-b24660.2"
0,0.489285774266194,0.229,0.008,0,"Chir04Ox-b29610.2"
0,1.08071932254804,0.679,0.008,0,"Chir05Ox-b16400.2"
0,1.20751773339533,0.478,0.008,0,"Chir06Ox-b01170.2"
0,0.504652319155132,0.165,0.008,0,"Chir08Ox-b07900.2"
0,1.49920896612181,0.473,0.008,0,"Chir08Ox-b26390.2"
0,1.78136868600744,0.726,0.009,0,"Chir01Ox-b19700.2"
0,0.258877483809658,0.161,0.009,0,"Chir02Ox-b25030.2"
0,5.08006391337354,0.378,0.011,0,"Chir03Ox-b16480.2"
0,0.290575276978619,0.25,0.012,0,"Chir02Ox-b15720.2"
0,4.48243563672505,0.256,0.013,0,"Chir01Ox-b25480.2"
0,0.385160310127956,0.347,0.013,0,"Chir02Ox-b24950.2"
0,4.13404761849715,0.301,0.013,0,"Chir03Ox-b16450.2"
0,0.436100687487102,0.299,0.013,0,"Chir04Ox-b12930.2"
0,0.765177195141876,0.456,0.013,0,"Chir06Ox-b11490.2"
0,0.30816425179083,0.244,0.013,0,"Chir07Ox-b08280.2"
0,0.388150105869791,0.253,0.013,0,"Chir08Ox-b02120.2"
0,0.748051542532134,0.208,0.013,0,"Chir08Ox-b11190.2"
0,1.26999888393359,0.514,0.014,0,"Chir04Ox-b25790.2"
0,1.31670747930787,0.275,0.015,0,"Chir07Ox-b01700.2"
0,1.25288002508064,0.264,0.017,0,"Chir04Ox-b11570.2"
0,0.282180330884756,0.239,0.017,0,"Chir08Ox-b03180.2"
1.28953797704909e-140,0.272552274121172,0.142,0.017,2.53523166287852e-136,"Chir05Ox-b04970.2"
3.79520580599494e-111,0.294482746092392,0.127,0.017,7.46137461458605e-107,"Chir07Ox-b34110.2"
0,0.543594157296839,0.23,0.018,0,"Chir01Ox-b20930.2"
0,2.48243828225253,0.695,0.018,0,"Chir05Ox-b26740.2"
0,5.87016516704548,0.255,0.019,0,"Chir05Ox-b10330.2"
0,0.353770702896138,0.314,0.019,0,"Chir06Ox-b26820.2"
0,0.560309804420598,0.453,0.019,0,"Chir08Ox-b30210.2"
0,0.419237553613454,0.33,0.02,0,"Chir03Ox-b00340.2"
0,1.07894234299522,0.537,0.02,0,"Chir07Ox-b33690.2"
0,1.06780054390844,0.577,0.022,0,"Chir03Ox-b24740.2"
0,0.609335864931677,0.354,0.023,0,"Chir07Ox-b17790.2"
0,1.17089023855447,0.715,0.024,0,"Chir07Ox-b33770.2"
6.39181766525229e-305,0.301465114011359,0.252,0.025,1.2566313529886e-300,"Chir03Ox-b11620.2"
3.55219205815072e-276,0.269634125298767,0.239,0.025,6.98360958632432e-272,"Chir05Ox-b02860.2"
7.8703692119357e-242,0.282066000678636,0.227,0.025,1.54731458706656e-237,"Chir04Ox-b27520.2"
0,0.587157580399363,0.438,0.026,0,"Chir08Ox-b21450.2"
0,0.569733248571914,0.469,0.028,0,"Chir04Ox-b06770.2"
0,0.89916302693796,0.606,0.028,0,"Chir07Ox-b13560.2"
0,0.516479339114721,0.398,0.03,0,"Chir07Ox-b17280.2"
4.53092425012739e-64,0.304771348783672,0.136,0.03,8.90779707575044e-60,"Chir02Ox-b04110.2"
