"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","63/352","197/21895",1.26180007739148e-64,1.33750808203496e-61,9.8021942854201e-62,"PSB27/OE23/PSAO/CLPP6/GAPA-2/CP24/ATLFNR2/PYG7/AB140/PRK/GAPB/AtTLP18.3/PSAG/cPGK2/ATFD2/LHCA3/NDF2/RBCS1A/PSBY/LIL8/LQY1/NA/PSBR/LHCB2/PSB29/PDTPI/PSBW/FTSH2/LHB1B1/EDA3/PnsL1/ATFER4/CURT1B/CP12/DEG2/ATBCA1/EMB3119/LHCB4.2/GBP/LHCB2/CAB4/OEC33/LHCA1/PPL1/SBPASE/AtTKL1/LHCA2/TROL/PETC/ATPC1/PSBQ/ATPD/LHCB5/PSBQ/PGR5-LIKE/FAD6/LHCB4.1/PPD5/LHCB3/EMB2728/PSAN/ATLFNR1/MSP-1",63
"GO:0019684","GO:0019684","photosynthesis, light reaction","44/352","128/21895",1.01651535966097e-46,5.38753140620314e-44,3.94835966015682e-44,"PSB27/OE23/PSAO/CP24/PYG7/AB140/AtTLP18.3/PSAG/ATFD2/LHCA3/NDF2/PSBY/LIL8/LQY1/PSBR/LHCB2/PSB29/PSBW/FTSH2/LHB1B1/EDA3/CURT1B/DEG2/LHCB4.2/GBP/LHCB2/CAB4/OEC33/LHCA1/LHCA2/TROL/PETC/ATPC1/PSBQ/ATPD/LHCB5/PSBQ/PGR5-LIKE/FAD6/LHCB4.1/LHCB3/PSAN/ATLFNR1/MSP-1",44
"GO:0009657","GO:0009657","plastid organization","52/352","311/21895",1.76205647933517e-37,6.22593289365094e-35,4.56279888333108e-35,"ATTIC110/CRB/CLPP6/CLP2/RPL21C/CP22/CLPR1/GDC1/cPGK2/ATSCO1/PSRP3/1/FLN2/HPE1/RIQ2/CS17/NA/PSB29/PDTPI/AtIF3-2/CH-CPN60A/ALB3/FTSH2/MRL7-L/EMB3113/EDA3/PSRP4/CURT1B/DEG2/TRX/ATYLMG1-1/FLN1/PSRP5/ACSF/APG3/CSP41A/AtcpRRF/CURT1A/PTAC14/ATRAB8D/mTERF6/SAMC1/RIQ1/ATYLMG2/CDF1/HCF136/PDE225/AtRH3/ATGLK2/CLPP4/RPL24/AtRNJ/ATERS",52
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","54/352","351/21895",5.83032213622204e-37,1.54503536609884e-34,1.13230993066628e-34,"PSB27/OE23/PSAO/CP24/PYG7/AB140/FdC2/AtTLP18.3/PSAG/cPGK2/ATFD2/LHCA3/NDF2/PSBY/LIL8/LQY1/PSBR/LHCB2/PSB29/PDTPI/AtFBA1/PSBW/FTSH2/LHB1B1/EDA3/CURT1B/DEG2/EMB3119/LHCB4.2/GBP/LHCB2/CAB4/OEC33/LHCA1/AtTKL1/LHCA2/TROL/PETC/ATPC1/PSBQ/ATPD/LHCB5/FdC1/PSBQ/PGR5-LIKE/FAD6/AtFBA2/LHCB4.1/ADG2/LHCB3/EMB2728/PSAN/ATLFNR1/MSP-1",54
"GO:0006779","GO:0006779","porphyrin-containing compound biosynthetic process","26/352","71/21895",8.31894941660103e-29,1.76361727631942e-26,1.29250203567401e-26,"ATCPO-I/POR/ALB-1V/NA/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/PORB/HEMC/ABAR/DVR/ATGLK2/LIL3:2/EMB3143/GSA1",26
"GO:0015995","GO:0015995","chlorophyll biosynthetic process","25/352","64/21895",1.37932076821225e-28,2.43680002384165e-26,1.78585741568534e-26,"ATCPO-I/POR/ALB-1V/NA/HEME2/NTRC/PDE326/FLU/HEME1/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/PORB/HEMC/ABAR/DVR/ATGLK2/LIL3:2/EMB3143/GSA1",25
"GO:0033014","GO:0033014","tetrapyrrole biosynthetic process","26/352","74/21895",2.98538143024529e-28,4.52072045151429e-26,3.31309999326469e-26,"ATCPO-I/POR/ALB-1V/NA/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/PORB/HEMC/ABAR/DVR/ATGLK2/LIL3:2/EMB3143/GSA1",26
"GO:0015994","GO:0015994","chlorophyll metabolic process","27/352","87/21895",1.31883601983466e-27,1.74745772628092e-25,1.28065918768155e-25,"ATCPO-I/POR/ALB-1V/NA/PSB29/HEME2/NTRC/PDE326/FLU/HEME1/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/PORB/HEMC/ABAR/DVR/CLD1/ATGLK2/LIL3:2/EMB3143/GSA1",27
"GO:0006778","GO:0006778","porphyrin-containing compound metabolic process","28/352","99/21895",2.59117919124546e-27,3.0518332696891e-25,2.23659677560135e-25,"ATCPO-I/POR/ALB-1V/NA/PSB29/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/PORB/HEMC/ABAR/DVR/CLD1/ATGLK2/LIL3:2/EMB3143/GSA1",28
"GO:0033013","GO:0033013","tetrapyrrole metabolic process","28/352","100/21895",3.54727877281988e-27,3.76011549918907e-25,2.75567550983271e-25,"ATCPO-I/POR/ALB-1V/NA/PSB29/HEME2/NTRC/PDE326/FLU/HEME1/GBP/ELIP/ATG4/ACSF/GUN4/HEMG1/LIL3:1/CH-42/CHLM/PORB/HEMC/ABAR/DVR/CLD1/ATGLK2/LIL3:2/EMB3143/GSA1",28
