"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","GO:0009534","chloroplast thylakoid","145/388","413/25124",6.13653217194403e-163,7.54793457149115e-161,3.61732422767227e-161,"CLPP5/PSB27/POR/OE23/EMB2784/ALB-1V/CLPP6/CLP2/CP24/ATLFNR2/DRT112/NA/PYG7/AB140/PSAK/PSAF/PRK/NA/GAPB/CP22/CLPR1/NA/PSAH-2/AtTLP18.3/PSAG/LHCA3/PRPS6/NDF2/CLPP3/RBCS1A/HHL1/PSBY/PSRP3/1/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/PSBR/CS17/LHCB2/PSBX/NA/PSAE-2/PSB29/AtFBA1/STIC2/ATGPX1/NA/BASS2/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/ATBCA1/EMB3119/LHCB4.2/FLU/ATHM4/PSAH-1/DAC/GBP/ELIP/ATPRX/GHS1/LHCB2/RPL12-C/PTAC16/CAB4/OEC33/ATG4/PSRP2/CP33/LHCA1/PPL1/NA/PSRP5/ACSF/LHCA2/NA/CYP20-3/CSP41A/EMB3126/TROL/CURT1A/HEMG1/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/PTAC14/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/SHM1/LHCB4.1/FIP/MPH1/RIQ1/PPD5/ATCYP20-2/NA/DVR/NA/ATCPN21/CDF1/CaS/HCF136/NA/NA/ATGSL1/CLD1/CLPP4/LIL3:2/LHCB3/HTB4/PSAN/ATLFNR1/MSP-1",145
"GO:0034357","GO:0034357","photosynthetic membrane","126/388","364/25124",3.06993409556053e-139,1.25867297917982e-137,6.03215120531192e-138,"PSB27/POR/OE23/EMB2784/PSAO/CP24/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/GAPB/CP22/NA/PSAH-2/AtTLP18.3/PSAG/LHCA3/PRPS6/NDF2/RBCS1A/PSBY/PSRP3/1/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/PSBR/LHCB2/PSBX/NA/PSAE-2/PSB29/STIC2/ATGPX1/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/ATBCA1/EMB3119/ATYLMG1-1/LHCB4.2/FLU/ATHM4/PSAH-1/DAC/ELIP/ATPRX/LHCB2/RPL12-C/PTAC16/CAB4/OEC33/ATG4/NA/PSRP2/CP33/LHCA1/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/mTERF6/LHCB4.1/FIP/MPH1/RIQ1/PPD5/ATCYP20-2/NA/ATCPN21/CDF1/CaS/HCF136/NA/ATGSL1/CLPP4/LIL3:2/LHCB3/PSAN/ATLFNR1/MSP-1",126
"GO:0010287","GO:0010287","plastoglobule","29/388","67/25124",4.80341458211752e-35,7.38524992000568e-34,3.53935811313922e-34,"CRB/CLP2/CP24/AB140/PSAF/PSAH-2/LHCA3/LHCB2/PSAE-2/AtFBA1/LHB1B1/RCA/LHCB4.2/ATPRX/LHCB2/CAB4/OEC33/LHCA1/CSP41A/CURT1A/PSAD-1/ATPD/LHCB5/PSAL/AtFBA2/LHCB4.1/NA/LHCB3/MSP-1",29
"GO:0048046","GO:0048046","apoplast","41/388","301/25124",1.30720886802413e-26,1.78651878629965e-25,8.56183586074285e-26,"ATCPO-I/ATHM1/OE23/CRB/GAPA-2/ATLFNR2/AOR/PRK/GAPB/CPN60B/ATSCO1/RBCS1A/NA/PDTPI/AtFBA1/CH-CPN60A/AtSOD2/NA/RCA/ATBCA1/2CPA/GOX2/GOX1/NA/SBPASE/CYP20-3/CSP41A/PSBQ/ATRAB8D/SHM1/AtFBA2/HEMC/ATGER3/ATCPN21/ATGSL1/RBCS1B/EMB2728/GSA1/ATLFNR1/NA/MSP-1",41
"GO:0031977","GO:0031977","thylakoid lumen","22/388","61/25124",1.00019529391257e-24,1.23024021151246e-23,5.89588804832674e-24,"PSB27/OE23/DRT112/AtTLP18.3/RBCS1A/AtGLYI6/NA/AtFBA1/FTSH2/PnsL1/OEC33/PPL1/CYP20-3/PSBQ/APX4/PSBQ/PPD5/ATCYP20-2/HCF136/PSAN/ATLFNR1/MSP-1",22
"GO:0042646","GO:0042646","plastid nucleoid","19/388","50/25124",4.87742404350754e-22,4.99935964459522e-21,2.39592760031949e-21,"PRIN2/ATWHY1/PTAC6/FLN2/HMR/CURT1B/PDE324/TRX/PTAC13/PTAC16/FLN1/PTAC14/ATRAB8D/ATFSD1/FSD3/PDE225/FSD2/PRPL29/AtERG1",19
"GO:0009295","GO:0009295","nucleoid","19/388","56/25124",6.26073918077069e-21,5.13380612823197e-20,2.46036066051339e-20,"PRIN2/ATWHY1/PTAC6/FLN2/HMR/CURT1B/PDE324/TRX/PTAC13/PTAC16/FLN1/PTAC14/ATRAB8D/ATFSD1/FSD3/PDE225/FSD2/PRPL29/AtERG1",19
"GO:0005840","GO:0005840","ribosome","39/388","390/25124",2.04577754056181e-20,1.57269148430689e-19,7.53707514943825e-20,"EMB2784/CRB/SDP/PRPL34/PRPL11/CPN60B/RBCS1A/RPS9/emb1473/CS17/AtFBA1/PRPL35/CH-CPN60A/PRPL28/EMB3113/NA/PRPS10/GOX1/PRPS20/RFC3/RPL15/RPL12-C/NA/RPL9/NA/PRPL17/CYP20-3/CSP41A/EMB3126/PRPL5/emb2726/SHM1/EMB3136/EMB3137/NA/ARRPS1/ATGSL1/NA/RPL24",39
"GO:0010319","GO:0010319","stromule","16/388","35/25124",2.39042913093438e-20,1.72954578297017e-19,8.28879450974149e-20,"ATHM1/CRB/AOR/PRK/GAPB/CPN60B/AtGLYI6/PSB29/NA/RCA/ATBCA1/2CPA/CSP41A/ATPD/SHM1/EMB2728",16
"GO:0009368","GO:0009368","endopeptidase Clp complex","7/388","10/25124",2.28929201718918e-11,1.08301122351642e-10,5.19029769079328e-11,"CLPP5/CLPP6/CLP2/CLPR1/CLPP3/CLPR4/CLPP4",7
"GO:0044815","GO:0044815","DNA packaging complex","7/388","25/25124",7.5077311822983e-08,2.88578417319591e-07,1.38300311252863e-07,"HMGA/HON5/HIS4/H1.2/EMB2795/ATCAP-C/ATCAP-E1",7
"GO:1990204","GO:1990204","oxidoreductase complex","13/388","141/25124",3.09317791289022e-07,1.08703109510142e-06,5.20956280065721e-07,"OE23/NA/NA/PSBR/ATRNR1/PnsL1/OEC33/PPL1/PSBQ/PSBQ/PSB28/PPD5/MSP-1",13
"GO:0000228","GO:0000228","nuclear chromosome","15/388","242/25124",6.07800662920671e-06,1.96735477734849e-05,9.42848673782758e-06,"G-H2AX/HMGA/HTA10/ORTH2/EMB2795/H2A.Z/HTA13/H2A.Z/HTA2/ATRAD51/h2a.w.7/ATCAP-C/ATHTA1/h2a.w.6/ATRPA70D",15
"GO:0019898","GO:0019898","extrinsic component of membrane","8/388","76/25124",2.27199051633313e-05,6.81597154899939e-05,3.26653321988845e-05,"OE23/NA/PnsL1/PPL1/PSBQ/PSBQ/PPD5/DFR",8
"GO:0032993","GO:0032993","protein-DNA complex","6/388","61/25124",0.000354062452288051,0.000967770702920672,0.00046380110709078,"HMGA/HON5/HIS4/H1.2/ABAP1/ATRPA70D",6
"GO:0005759","GO:0005759","mitochondrial matrix","7/388","120/25124",0.00265451193005271,0.00680218682076007,0.00325992693164368,"PRPL34/PRPL28/EMB3113/CHL-CPN10/SHM1/CGE1/ATCPN21",7
"GO:0000428","GO:0000428","DNA-directed RNA polymerase complex","7/388","126/25124",0.00348418143507452,0.00874600645947278,0.00419149646324755,"CRB/PRIN2/PTAC6/FLN2/HMR/PTAC14/PDE225",7
"GO:0045259","GO:0045259","proton-transporting ATP synthase complex","3/388","24/25124",0.00581421031196889,0.0140225072229838,0.00672024308504144,"ATPC1/ATPD/PDE334",3
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","2/388","13/25124",0.0165807538119989,0.0357795213837871,0.0171472246255206,"NDF2/NDH-O",2
"GO:0048500","GO:0048500","signal recognition particle","2/388","13/25124",0.0165807538119989,0.0357795213837871,0.0171472246255206,"CAO/54CP",2
