"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005507","GO:0005507","copper ion binding","38/1286","191/21875",2.79595880234108e-11,1.62724802296251e-08,1.30379973624958e-08,"NA/AtSOD1/ATCYTC-A/ANN1/SKS6/mMDH1/ACO2/cICDH/NA/MGP1/NA/FBA6/MAT3/GAPC/AAC1/ATMT-1/mMDH2/mtLPD2/ATGSKB6/ATPQ/AtFBA8/ATCTIMC/AtSAM2/ATSAHH1/NA/sks4/sks9/ATFP6/GDH2/NA/NA/AAC2/ATCIMS/NA/NA/NA/ADK1/sks17",38
"GO:0003954","GO:0003954","NADH dehydrogenase activity","10/1286","23/21875",2.6921994838349e-07,7.83430049795955e-05,6.27707563862558e-05,"NA/NA/NA/NA/NA/NDB2/NDB1/CI51/NA/NA",10
"GO:0016853","GO:0016853","isomerase activity","37/1286","262/21875",6.84905820434789e-07,0.000132460146600501,0.0001061310272093,"iPGAM1/Z-ISO/HYD1/ATPDI5/PGM3/ATMUM4/UGE3/ATPDI6/CAS1/AtCYP19-1/NA/ATCYP5/ATPDI9/ATPMM/ATPDI11/MEE31/iPGAM2/NA/ATPDI12/GAE6/ATTOPII/FKBP15-1/NA/SETH3/ATPDI1/ATCTIMC/NA/ATECI3/ATUGE2/NA/ATRGP2/FKBP15-2/CPI1/NA/NA/ROC7/ATPDI2",37
"GO:0050897","GO:0050897","cobalt ion binding","14/1286","51/21875",9.10379014436431e-07,0.000132460146600501,0.0001061310272093,"CAT1/IAR4/MSA1/MGP1/NA/ATCYS6/NA/mtLPD2/GABA-T/SHM4/GDH2/ATP5/HER2/SDH1-1",14
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","9/1286","22/21875",2.01866534908559e-06,0.000195810538861302,0.00015688925432367,"ATVHA-C/VHA-A/NA/NA/NA/NA/NA/emb2448/NA",9
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","9/1286","22/21875",2.01866534908559e-06,0.000195810538861302,0.00015688925432367,"ATVHA-C/VHA-A/NA/NA/NA/NA/NA/emb2448/NA",9
"GO:0015078","GO:0015078","proton transmembrane transporter activity","25/1286","152/21875",2.80643426390469e-06,0.000233334963084647,0.000186954944196959,"ATVHA-C/NA/AtNCL/VHA-A/ATNHX6/NA/AHA1/NA/ATP3/AVMA10/NA/ATSTP4/NA/ATPQ/NA/NA/emb2448/NA/AHA2/NA/NA/ATP5/ATSTP13/NA/NA",25
"GO:0003924","GO:0003924","GTPase activity","29/1286","194/21875",3.42369187715296e-06,0.000249073584062878,0.000199565197576153,"TOR2/ARA/ATRAB-A2B/ADL1C/ATRABA1B/XLG3/ATRAB-C1/NA/DRP5A/ATSAR1/ADL3/TBB7/AtRABA5d/AtRABA5b/ATSGP2/ARA-3/ATRAB8/ARA-6/ATCBG/ASAR1/AT-RAB2/ATRAB1C/NA/TUB6/ATRAB1A/ATRAB-A2D/AtRabE1b/TUB2/ARAC10",29
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","7/1286","14/21875",5.68351544106088e-06,0.000330780598669743,0.000265031298988418,"NA/NA/NA/NA/NA/CI51/NA",7
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","7/1286","14/21875",5.68351544106088e-06,0.000330780598669743,0.000265031298988418,"NA/NA/NA/NA/NA/CI51/NA",7
