"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","25/827","63/21895",1.1793042146815e-19,1.93641752050702e-16,1.72178415343499e-16,"NA/NA/NA/NA/ATERDJ2A/NA/ATRER1C1/NA/NA/NA/ATPMM/NA/NA/NA/ERD2B/NA/NA/NA/NA/ATRER1A/NA/NA/NA/NA/NA",25
"GO:0010038","GO:0010038","response to metal ion","60/827","438/21895",4.26693568830341e-18,3.5031542000971e-15,3.11486305246149e-15,"AtSOD1/PAB1/AlaAT1/ATARCA/ATDHAR1/CAT1/ATPDI5/PGM3/ATELF5A-2/ATGSTU13/APT1/EngD-1/ANN1/PAB8/AtCRT1a/NA/TPX1/HIPP20/ATPDI6/UBC13A/AtHsp70-14/NA/ATGRP7/ATNRAMP3/PAB4/PAG1/PICC/FBA6/ENO2/ATCDF1/ATPDI11/GAPC/PLD/NA/AtFBA8/ATCTIMC/ROC2/NA/ATNDK1/ACX1/AtHsp90-7/ATCBL3/PBA1/PCK1/mtHsc70-1/ATGRP8/PSE1/AtTudor1/NA/NA/ATRGP2/ATRAN1/AtGGCT2;1/NA/BIP/ATOXS3/ADF3/AtTudor2/ADK1/NA",60
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","25/827","97/21895",1.44351007086743e-14,3.95040589394053e-12,3.51254117244408e-12,"ATPDI10/AtCRT1b/ATUTR3/EBS5/ATPDI5/AtCRT1a/AtHrd1B/EBS1/ATPDI6/ATUTR1/ATPDI9/ATPDI11/ATPDI4/ATPDI1/NA/AtHsp90-7/DER1/EBS7/AtOS9/BIP/MNS4/NA/FKBP15-2/ATPDI2/ATCNX1",25
"GO:0006457","GO:0006457","protein folding","29/827","182/21895",5.19590097112095e-11,9.47963266064512e-09,8.42890601981844e-09,"AtCRT1b/CPN10/ATPDI5/AtCRT1a/NA/ATPDI6/AtCYP19-1/KIS/HSP60-2/NA/NA/ATPDI4/NA/PDF2/AtUSP/ZR3/ATPDI1/ROC2/ATERDJ3B/AtHsp90-7/SES1/mtHsc70-1/NA/BIP/AtHsp90.4/Cpn60beta3/ROC7/ATPDI2/ATCNX1",29
"GO:0016192","GO:0016192","vesicle-mediated transport","51/827","499/21895",1.2484462024086e-10,2.04994866435492e-08,1.82273145551656e-08,"ABCI18/PRA1.E/ECH/NA/AUXILIN-LIKE3/p24delta5/NA/AP4E/NA/ATSAR1/NA/VPS2.1/ATVSR3/AP4S/ATRER1C1/NA/PRA1.B4/NA/ARF1A1C/NA/p24beta2/AtCHC1/GOM8/NA/ERD2B/ARA-3/CLC3/ATELP/PRA1.B1/ALPHA-SNAP2/NA/VPS28-2/AT-RAB2/ATSYP23/AP4M/SNF7.1/ATVAMP711/NA/ATRER1A/PRA1.A1/ATSNX1/SNX2b/AP4B/NA/ATVTI11/NA/VPS26A/AGD5/TRAPPC3/ckl12/AtRabE1b",51
"GO:0009060","GO:0009060","aerobic respiration","17/827","76/21895",2.59978920112876e-09,3.55737822354452e-07,3.16307686137332e-07,"SDH6/NA/ATCYTC-A/NA/SDH8/SDH4/NA/SDH7/NDB2/CYTC-2/SDH3-2/NA/NA/NA/NA/c-NAD-MDH2/NA",17
"GO:1901137","GO:1901137","carbohydrate derivative biosynthetic process","44/827","453/21895",1.12371644687615e-08,1.23009493718043e-06,1.09375067495945e-06,"DPMS1/APT1/ATNUDT15/ATDAD1/PRS2/ATFUT12/NA/ATMUM4/AT-RSH3/ARTUMES/EBS1/OST1b/OST1a/AXS1/NA/ATP3/GLCNA.UT2/DAD2/NA/CYT1/GPT/ATPMM/NA/NA/MANIA/ATTSO2/UGD2/UXS5/ATPQ/ATCTIMC/ATNDK1/CTPS4/HAP6/NA/NA/NA/ATP5/UGD3/STT3A/PYR6/MNS4/ATUXS3/NA/DGL1",44
"GO:0046034","GO:0046034","ATP metabolic process","20/827","117/21895",1.48857301831181e-08,1.5276480600425e-06,1.35832287920953e-06,"NA/ATCYTC-A/NA/PGK/ATP3/FBA6/ENO2/GAPC/NA/ATPQ/AtFBA8/ATCTIMC/CYTC-2/NA/SDH3-2/NA/NA/NA/RISP/ATP5",20
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","38/827","365/21895",1.80273428471818e-08,1.74122923265133e-06,1.54823062099326e-06,"APT1/ATNUDT15/PRS2/NA/AtDJ1B/ATMUM4/AT-RSH3/PGK/NA/AXS1/ATP3/GLCNA.UT2/FBA6/ENO2/CYT1/ATPMM/GAPC/NA/ATTSO2/UGD2/UXS5/ATPQ/AtFBA8/ATCTIMC/AGK2/ATNDK1/CTPS4/NA/LKR/NA/ATP5/UGD3/ATRGP2/PYR6/GSDA/NA/ATUXS3/ADK1",38
"GO:0006414","GO:0006414","translational elongation","12/827","48/21895",1.54975310982153e-07,1.21248469427136e-05,1.07809235909633e-05,"NA/ATELF5A-1/ATARCA/ATELF5A-2/LOS1/NA/RACK1C/NA/NA/NA/NA/RPP1.3",12
"GO:0042254","GO:0042254","ribosome biogenesis","36/827","366/21895",1.78027367669442e-07,1.3287315350601e-05,1.18145434907902e-05,"NA/ATARCA/NA/ARP1/NA/AP40/RPL7B/AtNMD3/NA/AtPEIP1/RPL16A/NA/NA/NA/NA/NA/NA/NA/NA/RPL24/RPL23A2/AtCBF5/ARS27A/NA/ATUGE2/IRP9/NA/AtLa1/NA/NA/NA/NA/NA/ATRAN1/EVR1L1/NA",36
