"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","GO:0009534","chloroplast thylakoid","202/544","413/25124",1.11540403051111e-233,1.32733079630823e-231,7.39688988654738e-232,"NA/CLPP5/PSB27/POR/OE23/EMB2784/ALB-1V/CLPP6/NA/CLP2/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/NA/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/CLPR1/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/CLPP3/RBCS1A/HHL1/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/CS17/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/AtFBA1/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/ATF1/EMB3119/NA/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/GBP/ELIP/PLSP1/NA/ATPRX/NA/GHS1/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/NA/LHCA2/NA/CYP20-3/CSP41A/EMB3126/TROL/CURT1A/HEMG1/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/PTAC14/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/HCF244/SHM1/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/DVR/NA/ATCPN21/CRRL/emb1211/CDF1/CaS/HCF136/NA/NA/ATGSL1/CLD1/APE1/FTSH5/NA/AtCEST/CLPP4/ATFKBP13/LIL3:2/ATHSP93-V/HCF106/NA/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",202
"GO:0031976","GO:0031976","plastid thylakoid","202/544","416/25124",7.91367752511616e-233,4.70863812744412e-231,2.62400886359115e-231,"NA/CLPP5/PSB27/POR/OE23/EMB2784/ALB-1V/CLPP6/NA/CLP2/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/NA/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/CLPR1/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/CLPP3/RBCS1A/HHL1/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/CS17/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/AtFBA1/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/ATF1/EMB3119/NA/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/GBP/ELIP/PLSP1/NA/ATPRX/NA/GHS1/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/NA/LHCA2/NA/CYP20-3/CSP41A/EMB3126/TROL/CURT1A/HEMG1/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/PTAC14/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/HCF244/SHM1/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/DVR/NA/ATCPN21/CRRL/emb1211/CDF1/CaS/HCF136/NA/NA/ATGSL1/CLD1/APE1/FTSH5/NA/AtCEST/CLPP4/ATFKBP13/LIL3:2/ATHSP93-V/HCF106/NA/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",202
"GO:0034357","GO:0034357","photosynthetic membrane","180/544","364/25124",1.30718541871687e-207,5.18516882757692e-206,2.88956776768992e-206,"NA/PSB27/POR/OE23/EMB2784/PSAO/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/ATCAO/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/EMB3119/ATYLMG1-1/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/PLSP1/NA/ATPRX/NA/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/HCF244/mTERF6/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/ATCPN21/CRRL/emb1211/CDF1/CaS/HCF136/NA/NA/ATGSL1/APE1/FTSH5/NA/AtCEST/CLPP4/LIL3:2/ATHSP93-V/HCF106/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",180
"GO:0042651","GO:0042651","thylakoid membrane","179/544","363/25124",4.38570326719289e-206,1.30474672198988e-204,7.27103436403031e-205,"NA/PSB27/POR/OE23/EMB2784/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/ATCAO/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/EMB3119/ATYLMG1-1/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/PLSP1/NA/ATPRX/NA/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/HCF244/mTERF6/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/ATCPN21/CRRL/emb1211/CDF1/CaS/HCF136/NA/NA/ATGSL1/APE1/FTSH5/NA/AtCEST/CLPP4/LIL3:2/ATHSP93-V/HCF106/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",179
"GO:0055035","GO:0055035","plastid thylakoid membrane","173/544","335/25124",1.88503447038612e-203,4.48638203951898e-202,2.50015098177528e-202,"NA/PSB27/POR/OE23/EMB2784/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/EMB3119/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/PLSP1/NA/ATPRX/NA/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/ATCPN21/CRRL/emb1211/CDF1/CaS/HCF136/NA/ATGSL1/APE1/FTSH5/NA/AtCEST/CLPP4/LIL3:2/ATHSP93-V/HCF106/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",173
"GO:0009535","GO:0009535","chloroplast thylakoid membrane","171/544","329/25124",1.29609612837825e-201,2.57059065461687e-200,1.43252729978649e-200,"NA/PSB27/POR/OE23/EMB2784/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/EMB3119/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/PLSP1/NA/ATPRX/NA/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/ATCPN21/CRRL/emb1211/CaS/HCF136/NA/ATGSL1/APE1/FTSH5/NA/AtCEST/CLPP4/LIL3:2/ATHSP93-V/HCF106/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",171
"GO:0009521","GO:0009521","photosystem","34/544","47/25124",9.89239661285962e-47,1.68170742418614e-45,9.37174415955122e-46,"OE23/PSAO/PnsL2/CP24/PSAF/Lhca5/PSAH-2/PSAG/PSBY/LIL8/NA/NA/PSBR/LHCB2/PSAE-2/PnsL1/CURT1B/PnsL3/PSAH-1/LHCB2/OEC33/PPL1/LHCA2/MPH2/PSAD-1/PSBQ/LHCB5/PSAL/PSBQ/PSB28/PPD5/NA/PSAN/MSP-1",34
"GO:0031977","GO:0031977","thylakoid lumen","32/544","61/25124",2.67964100313817e-37,3.98596599216803e-36,2.22128135786454e-36,"PSB27/OE23/PnsL2/DRT112/AtTLP18.3/RBCS1A/AtGLYI6/NA/NA/AtFBA1/FTSH2/PnsL1/PnsL3/ATCYP38/OEC33/PPL1/NA/CYP20-3/MPH2/PSBQ/APX4/PSBQ/FKBP16-2/PPD5/ATCYP20-2/HCF136/ATFKBP13/NA/TL17/PSAN/ATLFNR1/MSP-1",32
"GO:0010287","GO:0010287","plastoglobule","31/544","67/25124",6.22339494592683e-34,8.22871109516991e-33,4.58565943384082e-33,"CRB/CLP2/CP24/NA/AB140/PSAF/PSAH-2/LHCA3/LHCB2/PSAE-2/AtFBA1/LHB1B1/RCA/LHCB4.2/ATPRX/NA/LHCB2/CAB4/OEC33/LHCA1/CSP41A/CURT1A/PSAD-1/ATPD/LHCB5/PSAL/AtFBA2/LHCB4.1/NA/LHCB3/MSP-1",31
"GO:0048046","GO:0048046","apoplast","51/544","301/25124",1.67371298362248e-30,1.99171845051075e-29,1.1099359786128e-29,"ATCPO-I/ATHM1/OE23/CRB/NA/GAPA-2/NA/ATLFNR2/AOAT1/AOR/PRK/GAPB/CPN60B/ATSCO1/RBCS1A/ATHPR1/NA/AGT/PDTPI/AtFBA1/CH-CPN60A/AtSOD2/NA/RCA/ATBCA1/2CPA/GOX2/GOX1/cfbp1/SBPASE/ADSS/NA/CYP20-3/CSP41A/PSBQ/ATRAB8D/SHM1/AtFBA2/HEMC/ATGER3/ATCPN21/ATGSL1/NA/RBCS1B/cpHsc70-2/NADP-MDH/EMB2728/GSA1/ATLFNR1/NA/MSP-1",51
