"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","GO:0009534","chloroplast thylakoid","202/544","413/25124",1.11540403051111e-233,1.32733079630823e-231,7.39688988654738e-232,"NA/CLPP5/PSB27/POR/OE23/EMB2784/ALB-1V/CLPP6/NA/CLP2/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/NA/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/CP22/Lhca5/CLPR1/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/CLPP3/RBCS1A/HHL1/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/CS17/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/AtFBA1/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/ATF1/EMB3119/NA/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/GBP/ELIP/PLSP1/NA/ATPRX/NA/GHS1/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/NA/LHCA2/NA/CYP20-3/CSP41A/EMB3126/TROL/CURT1A/HEMG1/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/PTAC14/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/HCF244/SHM1/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/DVR/NA/ATCPN21/CRRL/emb1211/CDF1/CaS/HCF136/NA/NA/ATGSL1/CLD1/APE1/FTSH5/NA/AtCEST/CLPP4/ATFKBP13/LIL3:2/ATHSP93-V/HCF106/NA/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",202
"GO:0034357","GO:0034357","photosynthetic membrane","180/544","364/25124",1.30718541871687e-207,5.18516882757692e-206,2.88956776768992e-206,"NA/PSB27/POR/OE23/EMB2784/PSAO/PnsL2/NA/CP24/ACR11/NDF6/ATLFNR2/DRT112/PYG7/AB140/PSAK/PSAF/PRK/NA/OHP2/GAPB/ATCAO/CP22/Lhca5/NA/CURT1C/PSAH-2/NA/AtTLP18.3/ZKT/PSAG/NA/LHCA3/PRPS6/NDF2/PTAC4/RBCS1A/PSBY/PSRP3/1/CRR23/LIL8/NA/NA/RIQ2/NDH-O/LQY1/NA/NA/TAPX/PSBR/APG2/LHCB2/AtPGR5/PSBX/NA/NA/PSAE-2/PSB29/YCF37/STIC2/ATGPX1/NA/NA/NA/ALB3/NA/PSBW/FTSH2/EMB3113/LHB1B1/EDA3/NA/NA/PnsL1/RCA/NA/CURT1B/CAO/CRR6/DEG2/PnsL3/ATCYP38/ATBCA1/EMB3119/ATYLMG1-1/LHCB4.2/NA/FLU/ATHM4/PSAH-1/NDF4/DAC/ELIP/PLSP1/NA/ATPRX/NA/LHCB2/RPL12-C/PTAC16/NA/CAB4/OEC33/NA/ATG4/PSRP2/NA/CP33/NA/LHCA1/PDE329/PPL1/NA/PSRP5/ACSF/LHCA2/CYP20-3/EMB3126/TROL/CURT1A/MPH2/PSAD-1/PETC/ATHM2/ATPC1/PSBQ/APX4/ATPD/LHCB5/PSAL/LIL3:1/ATRAB8D/PSBQ/PGR5-LIKE/ATRBP31/CHLM/PORB/NA/PSB28/PDE334/SEP1/HCF244/mTERF6/FKBP16-2/DJA5/LHCB4.1/FIP/NA/ATEGY2/MPH1/RIQ1/NA/PPD5/ATCYP20-2/NA/ATTIC40/ENH1/ATCPN21/CRRL/emb1211/CDF1/CaS/HCF136/NA/NA/ATGSL1/APE1/FTSH5/NA/AtCEST/CLPP4/LIL3:2/ATHSP93-V/HCF106/TL17/LHCB3/NdhN/PSAN/ATLFNR1/MSP-1",180
"GO:0031977","GO:0031977","thylakoid lumen","32/544","61/25124",2.67964100313817e-37,3.98596599216803e-36,2.22128135786454e-36,"PSB27/OE23/PnsL2/DRT112/AtTLP18.3/RBCS1A/AtGLYI6/NA/NA/AtFBA1/FTSH2/PnsL1/PnsL3/ATCYP38/OEC33/PPL1/NA/CYP20-3/MPH2/PSBQ/APX4/PSBQ/FKBP16-2/PPD5/ATCYP20-2/HCF136/ATFKBP13/NA/TL17/PSAN/ATLFNR1/MSP-1",32
"GO:0010287","GO:0010287","plastoglobule","31/544","67/25124",6.22339494592683e-34,8.22871109516991e-33,4.58565943384082e-33,"CRB/CLP2/CP24/NA/AB140/PSAF/PSAH-2/LHCA3/LHCB2/PSAE-2/AtFBA1/LHB1B1/RCA/LHCB4.2/ATPRX/NA/LHCB2/CAB4/OEC33/LHCA1/CSP41A/CURT1A/PSAD-1/ATPD/LHCB5/PSAL/AtFBA2/LHCB4.1/NA/LHCB3/MSP-1",31
"GO:0048046","GO:0048046","apoplast","51/544","301/25124",1.67371298362248e-30,1.99171845051075e-29,1.1099359786128e-29,"ATCPO-I/ATHM1/OE23/CRB/NA/GAPA-2/NA/ATLFNR2/AOAT1/AOR/PRK/GAPB/CPN60B/ATSCO1/RBCS1A/ATHPR1/NA/AGT/PDTPI/AtFBA1/CH-CPN60A/AtSOD2/NA/RCA/ATBCA1/2CPA/GOX2/GOX1/cfbp1/SBPASE/ADSS/NA/CYP20-3/CSP41A/PSBQ/ATRAB8D/SHM1/AtFBA2/HEMC/ATGER3/ATCPN21/ATGSL1/NA/RBCS1B/cpHsc70-2/NADP-MDH/EMB2728/GSA1/ATLFNR1/NA/MSP-1",51
"GO:0042646","GO:0042646","plastid nucleoid","24/544","50/25124",4.9128057054515e-27,4.17588484963377e-26,2.32711849205597e-26,"PRIN2/ATWHY1/PTAC6/PTAC4/FLN2/ATWHY3/ATRAP/HMR/CURT1B/PDE324/TRX/PTAC13/PTAC16/PDE312/FLN1/PTAC14/ATRAB8D/ATFSD1/FSD3/PDE225/PRDA1/FSD2/PRPL29/AtERG1",24
"GO:0009295","GO:0009295","nucleoid","24/544","56/25124",1.56032905285845e-25,1.16049473306347e-24,6.46715331118964e-25,"PRIN2/ATWHY1/PTAC6/PTAC4/FLN2/ATWHY3/ATRAP/HMR/CURT1B/PDE324/TRX/PTAC13/PTAC16/PDE312/FLN1/PTAC14/ATRAB8D/ATFSD1/FSD3/PDE225/PRDA1/FSD2/PRPL29/AtERG1",24
"GO:0005840","GO:0005840","ribosome","51/544","390/25124",4.65766067390323e-25,3.26036247173226e-24,1.81692026288485e-24,"EMB2784/CRB/NA/SDP/NA/PRPL34/PRPL11/CPN60B/ARP2/RBCS1A/NA/RPS9/emb1473/CS17/AtFBA1/PRPL35/CH-CPN60A/PRPL28/EMB3113/RPL40A/NA/PRPS10/GOX1/PRPS20/RFC3/RPL15/RPL12-C/NA/RPL9/NA/PRPL17/CYP20-3/CSP41A/EMB3126/PRPL5/RPS18C/NA/emb2726/NA/CAT2/SHM1/EMB3136/EMB3137/NA/NA/RPL18C/ARRPS1/ATGSL1/NA/RPL24/NA",51
"GO:0010319","GO:0010319","stromule","19/544","35/25124",5.11275472318815e-23,3.3800989558855e-22,1.88364647696405e-22,"ATHM1/CRB/ACR11/AOR/PRK/GAPB/CPN60B/AtGLYI6/PSB29/NA/RCA/ATBCA1/2CPA/cfbp1/CSP41A/ATPD/CAT2/SHM1/EMB2728",19
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","8/544","13/25124",5.37175297275835e-11,2.06206001212337e-10,1.14913561047123e-10,"NDF6/NDF2/CRR23/NDH-O/NDF4/CRRL/CRR7/NdhN",8
