"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005507","GO:0005507","copper ion binding","16/389","191/21875",3.41695451580583e-07,0.000123693753472171,0.000108263506237637,"ATDHAR1/NA/ANN1/ATGSTF7/FBA6/ENO2/MAT3/GAPC/ATMT-1/ADK1/ATGSKB6/AtSAM2/ATGRP2/ATSAHH1/ADK2/ATCIMS",16
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","6/389","31/21875",1.53769425979018e-05,0.00278322661022022,0.00243603143261497,"TUB5/TUB1/ACT2/ACT7/TUB8/TUB4",6
"GO:0042802","GO:0042802","identical protein binding","19/389","387/21875",7.21106023476713e-05,0.00660898372313556,0.00578454231074092,"FHY2/ANN1/AtHB33/ATOEP16-1/AS1/IAA16/DUT1/AtGATA18/ARF18/ATXT2/ATSK21/ATHB22/IAA27/JKD/ATCM2/THI1/TOE2/ATHB-5/ATHB25",19
"GO:0042803","GO:0042803","protein homodimerization activity","13/389","205/21875",8.27506000384731e-05,0.00660898372313556,0.00578454231074092,"FHY2/ANN1/AtHB33/ATOEP16-1/AS1/AtGATA18/ATXT2/ATHB22/JKD/ATCM2/THI1/ATHB-5/ATHB25",13
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","19/389","394/21875",9.12843055681707e-05,0.00660898372313556,0.00578454231074092,"NA/NA/ATXTH28/BGLU45/ATGH9B1/NA/EXGT-A1/AtXTH32/NA/ATHCHIB/BGLU43/BGLU44/AtGH9B13/AT-BETA-AMY/A/N-InvB/BGAL3/XTH7/BGLC1/ATGH9A1",19
"GO:0005372","GO:0005372","water transmembrane transporter activity","5/389","36/21875",0.000415029045219041,0.0214629306241847,0.0187855252046513,"GAMMA-TIP/GAMMA-TIP2/PIP2;5/PIP1;4/PIP2;7",5
"GO:0015250","GO:0015250","water channel activity","5/389","36/21875",0.000415029045219041,0.0214629306241847,0.0187855252046513,"GAMMA-TIP/GAMMA-TIP2/PIP2;5/PIP1;4/PIP2;7",5
"GO:0016209","GO:0016209","antioxidant activity","9/389","139/21875",0.000872445371709792,0.0372697342366467,0.0326205001606009,"ATDHAR1/ATCAT3/ANN1/TPX1/ATGSTF7/NA/PRXR1/ATPLAT1/AtGRXC2",9
"GO:0030570","GO:0030570","pectate lyase activity","4/389","25/21875",0.000926595602568564,0.0372697342366467,0.0326205001606009,"NA/NA/NA/NA",4
"GO:0003779","GO:0003779","actin binding","8/389","117/21875",0.00117770311641001,0.0426328528140425,0.037314593477833,"AtVAB3/PFN1/WLIM2a/FH2/WLIM2b/AtVAB2/PFN3/ADF4",8
