"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","7/295","23/21875",1.53951056752786e-08,1.02762330382485e-06,8.62936186535353e-07,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","7/295","23/21875",1.53951056752786e-08,1.02762330382485e-06,8.62936186535353e-07,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","7/295","23/21875",1.53951056752786e-08,1.02762330382485e-06,8.62936186535353e-07,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","7/295","23/21875",1.53951056752786e-08,1.02762330382485e-06,8.62936186535353e-07,"KCS1/AtCER6/KCS8/FDH/KCS16/KCS19/KCS20",7
"GO:0008289","GO:0008289","lipid binding","13/295","269/21875",8.00322501308883e-05,0.00427372215698944,0.00358881458481668,"HDG2/HDG12/MLP423/LTPG1/ANNAT4/LTPG2/NA/PDF2/ATML1/ML3/NA/FL1/HB-7",13
"GO:0016746","GO:0016746","transferase activity, transferring acyl groups","16/295","404/21875",0.000131217252554294,0.0058391677386661,0.00490338154281837,"KCS1/ATGPAT4/AtCER6/NA/NA/KCS8/FDH/TBL45/SCPL7/LPAT5/AtGPAT8/KCS16/KCS19/DCR/KCS20/NA",16
"GO:0016747","GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups","15/295","371/21875",0.000169632908333396,0.0064702837892881,0.00543335480827268,"KCS1/ATGPAT4/AtCER6/NA/KCS8/FDH/TBL45/SCPL7/LPAT5/AtGPAT8/KCS16/KCS19/DCR/KCS20/NA",15
"GO:0003996","GO:0003996","acyl-CoA ligase activity","3/295","10/21875",0.000271581213258938,0.00805690932668184,0.00676570741802969,"LACS2/LACS3/CER8",3
"GO:0004467","GO:0004467","long-chain fatty acid-CoA ligase activity","3/295","10/21875",0.000271581213258938,0.00805690932668184,0.00676570741802969,"LACS2/LACS3/CER8",3
"GO:0031956","GO:0031956","medium-chain fatty acid-CoA ligase activity","3/295","13/21875",0.000628117787225841,0.01677074491893,0.0140830619662215,"LACS2/LACS3/CER8",3
