"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009611","GO:0009611","response to wounding","6/42","222/21895",3.92728840886083e-06,0.00126458686765319,0.000839199523156578,"AtBBE16/AtJAC1/ATLOX2/CYP74B2/ATSEN1/atnudt8",6
"GO:0009753","GO:0009753","response to jasmonic acid","5/42","205/21895",4.39801657987502e-05,0.00708080669359878,0.00469893350376121,"AtBBE16/AtJAC1/ATLOX2/ATSEN1/JAO2",5
"GO:0006520","GO:0006520","cellular amino acid metabolic process","6/42","417/21895",0.000135174336078618,0.0145087120724384,0.00962820709612615,"ATBCAT-2/FMO/AGT/ASN1/CYP79B2/AtbZIP1",6
"GO:0009051","GO:0009051","pentose-phosphate shunt, oxidative branch","2/42","14/21895",0.00032214905478371,0.0194938442067924,0.0129364183523337,"PGL2/PGL5",2
"GO:0017014","GO:0017014","protein nitrosylation","2/42","16/21895",0.000423779221886792,0.0194938442067924,0.0129364183523337,"ATCAT3/ATGER3",2
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","2/42","16/21895",0.000423779221886792,0.0194938442067924,0.0129364183523337,"ATCAT3/ATGER3",2
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","5/42","351/21895",0.000537836235059574,0.0216479084611479,0.0143658889101439,"NDF6/LHB1B1/PIFI/PGL2/PGL5",5
"GO:0009620","GO:0009620","response to fungus","5/42","374/21895",0.000716442870631706,0.0243251985482039,0.0161425802722635,"ATBG1/AtTSA1/ATBCA1/ATLOX2/NA",5
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","4/42","215/21895",0.000755440948701986,0.0243251985482039,0.0161425802722635,"ATCAT3/AtLrgB/ASN1/AtbZIP1",4
"GO:0071496","GO:0071496","cellular response to external stimulus","4/42","221/21895",0.000837037283673073,0.0245023641220663,0.0162601501038884,"ATCAT3/AtLrgB/ASN1/AtbZIP1",4
"GO:0009991","GO:0009991","response to extracellular stimulus","4/42","267/21895",0.00168136991892694,0.0420092955290705,0.0278780222046463,"ATCAT3/AtLrgB/ASN1/AtbZIP1",4
"GO:0006740","GO:0006740","NADPH regeneration","2/42","35/21895",0.00205326949395607,0.0440768518035902,0.029250084720918,"PGL2/PGL5",2
