"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","12/45","197/21895",4.4551958576073e-15,1.10488857268661e-12,8.39452693170217e-13,"PnsL2/LHCA2*1/Lhca5/NDF5/NDF2/NA/NA/PnsL1/PnsL3/ATBCA1/NDF4/cfbp1",12
"GO:0019684","GO:0019684","photosynthesis, light reaction","8/45","128/21895",1.96626726484521e-10,2.43817140840805e-08,1.85243073898575e-08,"PnsL2/LHCA2*1/Lhca5/NDF5/NDF2/PnsL3/NDF4/cfbp1",8
"GO:0009767","GO:0009767","photosynthetic electron transport chain","6/45","48/21895",6.13014089334642e-10,5.06758313849971e-08,3.8501586663474e-08,"PnsL2/NDF5/NDF2/PnsL3/NDF4/cfbp1",6
"GO:0010275","GO:0010275","NAD(P)H dehydrogenase complex assembly","4/45","11/21895",5.08250708556998e-09,3.15115439305339e-07,2.39412833767639e-07,"NDH-O/CRR6/CRR9/CRR7",4
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","9/45","351/21895",3.36475465005696e-08,1.5015338272792e-06,1.1408088076527e-06,"PnsL2/LHCA2*1/Lhca5/NDF5/NDF2/PnsL3/NDF4/cfbp1/ADG2",9
"GO:0009773","GO:0009773","photosynthetic electron transport in photosystem I","4/45","17/21895",3.6327431305142e-08,1.5015338272792e-06,1.1408088076527e-06,"NDF5/NDF2/NDF4/cfbp1",4
"GO:0022900","GO:0022900","electron transport chain","6/45","101/21895",5.83805445615024e-08,2.06833929303609e-06,1.57144623706901e-06,"PnsL2/NDF5/NDF2/PnsL3/NDF4/cfbp1",6
"GO:0009409","GO:0009409","response to cold","8/45","427/21895",2.24517626987749e-06,6.96004643662022e-05,5.28798095142198e-05,"CRB/AOR/Lhca5/ATBCA1/NA/cfbp1/CAT2/ATGER3",8
"GO:0017014","GO:0017014","protein nitrosylation","2/45","16/21895",0.000486649838095676,0.0109717418043389,0.00833591588699771,"CRB/ATGER3",2
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","2/45","16/21895",0.000486649838095676,0.0109717418043389,0.00833591588699771,"CRB/ATGER3",2
"GO:2000038","GO:2000038","regulation of stomatal complex development","2/45","16/21895",0.000486649838095676,0.0109717418043389,0.00833591588699771,"ATBCA1/AtEPFL9",2
"GO:0032544","GO:0032544","plastid translation","2/45","20/21895",0.000766509220658194,0.0158411905602693,0.0120355395173523,"CRB/CSP41A",2
"GO:0009768","GO:0009768","photosynthesis, light harvesting in photosystem I","2/45","23/21895",0.00101667330343212,0.0193949984039359,0.0147355887703927,"LHCA2*1/Lhca5",2
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","2/45","30/21895",0.00173212556554273,0.0305330123243543,0.0231978319442251,"NDH-O/CRR9",2
"GO:0045727","GO:0045727","positive regulation of translation","2/45","31/21895",0.00184916690443811,0.0305330123243543,0.0231978319442251,"CRB/CSP41A",2
"GO:0034250","GO:0034250","positive regulation of cellular amide metabolic process","2/45","32/21895",0.00196987176286157,0.0305330123243543,0.0231978319442251,"CRB/CSP41A",2
"GO:0009765","GO:0009765","photosynthesis, light harvesting","2/45","37/21895",0.00262782977045068,0.0383353990042216,0.0291257912638187,"LHCA2*1/Lhca5",2
"GO:0018198","GO:0018198","peptidyl-cysteine modification","2/45","43/21895",0.00353519434805593,0.0487071221287706,0.0370058355732171,"CRB/ATGER3",2
"GO:0010374","GO:0010374","stomatal complex development","2/45","66/21895",0.00814994100082594,0.106378177273939,0.0808221295926783,"ATBCA1/AtEPFL9",2
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","3/45","215/21895",0.00978461102589269,0.11882276298145,0.0902770567643445,"CRB/CAT2/AtbZIP1",3
"GO:0045454","GO:0045454","cell redox homeostasis","2/45","75/21895",0.0104211293522008,0.11882276298145,0.0902770567643445,"Aty2/CAT2",2
"GO:0071496","GO:0071496","cellular response to external stimulus","3/45","221/21895",0.0105407289741609,0.11882276298145,0.0902770567643445,"CRB/CAT2/AtbZIP1",3
"GO:0009658","GO:0009658","chloroplast organization","3/45","240/21895",0.013155002063832,0.141845239644798,0.107768666792949,"CRB/CSP41A/PDE225",3
"GO:0009991","GO:0009991","response to extracellular stimulus","3/45","267/21895",0.0174556154423047,0.163671100097241,0.124351132926172,"CRB/CAT2/AtbZIP1",3
"GO:0019725","GO:0019725","cellular homeostasis","3/45","279/21895",0.0195908885513942,0.163671100097241,0.124351132926172,"Aty2/CAT2/AtbZIP1",3
"GO:0015976","GO:0015976","carbon utilization","1/45","10/21895",0.0203677385451062,0.163671100097241,0.124351132926172,"ATBCA1",1
"GO:0006545","GO:0006545","glycine biosynthetic process","1/45","11/21895",0.0223820612211617,0.163671100097241,0.124351132926172,"AGT",1
"GO:0018026","GO:0018026","peptidyl-lysine monomethylation","1/45","11/21895",0.0223820612211617,0.163671100097241,0.124351132926172,"LSMT-L",1
"GO:0042793","GO:0042793","plastid transcription","1/45","11/21895",0.0223820612211617,0.163671100097241,0.124351132926172,"PDE225",1
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","1/45","11/21895",0.0223820612211617,0.163671100097241,0.124351132926172,"ZPR3",1
"GO:0006417","GO:0006417","regulation of translation","2/45","115/21895",0.0233745212422726,0.163671100097241,0.124351132926172,"CRB/CSP41A",2
"GO:0009684","GO:0009684","indoleacetic acid biosynthetic process","1/45","12/21895",0.02439233389732,0.163671100097241,0.124351132926172,"AMI1",1
"GO:0009970","GO:0009970","cellular response to sulfate starvation","1/45","12/21895",0.02439233389732,0.163671100097241,0.124351132926172,"CAT2",1
"GO:0030388","GO:0030388","fructose 1,6-bisphosphate metabolic process","1/45","12/21895",0.02439233389732,0.163671100097241,0.124351132926172,"cfbp1",1
"GO:0034248","GO:0034248","regulation of cellular amide metabolic process","2/45","118/21895",0.0245203562391325,0.163671100097241,0.124351132926172,"CRB/CSP41A",2
"GO:0009657","GO:0009657","plastid organization","3/45","311/21895",0.025964617847822,0.163671100097241,0.124351132926172,"CRB/CSP41A/PDE225",3
"GO:0006000","GO:0006000","fructose metabolic process","1/45","13/21895",0.0263985645318131,0.163671100097241,0.124351132926172,"cfbp1",1
"GO:0009683","GO:0009683","indoleacetic acid metabolic process","1/45","13/21895",0.0263985645318131,0.163671100097241,0.124351132926172,"AMI1",1
"GO:0015908","GO:0015908","fatty acid transport","1/45","13/21895",0.0263985645318131,0.163671100097241,0.124351132926172,"ATSPLA2-ALPHA",1
"GO:0018904","GO:0018904","ether metabolic process","1/45","13/21895",0.0263985645318131,0.163671100097241,0.124351132926172,"Aty2",1
"GO:0001709","GO:0001709","cell fate determination","1/45","14/21895",0.0284007610675991,0.163963236724783,0.124573087324856,"NA",1
"GO:0005986","GO:0005986","sucrose biosynthetic process","1/45","14/21895",0.0284007610675991,0.163963236724783,0.124573087324856,"cfbp1",1
"GO:0005977","GO:0005977","glycogen metabolic process","1/45","15/21895",0.0303989314323893,0.163963236724783,0.124573087324856,"ADG2",1
"GO:0006002","GO:0006002","fructose 6-phosphate metabolic process","1/45","15/21895",0.0303989314323893,0.163963236724783,0.124573087324856,"cfbp1",1
