"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","GO:0009534","chloroplast thylakoid","16/54","413/25124",2.54021679947064e-16,4.98027283631597e-15,1.34804377524342e-15,"PnsL2/Lhca5/NDF2/NDH-O/NA/NA/PnsL1/CRR6/PnsL3/ATBCA1/NA/NDF4/CSP41A/FKBP16-2/DVR/ATFKBP13",16
"GO:0031976","GO:0031976","plastid thylakoid","16/54","416/25124",2.84587019218055e-16,4.98027283631597e-15,1.34804377524342e-15,"PnsL2/Lhca5/NDF2/NDH-O/NA/NA/PnsL1/CRR6/PnsL3/ATBCA1/NA/NDF4/CSP41A/FKBP16-2/DVR/ATFKBP13",16
"GO:0042651","GO:0042651","thylakoid membrane","12/54","363/25124",1.37336096224072e-11,8.27147011778422e-11,2.23889416721979e-11,"PnsL2/Lhca5/NDF2/NDH-O/NA/NA/PnsL1/CRR6/PnsL3/ATBCA1/NDF4/FKBP16-2",12
"GO:0034357","GO:0034357","photosynthetic membrane","12/54","364/25124",1.41796630590587e-11,8.27147011778422e-11,2.23889416721979e-11,"PnsL2/Lhca5/NDF2/NDH-O/NA/NA/PnsL1/CRR6/PnsL3/ATBCA1/NDF4/FKBP16-2",12
"GO:0031977","GO:0031977","thylakoid lumen","7/54","61/25124",5.64558098870083e-11,2.82279049435042e-10,7.64063592455752e-11,"PnsL2/NA/NA/PnsL1/PnsL3/FKBP16-2/ATFKBP13",7
"GO:0010319","GO:0010319","stromule","6/54","35/25124",1.14511857684522e-10,4.0415572091229e-10,1.09395533480018e-10,"CRB/AOR/ATBCA1/cfbp1/CSP41A/CAT2",6
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","4/54","13/25124",1.34298041387279e-08,3.35745103468197e-08,9.0878373871091e-09,"NDF2/NDH-O/NDF4/CRR7",4
"GO:0019898","GO:0019898","extrinsic component of membrane","5/54","76/25124",6.24280221882678e-07,1.45665385105958e-06,3.94282245399586e-07,"PnsL2/NA/NA/PnsL1/PnsL3",5
"GO:0048046","GO:0048046","apoplast","7/54","301/25124",3.61342932395346e-06,7.90437664614819e-06,2.13953052076192e-06,"CRB/AOR/AGT/ATBCA1/cfbp1/CSP41A/ATGER3",7
"GO:1990204","GO:1990204","oxidoreductase complex","5/54","141/25124",1.31436759297498e-05,2.7060509267132e-05,7.32464912493798e-06,"PnsL2/NA/NA/PnsL1/PnsL3",5
"GO:0031012","GO:0031012","extracellular matrix","2/54","21/25124",0.000927574577867932,0.0018036172347432,0.00048819714624628,"ATGER1/ATGER3",2
"GO:0010287","GO:0010287","plastoglobule","2/54","67/25124",0.0091684746257696,0.0168892953632598,0.00457153859456656,"CRB/CSP41A",2
