"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099503","GO:0099503","secretory vesicle","4/87","174/25124",0.00316454744612367,0.110759160614328,0.0832775643716755,"NA/ATHCHIB/AT-BETA-AMY/ML3",4
"GO:0005874","GO:0005874","microtubule","3/87","169/25124",0.0209935209977555,0.169051737770858,0.127106569752525,"TUB5/TUB1/IQD16",3
"GO:0099081","GO:0099081","supramolecular polymer","3/87","184/25124",0.0261558768087466,0.169051737770858,0.127106569752525,"TUB5/TUB1/IQD16",3
"GO:0099512","GO:0099512","supramolecular fiber","3/87","184/25124",0.0261558768087466,0.169051737770858,0.127106569752525,"TUB5/TUB1/IQD16",3
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","3/87","184/25124",0.0261558768087466,0.169051737770858,0.127106569752525,"TUB5/TUB1/IQD16",3
"GO:0000322","GO:0000322","storage vacuole","1/87","12/25124",0.0407802997513214,0.169051737770858,0.127106569752525,"GAMMA-TIP",1
"GO:0000326","GO:0000326","protein storage vacuole","1/87","12/25124",0.0407802997513214,0.169051737770858,0.127106569752525,"GAMMA-TIP",1
"GO:0010168","GO:0010168","ER body","1/87","12/25124",0.0407802997513214,0.169051737770858,0.127106569752525,"ML3",1
"GO:0045298","GO:0045298","tubulin complex","1/87","13/25124",0.0441034963872579,0.169051737770858,0.127106569752525,"TUB5",1
"GO:0009505","GO:0009505","plant-type cell wall","3/87","235/25124",0.0483004965059594,0.169051737770858,0.127106569752525,"NA/PME34/DGR2",3
"GO:0015630","GO:0015630","microtubule cytoskeleton","3/87","255/25124",0.0588556762206812,0.187268060702167,0.140803053159524,"TUB5/TUB1/IQD16",3
"GO:0099080","GO:0099080","supramolecular complex","3/87","290/25124",0.0796848859366332,0.232414250648514,0.174747556878582,"TUB5/TUB1/IQD16",3
"GO:0005856","GO:0005856","cytoskeleton","3/87","348/25124",0.120092270755558,0.313721462033676,0.235880798521561,"TUB5/TUB1/IQD16",3
"GO:0000325","GO:0000325","plant-type vacuole","2/87","177/25124",0.12548858481347,0.313721462033676,0.235880798521561,"GAMMA-TIP/ML3",2
"GO:0005764","GO:0005764","lysosome","1/87","45/25124",0.144641509151711,0.334133034347514,0.251227845374071,"AtCP2",1
"GO:0005811","GO:0005811","lipid droplet","1/87","49/25124",0.156449676903369,0.334133034347514,0.251227845374071,"NA",1
"GO:0000323","GO:0000323","lytic vacuole","1/87","51/25124",0.16229318811165,0.334133034347514,0.251227845374071,"AtCP2",1
"GO:0005797","GO:0005797","Golgi medial cisterna","1/87","60/25124",0.188097665851062,0.365745461377064,0.274996587501552,"ATCSLA02",1
"GO:0048046","GO:0048046","apoplast","2/87","301/25124",0.279910458585267,0.51562452897286,0.387687615769068,"ANN1/ADG1",2
"GO:0031225","GO:0031225","anchored component of membrane","2/87","315/25124",0.297852774064959,0.521242354613679,0.391911544822315,"NA/AGP7",2
"GO:0009705","GO:0009705","plant-type vacuole membrane","1/87","129/25124",0.361494732934558,0.578640961424447,0.435068392048456,"GAMMA-TIP",1
"GO:0005615","GO:0005615","extracellular space","1/87","130/25124",0.36371717575251,0.578640961424447,0.435068392048456,"AtCP2",1
"GO:1990204","GO:1990204","oxidoreductase complex","1/87","141/25124",0.387665020750407,0.589925031576706,0.443552655320832,"NA",1
"GO:0000790","GO:0000790","nuclear chromatin","1/87","150/25124",0.40659422629684,0.592949913349559,0.445827002518465,"ATH1",1
"GO:0031985","GO:0031985","Golgi cisterna","1/87","187/25124",0.478522546391679,0.665905135762562,0.500680553204934,"ATCSLA02",1
"GO:0005795","GO:0005795","Golgi stack","1/87","196/25124",0.494672386566474,0.665905135762562,0.500680553204934,"ATCSLA02",1
"GO:0000785","GO:0000785","chromatin","1/87","226/25124",0.545016515294323,0.706502890196345,0.531205180598756,"ATH1",1
"GO:0000228","GO:0000228","nuclear chromosome","1/87","242/25124",0.569805168804456,0.712256461005569,0.535531173688398,"ATH1",1
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","1/87","293/25124",0.640244726775557,0.740856852539941,0.55703522747364,"NA",1
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","1/87","298/25124",0.646503564583994,0.740856852539941,0.55703522747364,"NA",1
"GO:0005777","GO:0005777","peroxisome","1/87","324/25124",0.677354836607946,0.740856852539941,0.55703522747364,"NA",1
"GO:0042579","GO:0042579","microbody","1/87","324/25124",0.677354836607946,0.740856852539941,0.55703522747364,"NA",1
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","1/87","391/25124",0.745121954728615,0.770704863751086,0.57947734116623,"ATCSLA02",1
"GO:0005694","GO:0005694","chromosome","1/87","416/25124",0.766624647749964,0.770704863751086,0.57947734116623,"ATH1",1
"GO:0016021","GO:0016021","integral component of membrane","1/87","421/25124",0.770704863751086,0.770704863751086,0.57947734116623,"ABCB19",1
