"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
2.78450240162808e-256,0.254224242330911,0.175,0.042,5.47433172160081e-252,"Chir01Ox-b18070.2"
0,0.449066220736419,0.233,0.045,0,"Chir04Ox-b10990.2"
0,0.26272535816104,0.229,0.055,0,"Chir08Ox-b22010.2"
0,0.300882205084495,0.311,0.07,0,"Chir04Ox-b10020.2"
3.97587359708525e-185,0.34812987826626,0.208,0.072,7.8165674918696e-181,"Chir06Ox-b04340.2"
0,0.617115425126365,0.412,0.09,0,"Chir05Ox-b21860.2"
2.4222829375264e-99,0.331708184120051,0.196,0.09,4.7622082551769e-95,"Chir06Ox-b04370.2"
0,0.623034390103323,0.419,0.109,0,"Chir04Ox-b23190.2"
0,0.428461778655896,0.516,0.196,0,"Chir06Ox-b23630.2"
0,0.735381536773433,0.524,0.216,0,"Chir07Ox-b11470.2"
0,0.392338787236641,0.556,0.243,0,"Chir03Ox-b08410.2"
0,0.389083926985299,0.594,0.29,0,"Chir01Ox-b18780.2"
0,0.418559412278187,0.593,0.291,0,"Chir01Ox-b14150.2"
0,0.747372786320674,0.678,0.297,0,"Chir05Ox-b04030.2"
0,1.12806113405932,0.753,0.313,0,"Chir04Ox-b28020.2"
0,1.19021543878698,0.712,0.33,0,"Chir03Ox-b00610.2"
0,1.54744714113347,0.947,0.335,0,"Chir04Ox-b21570.2"
0,0.477019122474359,0.644,0.337,0,"Chir04Ox-b10970.2"
0,2.02095949837254,0.888,0.343,0,"Chir06Ox-b18420.2"
0,0.774387284573324,0.815,0.359,0,"Chir06Ox-b29650.2"
0,1.36104923065511,0.837,0.363,0,"Chir02Ox-b19280.2"
0,0.384783415696643,0.668,0.367,0,"Chir07Ox-b08290.2"
0,0.456205920355613,0.69,0.378,0,"Chir01Ox-b35660.2"
0,1.20981808529935,0.808,0.401,0,"Chir08Ox-b17400.2"
0,0.390692076811963,0.713,0.408,0,"Chir07Ox-b18080.2"
0,0.582698720937377,0.789,0.432,0,"Chir06Ox-b28930.2"
0,1.81784679651617,0.867,0.435,0,"Chir04Ox-b16600.2"
0,0.701215879848913,0.87,0.441,0,"Chir04Ox-b28030.2"
0,1.26921218799082,0.958,0.443,0,"Chir07Ox-b20580.2"
0,0.538552287433436,0.868,0.446,0,"Chir08Ox-b00290.2"
0,0.4449548167121,0.782,0.473,0,"Chir02Ox-b09430.2"
0,0.894198134733273,0.895,0.475,0,"Chir03Ox-b28600.2"
0,0.540524257778501,0.817,0.49,0,"Chir05Ox-b13600.2"
0,0.422294212836573,0.803,0.491,0,"Chir03Ox-b27670.2"
0,0.591225524105258,0.852,0.495,0,"Chir02Ox-b02970.2"
0,0.584431460344905,0.86,0.498,0,"Chir01Ox-b23520.2"
0,0.730918872726769,0.856,0.504,0,"Chir05Ox-b16000.2"
0,0.654821026230396,0.892,0.523,0,"Chir02Ox-b21810.2"
0,0.976429237093628,0.927,0.543,0,"Chir06Ox-b09380.2"
0,0.532406075055124,0.865,0.546,0,"Chir04Ox-b22080.2"
0,0.868636411504716,0.951,0.557,0,"Chir05Ox-b19870.2"
0,0.528686071730417,0.902,0.565,0,"Chir06Ox-b19900.2"
0,1.04356546534244,0.914,0.572,0,"Chir01Ox-b20460.2"
0,0.506076795075934,0.901,0.574,0,"Chir06Ox-b26350.2"
0,0.62527295258122,0.899,0.577,0,"Chir03Ox-b20570.2"
0,0.709189614528929,0.918,0.613,0,"Chir01Ox-b08930.2"
0,1.35873429315766,0.984,0.635,0,"Chir05Ox-b05320.2"
0,1.15710719947766,0.995,0.677,0,"Chir03Ox-b22180.2"
0,1.07281382159194,0.999,0.682,0,"Chir03Ox-b28560.2"
0,1.57792880064117,1,0.693,0,"Chir03Ox-b30110.2"
