"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
0,0.445075322196734,0.171,0,0,"Chir02Ox-b20560.2"
0,0.456604654547999,0.181,0.001,0,"Chir06Ox-b13230.2"
0,0.356822179559075,0.168,0.002,0,"Chir02Ox-b13370.2"
0,0.291404225662715,0.181,0.002,0,"Chir08Ox-b23570.2"
0,1.80540881027457,0.703,0.003,0,"Chir02Ox-b03100.2"
0,0.448655802074026,0.244,0.003,0,"Chir03Ox-b21940.2"
0,0.35480317614786,0.163,0.003,0,"Chir07Ox-b28870.2"
0,1.25199892033137,0.745,0.004,0,"Chir02Ox-b17040.2"
0,0.711788237320611,0.323,0.004,0,"Chir03Ox-b34160.2"
0,0.302053044224705,0.21,0.004,0,"Chir08Ox-b20700.2"
2.62876207772207e-205,0.31864907754608,0.118,0.004,5.16814624480159e-201,"Chir01Ox-b24440.2"
0,0.3990603591941,0.184,0.006,0,"Chir03Ox-b23740.2"
4.8316822440515e-254,0.34050756953282,0.157,0.006,9.49908729180525e-250,"Chir05Ox-b23900.2"
0,0.437288503250253,0.268,0.007,0,"Chir07Ox-b06830.2"
0,2.95517166790137,0.887,0.007,0,"Chir08Ox-b10180.2"
0,0.415894011264748,0.27,0.008,0,"Chir08Ox-b25430.2"
1.33934342282801e-215,1.20135046609512,0.171,0.008,2.63314916927988e-211,"Chir06Ox-b35090.2"
0,0.798197168835457,0.454,0.009,0,"Chir03Ox-b21630.2"
2.59160421230669e-293,0.331170843249652,0.21,0.009,5.09509388139496e-289,"Chir03Ox-b11630.2"
1.44031715527895e-219,0.2682502923488,0.181,0.009,2.83166352727842e-215,"Chir05Ox-b06280.2"
4.46216251124226e-165,0.280794032474871,0.157,0.009,8.77261149710229e-161,"Chir05Ox-b14660.2"
1.25173821847936e-109,0.50373253468065,0.129,0.009,2.46091733753042e-105,"Chir08Ox-b15360.2"
1.62399694161271e-244,0.492693587958573,0.202,0.01,3.19277798721058e-240,"Chir08Ox-b07900.2"
2.72327130283431e-125,0.421516623658022,0.144,0.01,5.35395138137226e-121,"Chir05Ox-b21370.2"
0,0.514259199355395,0.383,0.011,0,"Chir07Ox-b33780.2"
1.85065949586237e-144,0.250790295662035,0.173,0.013,3.63839656886542e-140,"Chir03Ox-b33180.2"
0,0.867310763197036,0.428,0.014,0,"Chir04Ox-b11850.2"
1.18109330573839e-232,0.549439627254803,0.226,0.014,2.32202943908167e-228,"Chir01Ox-b24570.2"
2.16036312281177e-166,0.352797594597493,0.189,0.014,4.24727389944793e-162,"Chir08Ox-b11580.2"
0,0.790176248008369,0.52,0.015,0,"Chir01Ox-b23240.2"
7.56993066898767e-158,0.546541982017261,0.199,0.016,1.48824836952298e-153,"Chir07Ox-b36270.2"
3.61807348639143e-133,0.369935361445454,0.192,0.017,7.11313247424555e-129,"Chir08Ox-b14280.2"
5.94621912616058e-100,0.258085104072466,0.163,0.017,1.16902668020317e-95,"Chir01Ox-b25200.2"
5.07095080162655e-116,0.362591849605629,0.184,0.018,9.96948927599779e-112,"Chir08Ox-b07320.2"
5.631440099916e-31,0.317042049612235,0.105,0.02,1.10714112364349e-26,"Chir07Ox-b31590.2"
0,0.845124632629235,0.517,0.021,0,"Chir06Ox-b12190.2"
9.75188925367582e-166,0.425084678974457,0.234,0.021,1.91722142727267e-161,"Chir08Ox-b15230.2"
8.76787659283808e-108,1.12483835711931,0.192,0.021,1.72376453815197e-103,"Chir03Ox-b11670.2"
0,0.924548035762634,0.533,0.024,0,"Chir08Ox-b30210.2"
8.87273388734765e-195,0.42667210321632,0.27,0.024,1.74437948225255e-190,"Chir04Ox-b29520.2"
0,2.22850979732498,0.85,0.025,0,"Chir03Ox-b23410.2"
1.51238781376957e-130,0.451267145405815,0.228,0.025,2.97335444187098e-126,"Chir06Ox-b27250.2"
4.31374392313968e-112,1.11062121961861,0.213,0.025,8.48082055289262e-108,"Chir08Ox-b19950.2"
2.68288307452642e-80,0.250807033415403,0.181,0.025,5.27454812451895e-76,"Chir06Ox-b35280.2"
0,0.898623902406549,0.381,0.026,0,"Chir06Ox-b20310.2"
3.18261229807124e-167,0.424562486108178,0.26,0.026,6.25701577800805e-163,"Chir01Ox-b09450.2"
7.98134863958928e-42,0.536198986035661,0.139,0.026,1.56913314254325e-37,"Chir03Ox-b15410.2"
6.54142199393123e-40,0.256249792780398,0.139,0.027,1.28604356400688e-35,"Chir06Ox-b29150.2"
7.55575984521254e-40,0.278224783322326,0.139,0.027,1.48546238556879e-35,"Chir04Ox-b12670.2"
0,1.90558918410034,0.375,0.028,0,"Chir01Ox-b11440.2"
1.94024264240516e-99,0.314132007171021,0.213,0.028,3.81451703496855e-95,"Chir08Ox-b22580.2"
2.12597660394349e-88,0.27169081609857,0.202,0.028,4.17967000335291e-84,"Chir08Ox-b12900.2"
8.21983177589372e-88,0.310067499623484,0.202,0.028,1.6160189271407e-83,"Chir01Ox-b22200.2"
8.52784418332321e-71,0.312578820318111,0.184,0.028,1.67657416644134e-66,"Chir05Ox-b26380.2"
1.14186570255971e-155,0.44652850475926,0.268,0.029,2.24490797123238e-151,"Chir05Ox-b02790.2"
2.59841999818321e-127,0.276252669220921,0.241,0.029,5.10849371642819e-123,"Chir03Ox-b11620.2"
1.14493008490695e-76,0.298895035374649,0.194,0.029,2.25093254692705e-72,"Chir06Ox-b18260.2"
0,2.47145222837093,0.596,0.03,0,"Chir01Ox-b13690.2"
0,0.72569046941976,0.438,0.03,0,"Chir02Ox-b15410.2"
0,0.815939947672394,0.577,0.03,0,"Chir06Ox-b36910.2"
1.84668437273285e-16,1.23437799911955,0.102,0.03,3.63058147679279e-12,"Chir02Ox-b17390.2"
0,1.22553778855238,0.535,0.031,0,"Chir03Ox-b19030.2"
1.3561628328609e-54,0.447722989412663,0.171,0.031,2.66621612940453e-50,"Chir02Ox-b25980.2"
1.14050907451842e-275,0.819440060163829,0.378,0.033,2.24224084050322e-271,"Chir03Ox-b24740.2"
1.99270197111184e-99,0.314166775385594,0.231,0.033,3.91765207520587e-95,"Chir04Ox-b07680.2"
2.65267001152707e-45,0.252679716472657,0.163,0.033,5.21514924266222e-41,"Chir03Ox-b22490.2"
4.76877884852291e-218,0.459038045489683,0.346,0.035,9.37541921619605e-214,"Chir02Ox-b24760.2"
4.92306834916628e-60,0.329825261529601,0.192,0.035,9.67875237446091e-56,"Chir02Ox-b24710.2"
2.28232189756676e-173,0.376372304854645,0.31,0.036,4.48704485061625e-169,"Chir05Ox-b05790.2"
4.78133238488491e-152,0.532319877531799,0.294,0.036,9.40009946868373e-148,"Chir02Ox-b12770.2"
0,1.54464163592585,0.759,0.037,0,"Chir03Ox-b03760.2"
1.30063187782834e-70,0.271701650749828,0.21,0.037,2.55704227181052e-66,"Chir04Ox-b27920.2"
2.63117220686414e-70,0.287076298054355,0.213,0.037,5.17288455869489e-66,"Chir04Ox-b23500.2"
0,1.23987553975241,0.577,0.038,0,"Chir07Ox-b33410.2"
7.50522279126286e-158,0.350064837296934,0.312,0.039,1.47552680076228e-153,"Chir06Ox-b24480.2"
2.90193398455684e-71,0.283041950282052,0.218,0.039,5.70520221363875e-67,"Chir03Ox-b23130.2"
2.26715809019488e-179,0.471555559519217,0.339,0.04,4.45723280532314e-175,"Chir05Ox-b19860.2"
1.01272762202954e-95,0.345278657932297,0.257,0.042,1.99102250491008e-91,"Chir08Ox-b04660.2"
5.01147269340584e-38,0.280287749526456,0.173,0.042,9.85255531523588e-34,"Chir06Ox-b11720.2"
7.2660476871381e-137,0.35556536988573,0.304,0.043,1.42850497529135e-132,"Chir04Ox-b25540.2"
2.05570780658049e-48,0.333555217481136,0.197,0.043,4.04152154773724e-44,"Chir05Ox-b01000.2"
1.62398859492376e-83,0.359396797786743,0.255,0.045,3.19276157762012e-79,"Chir03Ox-b05330.2"
6.61081690940896e-22,0.275877018163004,0.147,0.045,1.2996866043898e-17,"Chir04Ox-b20970.2"
7.0851546685321e-33,0.351262442817341,0.173,0.046,1.39294140783341e-28,"Chir08Ox-b07590.2"
2.51035910594098e-184,0.479969869504642,0.365,0.047,4.93536600227997e-180,"Chir07Ox-b35740.2"
2.2307335631961e-89,0.514827898612008,0.27,0.047,4.38562218524354e-85,"Chir06Ox-b21860.2"
6.51774197954726e-17,0.296477097883019,0.136,0.047,1.28138807317899e-12,"Chir07Ox-b03110.2"
1.61364773110303e-52,0.638250617990402,0.215,0.048,3.17243143934855e-48,"Chir05Ox-b16230.2"
4.54176922979033e-22,0.267099659182864,0.152,0.048,8.9291183057678e-18,"Chir01Ox-b11030.2"
4.84589708480626e-45,0.283259636919412,0.205,0.049,9.52703366872911e-41,"Chir04Ox-b29460.2"
3.0323074870991e-35,0.456461667101177,0.184,0.049,5.96151651963684e-31,"Chir07Ox-b27520.2"
2.16843430240865e-123,0.373403240449096,0.32,0.05,4.26314183853541e-119,"Chir08Ox-b27840.2"
4.67196478083435e-24,0.253883134150293,0.163,0.05,9.18508275912034e-20,"Chir06Ox-b06600.2"
