"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir02Ox-b03290.2","AT1G62300","WRKY6",2.13778077302079,0.679,0.097,0,0,"Yes","WRKY","cellular response to boron-containing substance deprivation, cellular response to phosphate starvation, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, protein binding, transcription cis-regulatory region binding","DEGs"
"Chir06Ox-b31830.2","AT5G07100","WRKY26",1.1889477944437,0.676,0.186,0,0,"Yes","WRKY","cellular heat acclimation, cellular response to heat, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding","DEGs"
"Chir03Ox-b23340.2","AT3G23250","ATY19",2.69528693650442,0.881,0.214,0,0,"Yes","MYB","DNA-binding transcription factor activity, nucleus, protein binding, response to cold, response to salt stress, response to water deprivation","DEGs"
"Chir04Ox-b02760.2","AT2G23340","AT2G23340.1",1.14952765343823,0.859,0.482,0,0,"Yes","ERF","carboxylic acid biosynthetic process, developmental growth, DNA-binding transcription factor activity, flavonoid metabolic process, inorganic ion homeostasis, nucleus, regulation of DNA-templated transcription, response to fungus, response to water deprivation, response to wounding, transcription cis-regulatory region binding","DEGs"
"Chir01Ox-b25170.2","AT1G25560","EDF1",1.85261746979681,0.865,0.531,0,0,"Yes","RAV","cellular response to hypoxia, DNA binding, DNA-binding transcription factor activity, ethylene-activated signaling pathway, nucleus, photoperiodism, flowering, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"Chir01Ox-b39520.2","AT1G50640","ATERF3",1.21021762166961,0.905,0.601,0,0,"Yes","ERF","DNA binding, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, negative regulation of ethylene-activated signaling pathway, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"Chir04Ox-b02750.2","AT2G23320","WRKY15",1.9766558529645,0.983,0.665,0,0,"Yes","WRKY","calmodulin binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
"Chir06Ox-b33870.2","AT5G05090","MUG13.5",0.966432312889661,0.83,0.404,0,0,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"Chir03Ox-b00140.2","AT3G01970","WRKY45",0.898476664887952,0.463,0.075,0,0,"Yes","WRKY","DNA-binding transcription factor activity, nucleus, phosphate ion transport, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding, transcription factor binding","DEGs"
"Chir03Ox-b10550.2","AT3G11260","WOX5B",0.869583417668943,0.34,0.09,1.30979994032528e-269,2.5750666826795e-265,"Yes","WOX","DNA-binding transcription factor activity, maintenance of root meristem identity, nucleus, positive regulation of stem cell population maintenance, protein binding, response to auxin, sequence-specific DNA binding","DEGs"
