"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir01Ox-b18070.2","Chir01Ox-b18070.2",NA,NA,0.289888205214445,0.201,0.041,0,0,NA,NA,NA,"GEP_38",1
"Chir04Ox-b10990.2","Chir04Ox-b10990.2",NA,NA,0.524057711691617,0.264,0.045,0,0,NA,NA,NA,"GEP_38",2
"Chir04Ox-b10020.2","Chir04Ox-b10020.2","AT2G28500","AT2G28500.1",0.372784446484232,0.359,0.069,0,0,"Yes","LBD","cellular catabolic process, defense response to other organism, immune system process, negative regulation of abscisic acid-activated signaling pathway, nucleus, organic substance catabolic process, phyllome development, regulation of defense response, response to fungus, response to organonitrogen compound, response to salt stress, response to water deprivation, salicylic acid mediated signaling pathway","GEP_38and DEGs",3
"Chir06Ox-b04340.2","Chir06Ox-b04340.2","AT5G44578","PROSCOOP9",0.391012733142142,0.228,0.073,2.18430585734703e-211,4.29434531554427e-207,NA,NA,"biological_process, endoplasmic reticulum, extracellular region, mitochondrion, molecular_function","GEP_38",4
"Chir05Ox-b21860.2","Chir05Ox-b21860.2","AT3G56220","F18O21.180",0.709856807697346,0.455,0.091,0,0,NA,NA,"DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding","GEP_38",5
"Chir04Ox-b23190.2","Chir04Ox-b23190.2","AT2G40435","T2P4.23",0.768673703877895,0.487,0.107,0,0,NA,NA,"DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, sequence-specific DNA binding","GEP_38",6
"Chir04Ox-b28020.2","Chir04Ox-b28020.2","AT2G45180","AT2G45180.1",1.23446109845749,0.769,0.321,0,0,NA,NA,"chloroplast thylakoid membrane, extracellular region, innate immune response activating cell surface receptor signaling pathway, response to salt stress","DEGs",7
"Chir03Ox-b00610.2","Chir03Ox-b00610.2","AT3G01500","CA1",1.23598356072468,0.683,0.343,0,0,NA,NA,"apoplast, carbon utilization, carbonate dehydratase activity, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cytoplasm, cytosol, mRNA binding, negative regulation of stomatal complex development, photosynthesis, plasma membrane, regulation of stomatal movement, response to carbon dioxide, response to cold, stromule, thylakoid, zinc ion binding","DEGs",8
"Chir04Ox-b21570.2","Chir04Ox-b21570.2","AT2G39010","PIP2E",1.70177331877277,0.961,0.347,0,0,NA,NA,"cell wall organization or biogenesis, channel activity, Golgi apparatus, hyperosmotic salinity response, mRNA binding, plasma membrane, response to abscisic acid, response to cold, response to light stimulus, response to nematode, response to salt stress, response to water deprivation, response to wounding, transmembrane transport, water channel activity, water transport","DEGs",9
"Chir06Ox-b18420.2","Chir06Ox-b18420.2","AT5G20630","GLP3",1.99901451760703,0.89,0.356,0,0,NA,NA,"apoplast, extracellular matrix, extracellular region, manganese ion binding, nucleus, plant-type cell wall, plastid, secretory vesicle","DEGs",10
"Chir01Ox-b08030.2","Chir01Ox-b08030.2","AT1G08465","YAB2",0.278339060798594,0.679,0.358,5.8023917880075e-262,1.14075022552227e-257,"Yes","YABBY","abaxial cell fate specification, cell fate commitment, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",11
"Chir02Ox-b19280.2","Chir02Ox-b19280.2","AT1G72610","GLP1",1.4473215210119,0.834,0.375,0,0,NA,NA,"cell division, extracellular matrix, extracellular region, growth, manganese ion binding, meiotic cell cycle process, mitochondrion, regulation of chlorophyll biosynthetic process, response to light intensity","DEGs",12
"Chir08Ox-b17400.2","Chir08Ox-b17400.2",NA,NA,1.50102511411242,0.885,0.4,0,0,NA,NA,NA,"DEGs",13
"Chir04Ox-b16600.2","Chir04Ox-b16600.2","AT2G34430","LHB1B1",1.85566157887246,0.862,0.445,0,0,NA,NA,"chlorophyll binding, chloroplast, chloroplast envelope, chloroplast thylakoid, chloroplast thylakoid membrane, endoplasmic reticulum, photosynthesis, photosynthesis, light harvesting in photosystem I, photosynthesis, light harvesting in photosystem II, response to light stimulus, thylakoid, thylakoid membrane","DEGs",14
