"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
0,0.269683741389205,0.222,0.012,0,"Chir05Ox-b03500.2"
0,0.294483294772789,0.286,0.013,0,"Chir08Ox-b22580.2"
0,0.37969248310347,0.178,0.014,0,"Chir06Ox-b35150.2"
0,0.299272890552518,0.185,0.016,0,"Chir06Ox-b35140.2"
0,0.348050254816418,0.29,0.02,0,"Chir03Ox-b19030.2"
0,0.407246654131783,0.338,0.021,0,"Chir06Ox-b35870.2"
0,0.745217454578922,0.212,0.025,0,"Chir01Ox-b13690.2"
3.69042216303288e-290,0.42436688583989,0.182,0.025,7.25536997252263e-286,"Chir03Ox-b23410.2"
0,0.700892319089423,0.328,0.028,0,"Chir08Ox-b07590.2"
0,0.289333646822157,0.293,0.028,0,"Chir08Ox-b09120.2"
1.15005438068489e-186,0.317496534104874,0.155,0.028,2.2610069124265e-182,"Chir05Ox-b14670.2"
0,0.520495385017822,0.309,0.032,0,"Chir05Ox-b16230.2"
0,0.371289524126017,0.325,0.033,0,"Chir01Ox-b42060.2"
0,0.53556099988031,0.352,0.035,0,"Chir01Ox-b35290.2"
0,0.282089693815817,0.33,0.036,0,"Chir02Ox-b16340.2"
9.7948061672089e-182,0.358114262659188,0.181,0.038,1.92565889247327e-177,"Chir01Ox-b41040.2"
0,0.293137339112994,0.304,0.04,0,"Chir07Ox-b21340.2"
2.41070191038221e-301,0.311562875905818,0.24,0.044,4.73943995581142e-297,"Chir01Ox-b13370.2"
0,0.475477013571876,0.323,0.046,0,"Chir01Ox-b14900.2"
0,0.268852187615317,0.318,0.046,0,"Chir04Ox-b12980.2"
0,0.536151798848977,0.401,0.047,0,"Chir03Ox-b30470.2"
0,0.316780340927989,0.284,0.054,0,"Chir03Ox-b19330.2"
0,0.581689236548918,0.41,0.057,0,"Chir01Ox-b24160.2"
0,0.796376567086308,0.442,0.058,0,"Chir07Ox-b35240.2"
2.59713276466959e-256,0.255246219316237,0.264,0.058,5.10596301534041e-252,"Chir07Ox-b25110.2"
0,0.326344103581179,0.377,0.059,0,"Chir03Ox-b20060.2"
5.34641895279439e-176,0.264293516399997,0.234,0.06,1.05110596611938e-171,"Chir05Ox-b02030.2"
2.33751452315353e-194,0.290297506598922,0.24,0.061,4.59555355251984e-190,"Chir01Ox-b16570.2"
2.92756353987004e-48,0.266550174091409,0.145,0.062,5.7555899193845e-44,"Chir01Ox-b03040.2"
