"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
4.15448489414737e-202,0.449840997014239,0.155,0.022,8.16771730189374e-198,"Chir07Ox-b02670.2"
4.82613070337345e-147,0.258556139630695,0.164,0.033,9.48817296283221e-143,"Chir05Ox-b06080.2"
2.42722537712746e-105,0.324327718970727,0.143,0.033,4.77192509143259e-101,"Chir07Ox-b14860.2"
0,0.779675319050755,0.24,0.035,0,"Chir08Ox-b24790.2"
7.85092538077322e-74,0.462906934140367,0.13,0.036,1.54349192986002e-69,"Chir03Ox-b00110.2"
0,1.39005720426681,0.378,0.061,0,"Chir02Ox-b15590.2"
5.59143507888911e-203,0.388553803397595,0.269,0.063,1.0992761365096e-198,"Chir07Ox-b03620.2"
2.34530144731796e-205,0.259731123134409,0.274,0.065,4.61086264542711e-201,"Chir02Ox-b13140.2"
1.18902482072443e-162,0.319351406987423,0.289,0.082,2.33762279754422e-158,"Chir08Ox-b22680.2"
1.02593725148382e-235,0.573376752214406,0.34,0.087,2.0169926364172e-231,"Chir02Ox-b16950.2"
1.40652569256684e-189,0.357936795189641,0.33,0.096,2.76522951158641e-185,"Chir02Ox-b20320.2"
1.78804097894041e-303,0.405566543299763,0.407,0.103,3.51528856459684e-299,"Chir02Ox-b10470.2"
0,1.15461190206621,0.596,0.109,0,"Chir05Ox-b28960.2"
3.64152352982466e-219,0.408502065015706,0.383,0.115,7.15923525963528e-215,"Chir01Ox-b26870.2"
0,0.8972649414425,0.451,0.116,0,"Chir04Ox-b00160.2"
2.39699002699301e-200,0.305742838673655,0.38,0.119,4.71248239306827e-196,"Chir03Ox-b17800.2"
2.62812117838939e-195,0.324278287778719,0.378,0.121,5.16688623671354e-191,"Chir02Ox-b14980.2"
9.7379583818132e-144,0.286108550645383,0.345,0.124,1.91448261786448e-139,"Chir01Ox-b04720.2"
0,0.44367108696058,0.458,0.126,0,"Chir04Ox-b02390.2"
0,0.835166110332005,0.56,0.133,0,"Chir05Ox-b15760.2"
4.36309645083888e-231,0.322728412730655,0.429,0.135,8.57784762234923e-227,"Chir03Ox-b08320.2"
2.9457249980146e-242,0.372552680741816,0.444,0.138,5.7912953460967e-238,"Chir01Ox-b15200.2"
1.86657512865316e-224,0.413196810443001,0.446,0.145,3.66968670293212e-220,"Chir07Ox-b24620.2"
2.20207450248277e-174,0.261503227779029,0.406,0.146,4.32927847188113e-170,"Chir02Ox-b26590.2"
0,0.460361833110941,0.53,0.148,0,"Chir08Ox-b19320.2"
4.91027180884652e-278,0.518887846614845,0.494,0.161,9.65359437619226e-274,"Chir06Ox-b16640.2"
1.84962906208814e-141,0.256236594926257,0.412,0.166,3.63637073606528e-137,"Chir08Ox-b25470.2"
