"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005507","GO:0005507","copper ion binding","35/1308","191/21875",2.667480285397e-09,1.56847840781344e-06,1.3927054963757e-06,"AtSOD1/ATDHAR1/ATCYTC-A/ANN1/SKS6/ACO2/cICDH/sks5/CP12-3/MGP1/ATGSTF7/ASP1/MAT3/NA/GAPC/ATMT-1/ADK1/ATMT3/JAL34/ATGSKB6/AtFBA8/ATCTIMC/CCH/CYTC-2/ATSAHH1/ATFP6/MT2B/SIR/GDH2/AAC2/ATCIMS/NA/NA/ADK1/sks17",35
"GO:0042802","GO:0042802","identical protein binding","48/1308","387/21875",1.35792669258695e-06,0.000288481051162267,0.000256152168593778,"BDL/PAP3/ARF5/ANN1/RKL1/ATBG1/AtHB33/AtMC4/AKN1/ATOEP16-1/ATC4H/AtPFA-DSP2/IAA13/AS1/CLC2/CYP98A3/LRB1/AT3G01472.1/IAA16/ATCDC48/IAA26/IAA2/ATCM1/PYL7/AXR5/ATHB-2/PYR1/ATSK21/BAM3/CTPS4/IAA27/CIK3/ATOST1/ATPDX1/ATCM2/LOG8/AGL15/AtNIK1/ATBPM1/ATBZIP9/IAA28/AtGSH2/AtbZIP63/ATWNK8/ATAUX2-11/ATFIP1[V]/ATHB-5/BAM1",48
"GO:0003779","GO:0003779","actin binding","22/1308","117/21875",1.47184209776667e-06,0.000288481051162267,0.000256152168593778,"NET1D/NA/ADF5/PFN1/NET2D/ADF6/WLIM2a/NA/ATVLN2/ADF2/ADF1/WLIM2b/ATVLN3/NET1C/AtPRF2/ATVLN4/ATCAP1/ATXIK/ATMYA2/PFN3/ADF3/ADF4",22
"GO:0061650","GO:0061650","ubiquitin-like protein conjugating enzyme activity","12/1308","49/21875",2.32077542177223e-05,0.00261199295347148,0.00231927766724284,"ATUBC1/UBC5/MMZ2/UBC13A/ATUBC2/ATUBC11/MMZ4/AHUS5/UBC9/RCE1/UBC18/UBC3",12
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","15/1308","74/21875",2.66529893211375e-05,0.00261199295347148,0.00231927766724284,"NA/HAP5C/NA/AtbHLH112/SDJ2/UKTF1/DROP1/NA/ATBZIP12/NA/SIZ1/UNE12/NA/bhlh68/DROP2",15
"GO:0003924","GO:0003924","GTPase activity","27/1308","194/21875",3.6939708595231e-05,0.00271506858174948,0.00241080203463613,"ARA-2/ADL1C/ATRAB-C1/ARAC5/TBB7/AtRABA5d/AtRABA5b/ATRAB8E/ATFP8/GOM8/ATSGP2/ARA-3/ATRAB-A2C/ARA-6/ASAR1/NA/AT-RAB2/ATRAB1C/ARA-7/NA/TUB6/TUA5/ATRAN1/TUB8/GBPL3/ATRAB1A/ATRAB-A2D",27
"GO:0050897","GO:0050897","cobalt ion binding","11/1308","51/21875",0.000173952221961177,0.00966414417924218,0.0085811233671753,"MGP1/NA/ATCYS6/NA/NA/SHM4/GDH2/CBSX3/ATP5/SHM2/SDH1-1",11
"GO:0001883","GO:0001883","purine nucleoside binding","18/1308","128/21875",0.000612346552881993,0.0200033207274784,0.0177616310075712,"ARA-2/ARF1/ARAC5/TBB7/ARF1A1C/GOM8/ATSGP2/ARA-3/ARLA1C/ARA-6/ASAR1/ARA-7/TUB6/TUA5/ATRAN1/TUB8/GBPL3/ATRAB-A2D",18
"GO:0005525","GO:0005525","GTP binding","18/1308","128/21875",0.000612346552881993,0.0200033207274784,0.0177616310075712,"ARA-2/ARF1/ARAC5/TBB7/ARF1A1C/GOM8/ATSGP2/ARA-3/ARLA1C/ARA-6/ASAR1/ARA-7/TUB6/TUA5/ATRAN1/TUB8/GBPL3/ATRAB-A2D",18
"GO:0019001","GO:0019001","guanyl nucleotide binding","18/1308","128/21875",0.000612346552881993,0.0200033207274784,0.0177616310075712,"ARA-2/ARF1/ARAC5/TBB7/ARF1A1C/GOM8/ATSGP2/ARA-3/ARLA1C/ARA-6/ASAR1/ARA-7/TUB6/TUA5/ATRAN1/TUB8/GBPL3/ATRAB-A2D",18
"GO:0032550","GO:0032550","purine ribonucleoside binding","18/1308","128/21875",0.000612346552881993,0.0200033207274784,0.0177616310075712,"ARA-2/ARF1/ARAC5/TBB7/ARF1A1C/GOM8/ATSGP2/ARA-3/ARLA1C/ARA-6/ASAR1/ARA-7/TUB6/TUA5/ATRAN1/TUB8/GBPL3/ATRAB-A2D",18
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","18/1308","128/21875",0.000612346552881993,0.0200033207274784,0.0177616310075712,"ARA-2/ARF1/ARAC5/TBB7/ARF1A1C/GOM8/ATSGP2/ARA-3/ARLA1C/ARA-6/ASAR1/ARA-7/TUB6/TUA5/ATRAN1/TUB8/GBPL3/ATRAB-A2D",18
"GO:0052745","GO:0052745","inositol phosphate phosphatase activity","5/1308","14/21875",0.000963405107200678,0.0270982830296813,0.0240614901230252,"CVP2/NA/VTC4/5PTASE2/ALX8",5
"GO:0005516","GO:0005516","calmodulin binding","21/1308","169/21875",0.00118272116662442,0.031610911180689,0.0280684066337661,"ATPPCK1/GAD2/ATCPK30/AtWRKY15/ATWRKY17/WRKY21/ATCBK3/PRN2/ATCRK3/ATWRKY39/NA/CPK13/NA/RLK4/ATWRKY7/ATWRKY11/ATCPK5/NA/ACA8/NA/BT1",21
"GO:0004439","GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity","5/1308","16/21875",0.00190130195998053,0.0465818980195231,0.0413616566732607,"CVP2/NA/CVL1/PTPMT1/5PTASE2",5
"GO:0106019","GO:0106019","phosphatidylinositol-4,5-bisphosphate phosphatase activity","5/1308","16/21875",0.00190130195998053,0.0465818980195231,0.0413616566732607,"CVP2/NA/CVL1/PTPMT1/5PTASE2",5
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","7/1308","31/21875",0.00198886775343613,0.0467781695608178,0.0415359328717609,"TBB7/ACT11/ACT2/ACT7/TUB6/TUA5/TUB8",7
