"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046686","GO:0046686","response to cadmium ion","64/1200","319/21895",8.45156224867483e-20,1.61002260837255e-16,1.27929963300994e-16,"c-NAD-MDH1/APX1/ATGLX1/NA/AlaAT1/ANN1/THFS/AtNRX1/ATB2/NA/Hop2/MDAR6/cICDH/TPX1/KJC1/AtVAB1/ADH/ATGSTU19/UBC13A/AtFBA3/NA/ATGRP7/atLAP1/TBB7/ATGSTF7/ATGSTF10/NA/FBA6/ENO2/ATSFGH/LEA26/iPGAM2/ATHCHIB/ATSERAT2;2/AtDJ1A/PLD/ATGSKB6/PAC1/GABA-T/ATPHS2/IDN2/AtFBA8/NA/AtPPa4/ATGPX6/ATCYS-3A/AtHip1/AtHsp90-7/ATFSD1/RPT2a/PCK1/ATWRKY13/AT-HSC70-1/14-3-3lambda/TRA2/AtFDH1/ATCIMS/GDH1/TUA5/ASUS1/PGD3/NA/ADF3/TUB2",64
"GO:0010038","GO:0010038","response to metal ion","75/1200","438/21895",8.93376778371489e-19,8.50941381398843e-16,6.76145161735895e-16,"c-NAD-MDH1/APX1/ATGLX1/NA/AlaAT1/ATDHAR1/ANN1/THFS/AtNRX1/ATB2/NA/Hop2/MDAR6/cICDH/TPX1/KJC1/AtVAB1/ADH/ATGSTU19/UBC13A/AtFBA3/NA/ATGRP7/atLAP1/AR781/TBB7/ATGSTF7/ATGSTF10/CUTA/NA/FBA6/ENO2/ATSFGH/LEA26/NA/iPGAM2/ATHCHIB/ATSERAT2;2/AtDJ1A/PLD/ATGSKB6/PAC1/GABA-T/ATPHS2/IDN2/ATCML9/AtFBA8/NA/AtPPa4/ATFER3/ATGPX6/ATCYS-3A/ATPCAP1/AtHip1/AtHsp90-7/ATFSD1/ATCBL3/RPT2a/PCK1/AQI/ATWRKY13/AT-HSC70-1/PSE1/14-3-3lambda/TRA2/AtFDH1/ATCIMS/GDH1/TUA5/ASUS1/PGD3/ACBP/NA/ADF3/TUB2",75
"GO:0042752","GO:0042752","regulation of circadian rhythm","23/1200","59/21895",1.73025017431753e-14,1.09870886069163e-11,8.73017456374953e-12,"LHY/AT-PHH1/ARR4/EFL4/AFR2/FB/ARR3/ELF4-L2/AFR1/ATCOP1/CKB4/AtCCA1/TIC/ATCKA2/CKB3/ATTKL/LCL1/AtTCP21/AGL25/AtTCP7/ALX8/LNK1/ATCKA1",23
"GO:0007623","GO:0007623","circadian rhythm","35/1200","149/21895",1.5175370757625e-13,5.78181625865513e-11,4.59414382093995e-11,"LHY/AT-PHH1/ARR4/EFL4/AFR2/FB/ARR3/ELF4-L2/AFR1/ATGRP7/ATCOP1/CKB4/AtCCA1/LNK3/TIC/ARR5/ATCKA2/ATPTPKIS1/NA/ARR9/CKB3/ATTKL/APRR2/ATFSD1/APRR7/LCL1/AtTCP21/AGL25/BG1/AtTCP7/APRR5/ATCOL4/ALX8/LNK1/ATCKA1",35
"GO:0048511","GO:0048511","rhythmic process","35/1200","149/21895",1.5175370757625e-13,5.78181625865513e-11,4.59414382093995e-11,"LHY/AT-PHH1/ARR4/EFL4/AFR2/FB/ARR3/ELF4-L2/AFR1/ATGRP7/ATCOP1/CKB4/AtCCA1/LNK3/TIC/ARR5/ATCKA2/ATPTPKIS1/NA/ARR9/CKB3/ATTKL/APRR2/ATFSD1/APRR7/LCL1/AtTCP21/AGL25/BG1/AtTCP7/APRR5/ATCOL4/ALX8/LNK1/ATCKA1",35
"GO:0009743","GO:0009743","response to carbohydrate","31/1200","163/21895",1.08788697215318e-09,3.45404113658634e-07,2.74452888764258e-07,"RPT5B/GWD/NA/NA/AtDRM1/NA/ATHB13/AtVAB1/NA/ADH/ATTPS1/PGK/AHK4/ATGPA1/ATOEP16-1/BCE2/NA/ANAC060/AtSTKL2/ATPCAP1/CYCD3/ATB2/TFL-1/TRA2/GLT1/NA/ASUS1/PGD3/ATSCP2/NA/ANK6",31
"GO:0009966","GO:0009966","regulation of signal transduction","45/1200","334/21895",2.35172953635558e-08,6.40006395251053e-06,5.08539409515687e-06,"KFB01/ATDHAR1/ZFP7/ATERF3/ATNPR1/JAZ6/DHAR2/KFB20/RHA2B/RGA/ATNUDT6/ATHB6/CHD3/ATGPA1/MED20/CHR3/ABCB1/ATWRKY54/GARU/ATGID1A/PLD/ARR1/AHP1/AtIDD2/ATWRKY70/PPD2/ATSK21/SLY1/ATWRKY11/ARR10/TIFY8/ATOST1/ARAC3/ATPLDDELTA/ATMYB73/BG1/JAZ12/EAR1/CIP1/SLY2/ALX8/ATHB-5/SHI/ENY/SNRK2-3",45
"GO:0007010","GO:0007010","cytoskeleton organization","42/1200","304/21895",3.33555983029582e-08,7.18975021624581e-06,5.71286686612045e-06,"TUB5/AtVAB3/ATSCAR3/ATMAP70-1/TUB1/ARAC5/AtVAB1/ATMAP65-6/SKU6/ARAC1/TBB7/AtCCP1/GEM1/WLIM2a/FH2/SP1L3/ACT11/GOM8/LST8-1/WDL3/ADF1/TON1B/WLIM2b/ATPCAP1/MAP65-2/ATK2/ARAC3/ARAC6/ATOFP1/ACT7/EMB40/TUA5/TUB8/EGR2/TUB4/ATGH9A1/ATMAP65-1/PFN3/ADF3/ADF4/TUB2/CESA6",42
"GO:0023051","GO:0023051","regulation of signaling","45/1200","339/21895",3.69084956635978e-08,7.18975021624581e-06,5.71286686612045e-06,"KFB01/ATDHAR1/ZFP7/ATERF3/ATNPR1/JAZ6/DHAR2/KFB20/RHA2B/RGA/ATNUDT6/ATHB6/CHD3/ATGPA1/MED20/CHR3/ABCB1/ATWRKY54/GARU/ATGID1A/PLD/ARR1/AHP1/AtIDD2/ATWRKY70/PPD2/ATSK21/SLY1/ATWRKY11/ARR10/TIFY8/ATOST1/ARAC3/ATPLDDELTA/ATMYB73/BG1/JAZ12/EAR1/CIP1/SLY2/ALX8/ATHB-5/SHI/ENY/SNRK2-3",45
"GO:0034285","GO:0034285","response to disaccharide","19/1200","80/21895",4.49784576991119e-08,7.18975021624581e-06,5.71286686612045e-06,"GWD/NA/AtDRM1/ATHB13/ADH/AHK4/ATOEP16-1/BCE2/NA/CYCD3/ATB2/TFL-1/GLT1/NA/ASUS1/PGD3/ATSCP2/NA/ANK6",19
