"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046686","GO:0046686","response to cadmium ion","64/1200","319/21895",8.45156224867483e-20,1.61002260837255e-16,1.27929963300994e-16,"c-NAD-MDH1/APX1/ATGLX1/NA/AlaAT1/ANN1/THFS/AtNRX1/ATB2/NA/Hop2/MDAR6/cICDH/TPX1/KJC1/AtVAB1/ADH/ATGSTU19/UBC13A/AtFBA3/NA/ATGRP7/atLAP1/TBB7/ATGSTF7/ATGSTF10/NA/FBA6/ENO2/ATSFGH/LEA26/iPGAM2/ATHCHIB/ATSERAT2;2/AtDJ1A/PLD/ATGSKB6/PAC1/GABA-T/ATPHS2/IDN2/AtFBA8/NA/AtPPa4/ATGPX6/ATCYS-3A/AtHip1/AtHsp90-7/ATFSD1/RPT2a/PCK1/ATWRKY13/AT-HSC70-1/14-3-3lambda/TRA2/AtFDH1/ATCIMS/GDH1/TUA5/ASUS1/PGD3/NA/ADF3/TUB2",64
"GO:0042752","GO:0042752","regulation of circadian rhythm","23/1200","59/21895",1.73025017431753e-14,1.09870886069163e-11,8.73017456374953e-12,"LHY/AT-PHH1/ARR4/EFL4/AFR2/FB/ARR3/ELF4-L2/AFR1/ATCOP1/CKB4/AtCCA1/TIC/ATCKA2/CKB3/ATTKL/LCL1/AtTCP21/AGL25/AtTCP7/ALX8/LNK1/ATCKA1",23
"GO:0007623","GO:0007623","circadian rhythm","35/1200","149/21895",1.5175370757625e-13,5.78181625865513e-11,4.59414382093995e-11,"LHY/AT-PHH1/ARR4/EFL4/AFR2/FB/ARR3/ELF4-L2/AFR1/ATGRP7/ATCOP1/CKB4/AtCCA1/LNK3/TIC/ARR5/ATCKA2/ATPTPKIS1/NA/ARR9/CKB3/ATTKL/APRR2/ATFSD1/APRR7/LCL1/AtTCP21/AGL25/BG1/AtTCP7/APRR5/ATCOL4/ALX8/LNK1/ATCKA1",35
"GO:0048511","GO:0048511","rhythmic process","35/1200","149/21895",1.5175370757625e-13,5.78181625865513e-11,4.59414382093995e-11,"LHY/AT-PHH1/ARR4/EFL4/AFR2/FB/ARR3/ELF4-L2/AFR1/ATGRP7/ATCOP1/CKB4/AtCCA1/LNK3/TIC/ARR5/ATCKA2/ATPTPKIS1/NA/ARR9/CKB3/ATTKL/APRR2/ATFSD1/APRR7/LCL1/AtTCP21/AGL25/BG1/AtTCP7/APRR5/ATCOL4/ALX8/LNK1/ATCKA1",35
"GO:0009743","GO:0009743","response to carbohydrate","31/1200","163/21895",1.08788697215318e-09,3.45404113658634e-07,2.74452888764258e-07,"RPT5B/GWD/NA/NA/AtDRM1/NA/ATHB13/AtVAB1/NA/ADH/ATTPS1/PGK/AHK4/ATGPA1/ATOEP16-1/BCE2/NA/ANAC060/AtSTKL2/ATPCAP1/CYCD3/ATB2/TFL-1/TRA2/GLT1/NA/ASUS1/PGD3/ATSCP2/NA/ANK6",31
"GO:0009966","GO:0009966","regulation of signal transduction","45/1200","334/21895",2.35172953635558e-08,6.40006395251053e-06,5.08539409515687e-06,"KFB01/ATDHAR1/ZFP7/ATERF3/ATNPR1/JAZ6/DHAR2/KFB20/RHA2B/RGA/ATNUDT6/ATHB6/CHD3/ATGPA1/MED20/CHR3/ABCB1/ATWRKY54/GARU/ATGID1A/PLD/ARR1/AHP1/AtIDD2/ATWRKY70/PPD2/ATSK21/SLY1/ATWRKY11/ARR10/TIFY8/ATOST1/ARAC3/ATPLDDELTA/ATMYB73/BG1/JAZ12/EAR1/CIP1/SLY2/ALX8/ATHB-5/SHI/ENY/SNRK2-3",45
"GO:0007010","GO:0007010","cytoskeleton organization","42/1200","304/21895",3.33555983029582e-08,7.18975021624581e-06,5.71286686612045e-06,"TUB5/AtVAB3/ATSCAR3/ATMAP70-1/TUB1/ARAC5/AtVAB1/ATMAP65-6/SKU6/ARAC1/TBB7/AtCCP1/GEM1/WLIM2a/FH2/SP1L3/ACT11/GOM8/LST8-1/WDL3/ADF1/TON1B/WLIM2b/ATPCAP1/MAP65-2/ATK2/ARAC3/ARAC6/ATOFP1/ACT7/EMB40/TUA5/TUB8/EGR2/TUB4/ATGH9A1/ATMAP65-1/PFN3/ADF3/ADF4/TUB2/CESA6",42
"GO:0023051","GO:0023051","regulation of signaling","45/1200","339/21895",3.69084956635978e-08,7.18975021624581e-06,5.71286686612045e-06,"KFB01/ATDHAR1/ZFP7/ATERF3/ATNPR1/JAZ6/DHAR2/KFB20/RHA2B/RGA/ATNUDT6/ATHB6/CHD3/ATGPA1/MED20/CHR3/ABCB1/ATWRKY54/GARU/ATGID1A/PLD/ARR1/AHP1/AtIDD2/ATWRKY70/PPD2/ATSK21/SLY1/ATWRKY11/ARR10/TIFY8/ATOST1/ARAC3/ATPLDDELTA/ATMYB73/BG1/JAZ12/EAR1/CIP1/SLY2/ALX8/ATHB-5/SHI/ENY/SNRK2-3",45
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","52/1200","425/21895",5.10800863239119e-08,7.18975021624581e-06,5.71286686612045e-06,"ATCTL1/GWD/ATXTH28/APL2/FEI1/GBSS1/AtMSR2/AMY3/ATSUC1/ATTPS1/EXGT-A1/ATIPS2/FRK1/NA/NA/CYT1/GAL1/iPGAM2/LSF2/LST8-1/AtMSR1/GABA-T/TIC/PHS1/ATPHS2/ATPTPKIS1/LESV/EPC1/ATXT2/XTH9/AT-BETA-AMY/ANY1/ATOST1/XTH7/ATIPS1/MLS/ATCESA3/TPPI/ATGSL12/MEX1/ASUS1/PGD3/ADG1/ATGH9A1/ATTPPA/AtXTH22/COB/AtMYB28/NA/ALX8/CESA6/AtDPE1",52
"GO:0010646","GO:0010646","regulation of cell communication","45/1200","343/21895",5.25045693404316e-08,7.18975021624581e-06,5.71286686612045e-06,"KFB01/ATDHAR1/ZFP7/ATERF3/ATNPR1/JAZ6/DHAR2/KFB20/RHA2B/RGA/ATNUDT6/ATHB6/CHD3/ATGPA1/MED20/CHR3/ABCB1/ATWRKY54/GARU/ATGID1A/PLD/ARR1/AHP1/AtIDD2/ATWRKY70/PPD2/ATSK21/SLY1/ATWRKY11/ARR10/TIFY8/ATOST1/ARAC3/ATPLDDELTA/ATMYB73/BG1/JAZ12/EAR1/CIP1/SLY2/ALX8/ATHB-5/SHI/ENY/SNRK2-3",45
"GO:0045892","GO:0045892","negative regulation of transcription, DNA-templated","42/1200","309/21895",5.33585053086222e-08,7.18975021624581e-06,5.71286686612045e-06,"BDL/MOM/AtRAV1/AFP2/HMGA/BES1/HB-1/ATERF3/ARF1/FAS1/ATOFP7/NA/AGL22/IAA8/CHD3/AGO4/DMS4/AGO6/ABS2/AtCCA1/BRP1/IDN2/AtGATA18/ATWRKY70/AFB1/ATSAHH1/NINJA/ATOFP1/BLH9/h2a.w.12/APRR7/KTF1/ANAC083/ATCIMS/APRR5/AZF3/RLT2/ATERF-9/HAT2/AITR5/ALX8/ATDDM1",42
"GO:0044042","GO:0044042","glucan metabolic process","34/1200","222/21895",5.44174472726754e-08,7.18975021624581e-06,5.71286686612045e-06,"ATCTL1/GWD/ATXTH28/APL2/FEI1/GBSS1/AMY3/EXGT-A1/FRK1/CYT1/LSF2/TIC/PHS1/ATPHS2/NA/NA/ATPTPKIS1/LESV/EPC1/ATXT2/XTH9/AT-BETA-AMY/ANY1/XTH7/ATCESA3/ATGSL12/MEX1/ADG1/ATGH9A1/AtXTH22/COB/NA/CESA6/AtDPE1",34
"GO:1902679","GO:1902679","negative regulation of RNA biosynthetic process","42/1200","311/21895",6.41605006174167e-08,7.18975021624581e-06,5.71286686612045e-06,"BDL/MOM/AtRAV1/AFP2/HMGA/BES1/HB-1/ATERF3/ARF1/FAS1/ATOFP7/NA/AGL22/IAA8/CHD3/AGO4/DMS4/AGO6/ABS2/AtCCA1/BRP1/IDN2/AtGATA18/ATWRKY70/AFB1/ATSAHH1/NINJA/ATOFP1/BLH9/h2a.w.12/APRR7/KTF1/ANAC083/ATCIMS/APRR5/AZF3/RLT2/ATERF-9/HAT2/AITR5/ALX8/ATDDM1",42
"GO:1903507","GO:1903507","negative regulation of nucleic acid-templated transcription","42/1200","311/21895",6.41605006174167e-08,7.18975021624581e-06,5.71286686612045e-06,"BDL/MOM/AtRAV1/AFP2/HMGA/BES1/HB-1/ATERF3/ARF1/FAS1/ATOFP7/NA/AGL22/IAA8/CHD3/AGO4/DMS4/AGO6/ABS2/AtCCA1/BRP1/IDN2/AtGATA18/ATWRKY70/AFB1/ATSAHH1/NINJA/ATOFP1/BLH9/h2a.w.12/APRR7/KTF1/ANAC083/ATCIMS/APRR5/AZF3/RLT2/ATERF-9/HAT2/AITR5/ALX8/ATDDM1",42
"GO:0009890","GO:0009890","negative regulation of biosynthetic process","50/1200","407/21895",8.10424091705886e-08,8.55063844193789e-06,6.79420808371692e-06,"BDL/MOM/AtRAV1/AFP2/HMGA/BES1/CVP1/DCP5/HB-1/ATERF3/AtHIRD11/ARF1/FAS1/CP12-3/ATOFP7/NA/AGL22/IAA8/CHD3/AGO4/DMS4/AGO6/ABS2/NA/AtCCA1/BRP1/NOT9a/IDN2/AtGATA18/ATWRKY70/AtRZF1/AFB1/ATSAHH1/NINJA/ATB2/ATOFP1/BLH9/h2a.w.12/APRR7/KTF1/ANAC083/ATCIMS/APRR5/AZF3/RLT2/ATERF-9/HAT2/AITR5/ALX8/ATDDM1",50
"GO:0009251","GO:0009251","glucan catabolic process","11/1200","28/21895",1.15907446933992e-07,1.0925523341528e-05,8.68125573428221e-06,"GWD/AMY3/LSF2/PHS1/ATPHS2/NA/NA/ATPTPKIS1/AT-BETA-AMY/MEX1/AtDPE1",11
"GO:0048507","GO:0048507","meristem development","39/1200","284/21895",1.20438839985348e-07,1.0925523341528e-05,8.68125573428221e-06,"AT-PHH1/SCM/CYP78A5/KNAT6/HB-1/ATMCM2/AtNIK3/BUM/FAS1/AHK4/AGL22/LHW/LSH3/ATBRM/ATSK12/FLR1/ARR1/AtGATA18/FTIP3/AGL14/HAT1/AtHsp90-7/AGL24/RPT2a/ARR10/ATH1/ANT/ATHB-16/BLH9/TFL-1/AGL25/DOT2/ASKalpha/AN3/MOB1-like/TET1/ROCK1/AIL7/BAM1",39
"GO:0031327","GO:0031327","negative regulation of cellular biosynthetic process","49/1200","401/21895",1.28718714465773e-07,1.11458705026044e-05,8.85634025845843e-06,"BDL/MOM/AtRAV1/AFP2/HMGA/BES1/CVP1/DCP5/HB-1/ATERF3/AtHIRD11/ARF1/FAS1/ATOFP7/NA/AGL22/IAA8/CHD3/AGO4/DMS4/AGO6/ABS2/NA/AtCCA1/BRP1/NOT9a/IDN2/AtGATA18/ATWRKY70/AtRZF1/AFB1/ATSAHH1/NINJA/ATB2/ATOFP1/BLH9/h2a.w.12/APRR7/KTF1/ANAC083/ATCIMS/APRR5/AZF3/RLT2/ATERF-9/HAT2/AITR5/ALX8/ATDDM1",49
"GO:0016049","GO:0016049","cell growth","56/1200","491/21895",1.74381403237574e-07,1.38415238819824e-05,1.09982656954224e-05,"ATCTL1/ATVHA-C/CVP1/FEI1/ATROPGEF14/AtNRX1/FAS1/AT-EXP1/ATGH9B1/SAUR78/TUB1/ARAC5/SKU6/EXGT-A1/ALF1/ER/ATEXP6/ATEXP4/GOM8/AtPMT1/CBB1/AHP1/GABA-T/WDL3/ATEXLA1/AtDWF4/ATXT2/ATCYS-3A/ATSK21/ATPCAP1/ATEXPB3/DROP2/ANY1/ARAC3/ANT/ATEXP20/ATROPGEF1/ATHB-16/ATOFP1/CBB3/ACT7/EMB40/AtCXE18/LSH1/HLB1/HAT2/AACT2/ATGH9A1/AtMAPR5/DFL1/ATMAP65-1/PFN3/COB/ALX8/SAC51/CESA6",56
"GO:0036293","GO:0036293","response to decreased oxygen levels","37/1200","270/21895",2.65967773454506e-07,1.94872541704167e-05,1.54842776610356e-05,"AtRAV1/NA/AlaAT1/ACBP/NA/ERF74/ATNPR1/NA/HHO2/SAUR78/CP12-3/ADH/GAL1/RHA2B/IQM4/FBA6/LBD41/NA/ATGID1A/NA/HRA1/NA/RAP2.2/NA/PRP/ATWRKY70/NA/NA/PCO1/NA/AAT2/ASUS1/NA/AtXTH22/EXL2/PROPEP3/cMCU",37
