"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","51/549","148/25124",4.99469617816061e-47,8.49098350287304e-45,6.30908990925551e-45,"SDH6/NA/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/AtPAM16/NA/NA/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/NA/RISP/ATP5/NA/SDH2-2/NA/NA/NA/SDH1-1",51
"GO:0005740","GO:0005740","mitochondrial envelope","65/549","290/25124",1.85530471835722e-46,1.57700901060364e-44,1.17177140106772e-44,"PMD2/SDH6/NA/NA/ATCYTC-A/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/SDH8/SDH4/ATVDAC1/NA/NA/NA/AAC1/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/ATPUMP1/BIGYIN/AtPAM16/NA/NA/NA/CYTC-2/NA/NA/NA/SDH3-2/NA/NA/NA/NA/NA/RISP/ATP5/MPT3/AtVDAC-3/NA/NA/AtMPC1/SDH2-2/NA/NA/NA/PM-ANT/SDH1-1/ATVDAC2",65
"GO:0031966","GO:0031966","mitochondrial membrane","60/549","270/25124",1.12532195624377e-42,4.56994591928103e-41,3.39562545085897e-41,"PMD2/SDH6/NA/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/SDH8/SDH4/ATVDAC1/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/ATPUMP1/BIGYIN/AtPAM16/NA/NA/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/NA/RISP/ATP5/MPT3/AtVDAC-3/NA/AtMPC1/SDH2-2/NA/NA/NA/PM-ANT/SDH1-1/ATVDAC2",60
"GO:0098803","GO:0098803","respiratory chain complex","40/549","89/25124",1.139207848227e-42,4.56994591928103e-41,3.39562545085897e-41,"SDH6/NA/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/RISP/NA/SDH2-2/NA/NA/SDH1-1",40
"GO:0005743","GO:0005743","mitochondrial inner membrane","55/549","216/25124",1.34410174096501e-42,4.56994591928103e-41,3.39562545085897e-41,"SDH6/NA/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/ATPUMP1/AtPAM16/NA/NA/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/NA/RISP/ATP5/MPT3/NA/AtMPC1/SDH2-2/NA/NA/NA/PM-ANT/SDH1-1",55
"GO:0005746","GO:0005746","mitochondrial respirasome","40/549","94/25124",1.78892945648438e-41,5.06863346003909e-40,3.76616727680923e-40,"SDH6/NA/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/RISP/NA/SDH2-2/NA/NA/SDH1-1",40
"GO:0070469","GO:0070469","respirasome","40/549","96/25124",5.08913615827296e-41,1.23593306700915e-39,9.18340359387603e-40,"SDH6/NA/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/RISP/NA/SDH2-2/NA/NA/SDH1-1",40
"GO:0098798","GO:0098798","mitochondrial protein complex","53/549","219/25124",8.0048329502426e-40,1.70102700192655e-38,1.26392099214357e-38,"SDH6/NA/NA/IAR4/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/AtPAM16/NA/NA/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/NA/RISP/ATP5/NA/SDH2-2/NA/NA/MAB1/NA/SDH1-1",53
"GO:1990204","GO:1990204","oxidoreductase complex","43/549","141/25124",3.5811295176984e-37,6.76435575565254e-36,5.02614669150653e-36,"SDH6/NA/NA/IAR4/SDH5/NA/NA/NA/NA/NA/NA/NA/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/NA/NA/NA/NA/SDH3-2/NA/NA/NA/RISP/AtFDH1/NA/SDH2-2/NA/MAB1/NA/NA/SDH1-1",43
"GO:0019866","GO:0019866","organelle inner membrane","55/549","282/25124",5.71927011826152e-36,9.72275920104458e-35,7.22434120201455e-35,"SDH6/NA/NA/SDH5/NA/NA/NA/NA/NA/NA/NA/MGP1/NA/ATP3/NA/NA/SDH8/SDH4/NA/NA/NA/NA/NA/NA/NA/NA/SDH7/AtCAL2/ATPQ/NA/ATPUMP1/AtPAM16/NA/NA/NA/NA/NA/NA/SDH3-2/NA/NA/NA/NA/NA/RISP/ATP5/MPT3/NA/AtMPC1/SDH2-2/NA/NA/NA/PM-ANT/SDH1-1",55
