"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005856","GO:0005856","cytoskeleton","55/433","348/25124",1.94161792353987e-36,3.66965787549035e-34,2.06424642397397e-34,"NET3A/AtTPX2/TOR2/IQD28/NA/IQD32/CYCB2;3/CORD4/NA/CYCB2;4/SKU6/CYCB2;1/AtAUR2/RSW7/TBB7/KIS/BUBR1/EDE1/ATN/CYC2/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/TON1B/TRM7/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/ARAC7/AtAUR1/CYCB2;2/ARAC6/CYC1/NA/iqd2/CYC1BAT/MPB2C/ACT7/NA/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/NA/TUB2/ATEB1C",55
"GO:0015630","GO:0015630","microtubule cytoskeleton","48/433","255/25124",1.55466317240263e-35,1.46915669792048e-33,8.26426212698239e-34,"AtTPX2/IQD28/NA/IQD32/CYCB2;3/CORD4/CYCB2;4/SKU6/CYCB2;1/AtAUR2/RSW7/TBB7/KIS/BUBR1/EDE1/ATN/CYC2/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/TON1B/TRM7/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/CYCB2;2/CYC1/NA/iqd2/CYC1BAT/MPB2C/NA/NA/NA/ADL1/TUB4/ATMAP65-3/NA/TUB2/ATEB1C",48
"GO:0099081","GO:0099081","supramolecular polymer","37/433","184/25124",1.12653173072343e-28,4.25828994213458e-27,2.39536220638035e-27,"NET3A/AtTPX2/NA/CORD4/NA/SKU6/AtAUR2/RSW7/TBB7/BUBR1/EDE1/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/iqd2/NA/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/NA/TUB2/ATEB1C",37
"GO:0099512","GO:0099512","supramolecular fiber","37/433","184/25124",1.12653173072343e-28,4.25828994213458e-27,2.39536220638035e-27,"NET3A/AtTPX2/NA/CORD4/NA/SKU6/AtAUR2/RSW7/TBB7/BUBR1/EDE1/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/iqd2/NA/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/NA/TUB2/ATEB1C",37
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","37/433","184/25124",1.12653173072343e-28,4.25828994213458e-27,2.39536220638035e-27,"NET3A/AtTPX2/NA/CORD4/NA/SKU6/AtAUR2/RSW7/TBB7/BUBR1/EDE1/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/iqd2/NA/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/NA/TUB2/ATEB1C",37
"GO:0009534","GO:0009534","chloroplast thylakoid","50/433","413/25124",1.38436105953475e-27,4.36073733753446e-26,2.45299064935105e-26,"EMB2784/CP24/DRT112/PYG7/PSAK/PSAH-2/PSAG/PRPS6/RBCS1A/PSBY/PSRP3/1/NA/NA/NDH-O/CS17/LHCB2/NA/YCF37/BASS2/PSBW/EMB3113/NA/CAO/ATF1/PSAH-1/GHS1/LHCB2/PSRP2/CP33/PSRP5/ACSF/HEMG1/PSAD-1/ATPD/LHCB5/ATRAB8D/ATRBP31/CHLM/PORB/FKBP16-2/LHCB4.1/NA/NA/NA/ATCPN21/ADL1/AtCEST/LIL3:2/PSAN/MSP-1",50
"GO:0031976","GO:0031976","plastid thylakoid","50/433","416/25124",1.94365958058462e-27,5.24788086757849e-26,2.95202432539921e-26,"EMB2784/CP24/DRT112/PYG7/PSAK/PSAH-2/PSAG/PRPS6/RBCS1A/PSBY/PSRP3/1/NA/NA/NDH-O/CS17/LHCB2/NA/YCF37/BASS2/PSBW/EMB3113/NA/CAO/ATF1/PSAH-1/GHS1/LHCB2/PSRP2/CP33/PSRP5/ACSF/HEMG1/PSAD-1/ATPD/LHCB5/ATRAB8D/ATRBP31/CHLM/PORB/FKBP16-2/LHCB4.1/NA/NA/NA/ATCPN21/ADL1/AtCEST/LIL3:2/PSAN/MSP-1",50
"GO:0005874","GO:0005874","microtubule","34/433","169/25124",1.92958388057588e-26,4.55864191786051e-25,2.564315420239e-25,"AtTPX2/NA/CORD4/SKU6/AtAUR2/RSW7/TBB7/BUBR1/EDE1/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/iqd2/NA/NA/NA/ADL1/TUB4/ATMAP65-3/NA/TUB2/ATEB1C",34
"GO:0055035","GO:0055035","plastid thylakoid membrane","42/433","335/25124",6.74283238190075e-24,1.41599480019916e-22,7.96521719967223e-23,"EMB2784/CP24/DRT112/PYG7/PSAK/PSAH-2/PSAG/PRPS6/RBCS1A/PSBY/PSRP3/1/NA/NA/NDH-O/LHCB2/YCF37/PSBW/EMB3113/NA/CAO/PSAH-1/LHCB2/PSRP2/CP33/PSRP5/ACSF/PSAD-1/ATPD/LHCB5/ATRAB8D/ATRBP31/CHLM/PORB/FKBP16-2/LHCB4.1/NA/ATCPN21/ADL1/AtCEST/LIL3:2/PSAN/MSP-1",42
"GO:0034357","GO:0034357","photosynthetic membrane","43/433","364/25124",2.10340801899465e-23,3.75362414352784e-22,2.11147891114627e-22,"EMB2784/PSAO/CP24/DRT112/PYG7/PSAK/PSAH-2/PSAG/PRPS6/RBCS1A/PSBY/PSRP3/1/NA/NA/NDH-O/LHCB2/YCF37/PSBW/EMB3113/NA/CAO/PSAH-1/LHCB2/PSRP2/CP33/PSRP5/ACSF/PSAD-1/ATPD/LHCB5/ATRAB8D/ATRBP31/CHLM/PORB/FKBP16-2/LHCB4.1/NA/ATCPN21/ADL1/AtCEST/LIL3:2/PSAN/MSP-1",43
