"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019787","GO:0019787","ubiquitin-like protein transferase activity","72/1502","480/21875",2.82125574152449e-10,1.1570486889256e-07,1.04368013152012e-07,"NA/NA/RHA2A/NA/ATPUB44/NA/ATCUL3/LCR/NHL8/ATUBC2-1/CSU1/AtPUB43/BRG2/RKP/ATUBA1/AtPUB23/NA/RHC2A/MUSE2/RGLG1/NA/NA/ATCHIP/ATUBC11/BTS/NA/UBC19/XBAT35/PRT1/UBC13/NA/NA/NA/ATELP/SINAT2/NA/AtTIR1/ATCUL1/ATRMA1/UPL5/RHF1A/AtSAP9/RIN2/ATRMA3/SINAT4/UBC9/CER9/RCE1/NA/APD2/ATUBC22/NA/XBAT33/JUL1/MIEL1/ATRBX1/AIP2/RHF2A/NA/NA/NA/BRG1/ATCRT1/NA/ATUBC7/ATSIZ1/NA/RZFP/UBC3/NA/PUB31/AtARRE",72
"GO:0004842","GO:0004842","ubiquitin-protein transferase activity","71/1502","473/21875",3.63851788970316e-10,1.1570486889256e-07,1.04368013152012e-07,"NA/NA/RHA2A/NA/ATPUB44/NA/ATCUL3/LCR/NHL8/ATUBC2-1/CSU1/AtPUB43/BRG2/RKP/ATUBA1/AtPUB23/NA/RHC2A/MUSE2/RGLG1/NA/NA/ATCHIP/ATUBC11/BTS/NA/UBC19/XBAT35/PRT1/UBC13/NA/NA/NA/ATELP/SINAT2/NA/AtTIR1/ATCUL1/ATRMA1/UPL5/RHF1A/AtSAP9/RIN2/ATRMA3/SINAT4/UBC9/CER9/RCE1/NA/APD2/ATUBC22/NA/XBAT33/JUL1/MIEL1/ATRBX1/AIP2/RHF2A/NA/NA/NA/BRG1/ATCRT1/NA/ATUBC7/NA/RZFP/UBC3/NA/PUB31/AtARRE",71
"GO:0005516","GO:0005516","calmodulin binding","28/1502","169/21875",1.22157857464526e-05,0.00258974657824795,0.00233600113397076,"ATPPCK1/PEPKR2/ATCDPK1/LORE/NA/GAD2/ATCDPK3/NA/AtWRKY15/PRN2/ATMYB2/ATWRKY39/ATBT2/RLK4/AtCPK21/B120/AtCDPK6/ATWRKY7/ATCNGC9/ATWRKY11/SD2-5/AtIQM1/BT5/ACA2/NA/NA/NA/BT1",28
"GO:0061630","GO:0061630","ubiquitin protein ligase activity","34/1502","236/21875",3.28608862064541e-05,0.00456435121561898,0.00411713242719686,"RHA2A/NA/NA/NHL8/CSU1/RKP/NA/RHC2A/MUSE2/RGLG1/NA/ATCHIP/BTS/PRT1/NA/ATELP/SINAT2/NA/ATRMA1/UPL5/AtSAP9/RIN2/ATRMA3/SINAT4/NA/JUL1/MIEL1/ATRBX1/AIP2/NA/NA/NA/ATCRT1/AtARRE",34
"GO:0061659","GO:0061659","ubiquitin-like protein ligase activity","34/1502","237/21875",3.58832642737341e-05,0.00456435121561898,0.00411713242719686,"RHA2A/NA/NA/NHL8/CSU1/RKP/NA/RHC2A/MUSE2/RGLG1/NA/ATCHIP/BTS/PRT1/NA/ATELP/SINAT2/NA/ATRMA1/UPL5/AtSAP9/RIN2/ATRMA3/SINAT4/NA/JUL1/MIEL1/ATRBX1/AIP2/NA/NA/NA/ATCRT1/AtARRE",34
"GO:0061134","GO:0061134","peptidase regulator activity","10/1502","33/21875",4.85050376465632e-05,0.0051415339905357,0.00463776237146964,"AtSERPIN1/SPI-1/NA/PRN2/ATTI1/ATTI2/ATCYS6/PA200/AtKPI-1/ATCYS1",10
"GO:0004724","GO:0004724","magnesium-dependent protein serine/threonine phosphatase activity","9/1502","31/21875",0.00016737657815793,0.0133064379635554,0.012002662512641,"PLL5/PAPP2C/NA/PLL4/PP2CG1/ATHPP2C5/NA/NA/NA",9
"GO:0030414","GO:0030414","peptidase inhibitor activity","9/1502","31/21875",0.00016737657815793,0.0133064379635554,0.012002662512641,"AtSERPIN1/SPI-1/NA/PRN2/ATTI1/ATTI2/ATCYS6/AtKPI-1/ATCYS1",9
"GO:0005543","GO:0005543","phospholipid binding","22/1502","144/21875",0.000333730485403341,0.0235836209685028,0.0212728788941311,"AtGLE1/FREE1/SNRK2-10/CSU1/NA/CAR10/ACD11/NA/PLD/NA/AtATG18a/ORP1C/AGD12/NA/CAP1/BON2/NA/AtPI4Kgamma3/PICALM3/NA/PLDrp1/CCI1",22
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","8/1502","28/21875",0.000435405911617924,0.0276918159789,0.024978549666502,"AtSERPIN1/SPI-1/NA/ATTI1/ATTI2/ATCYS6/AtKPI-1/ATCYS1",8
"GO:0061135","GO:0061135","endopeptidase regulator activity","8/1502","29/21875",0.000565381889483108,0.0326893528828415,0.0294864239012722,"AtSERPIN1/SPI-1/NA/ATTI1/ATTI2/ATCYS6/AtKPI-1/ATCYS1",8
"GO:0004029","GO:0004029","aldehyde dehydrogenase (NAD+) activity","5/1502","12/21875",0.000798064187013428,0.0390437556108108,0.0352182171597019,"ALDH2B/ALDH3H1/ALDH7B4/ALDH10A8/ALDH2",5
"GO:0004030","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","5/1502","12/21875",0.000798064187013428,0.0390437556108108,0.0352182171597019,"ALDH2B/ALDH3H1/ALDH7B4/ALDH10A8/ALDH2",5
"GO:0019888","GO:0019888","protein phosphatase regulator activity","11/1502","54/21875",0.000949243137151121,0.0431227596591509,0.0388975571238617,"NA/ATB/NA/INH3/PP2AB'ETA/PYL7/PYL13/ANK1/TAP46/PYL8/NA",11
"GO:0019208","GO:0019208","phosphatase regulator activity","11/1502","56/21875",0.00130172619524795,0.0550173251704866,0.049626683578145,"NA/ATB/NA/INH3/PP2AB'ETA/PYL7/PYL13/ANK1/TAP46/PYL8/NA",11
"GO:0004722","GO:0004722","protein serine/threonine phosphatase activity","18/1502","120/21875",0.00138408365208771,0.0550173251704866,0.049626683578145,"PLL5/PAPP2C/NA/TOPP3/PLL4/PP2CG1/ATHPP2C5/NA/NA/NA/NA/PP2C52/ABI1/NA/EGR2/SSP4/ABI2/HAI1",18
"GO:0008289","GO:0008289","lipid binding","32/1502","269/21875",0.00171682513268947,0.0614775789669967,0.055453956532627,"ACX3/AtGLE1/FREE1/SNRK2-10/CSU1/NA/CP5/CAR10/ACD11/NA/ATGID1A/PLD/NA/AtATG18a/PYL7/ORP1C/NA/ACX1/PYL13/AGD12/NA/CAP1/AFT/BON2/NA/AtPI4Kgamma3/PICALM3/NA/PLDrp1/PYL8/ACX2/CCI1",32
"GO:0019902","GO:0019902","phosphatase binding","6/1502","20/21875",0.00173993148019802,0.0614775789669967,0.055453956532627,"NA/INH3/ATMAPK6/AtCPK21/ANK1/TAP46",6
"GO:0004364","GO:0004364","glutathione transferase activity","11/1502","59/21875",0.00202583804929132,0.0642343630834636,0.057940628733015,"ATDHAR1/NA/ATGSTU12/NA/ATGSTU19/ATGSTF3/ATGSTU7/ATGSTF10/ATGSTF5/NA/NA",11
"GO:0004675","GO:0004675","transmembrane receptor protein serine/threonine kinase activity","11/1502","59/21875",0.00202583804929132,0.0642343630834636,0.057940628733015,"LecRK-S.1/AP4.3A/LecRK-IV.1/LecRK-IV.2/ATHLECRK/LecRK-VII.2/ATBAK1/LecRK-VI.2/LecRK-VI.3/LecRK-VI.4/FLS2",11
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","13/1502","77/21875",0.00212094595086908,0.0642343630834636,0.057940628733015,"LecRK-S.1/EVR/AP4.3A/LecRK-IV.1/AtCERK1/LecRK-IV.2/ATHLECRK/LecRK-VII.2/ATBAK1/LecRK-VI.2/LecRK-VI.3/LecRK-VI.4/FLS2",13
"GO:0038023","GO:0038023","signaling receptor activity","21/1502","157/21875",0.0025281444825219,0.0725064360607668,0.0654021973735814,"AT-PHH1/FHY2/LecRK-S.1/LORE/EVR/AP4.3A/LecRK-IV.1/AtCERK1/LecRK-IV.2/ATHLECRK/AtTIR1/PYL7/PYL13/LecRK-VII.2/ATBAK1/HHP4/LecRK-VI.2/LecRK-VI.3/LecRK-VI.4/FLS2/PYL8",21
"GO:0003779","GO:0003779","actin binding","17/1502","117/21875",0.00262208809653716,0.0725064360607668,0.0654021973735814,"NET1D/ATFH4/SINE1/ARPC3/ADF5/NET4B/ADF6/ADF2/ADF1/ATVLN3/ATXIH/AtVAB2/ATXIK/CIP1/ATMYA2/ATFH5/PFN3",17
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","6/1502","22/21875",0.00297542332105639,0.0756947692876746,0.068278135156873,"VHA-E3/VHA-A/NA/NA/NA/NA",6
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","6/1502","22/21875",0.00297542332105639,0.0756947692876746,0.068278135156873,"VHA-E3/VHA-A/NA/NA/NA/NA",6
