"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005694","GO:0005694","chromosome","15/33","416/25124",1.18552396637073e-18,6.99459140158728e-17,3.11979991150191e-17,"CENH3/G-H2AX/HMGA/ORTH2/PSF1/HIS4/H1.2/H2A.Z/HTA13/H2A.Z/HTA2/ATRAD51/ATCAP-C/h2a.w.6/ATRPA70D",15
"GO:0000228","GO:0000228","nuclear chromosome","12/33","242/25124",1.43905096580454e-16,4.24520034912338e-15,1.89348811290071e-15,"G-H2AX/HMGA/ORTH2/PSF1/H2A.Z/HTA13/H2A.Z/HTA2/ATRAD51/ATCAP-C/h2a.w.6/ATRPA70D",12
"GO:0000785","GO:0000785","chromatin","11/33","226/25124",3.97466537124361e-15,7.8168418967791e-14,3.48654857126632e-14,"CENH3/G-H2AX/HMGA/ORTH2/HIS4/H1.2/H2A.Z/HTA13/H2A.Z/HTA2/h2a.w.6",11
"GO:0000790","GO:0000790","nuclear chromatin","8/33","150/25124",1.63638508535702e-11,2.4136680009016e-10,1.0765691351033e-10,"G-H2AX/HMGA/ORTH2/H2A.Z/HTA13/H2A.Z/HTA2/h2a.w.6",8
"GO:0032993","GO:0032993","protein-DNA complex","6/33","61/25124",1.67453284356584e-10,1.97594875540769e-09,8.81333075560967e-10,"HMGA/PSF1/HIS4/H1.2/ABAP1/ATRPA70D",6
"GO:0044815","GO:0044815","DNA packaging complex","4/33","25/25124",3.05885886908243e-08,3.00787788793105e-07,1.34160476714141e-07,"HMGA/HIS4/H1.2/ATCAP-C",4
"GO:0000786","GO:0000786","nucleosome","3/33","17/25124",1.38634981652522e-06,1.16849484535697e-05,5.21184141550834e-06,"HMGA/HIS4/H1.2",3
"GO:0005730","GO:0005730","nucleolus","7/33","486/25124",2.68253712296922e-06,1.9783711281898e-05,8.82413527292506e-06,"ATPCNA1/HMGA/HIS4/H1.2/H2A.Z/h2a.w.6/HTB4",7
"GO:0018995","GO:0018995","host cellular component","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033643","GO:0033643","host cell part","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033646","GO:0033646","host intracellular part","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033647","GO:0033647","host intracellular organelle","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0042025","GO:0042025","host cell nucleus","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0043656","GO:0043656","host intracellular region","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0043657","GO:0043657","host cell","4/33","161/25124",5.75058270285268e-05,0.000212052737167693,9.45819523495507e-05,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0000792","GO:0000792","heterochromatin","2/33","17/25124",0.00022474186842181,0.000779986484522753,0.000347897629135929,"ORTH2/h2a.w.6",2
"GO:0000794","GO:0000794","condensed nuclear chromosome","2/33","42/25124",0.00139389628118029,0.00456888225497984,0.0020378600602051,"ATRAD51/ATCAP-C",2
"GO:0000775","GO:0000775","chromosome, centromeric region","2/33","47/25124",0.0017428958396461,0.00541215023890103,0.00241398315740456,"CENH3/h2a.w.6",2
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","2/33","62/25124",0.00301159492688563,0.00888420503431262,0.00396262490379689,"CYCA3;2/CYCA3;1",2
"GO:0000793","GO:0000793","condensed chromosome","2/33","66/25124",0.00340493754410102,0.00956625310009335,0.00426683902769552,"ATRAD51/ATCAP-C",2
"GO:0098687","GO:0098687","chromosomal region","2/33","71/25124",0.00392852826162983,0.0105355985198254,0.00469919648520314,"CENH3/h2a.w.6",2
"GO:1902554","GO:1902554","serine/threonine protein kinase complex","2/33","80/25124",0.0049589668721403,0.0127208280633164,0.00567387513974862,"CYCA3;2/CYCA3;1",2
"GO:1902911","GO:1902911","protein kinase complex","2/33","90/25124",0.00623382140746457,0.0153248109600171,0.00683533049064098,"CYCA3;2/CYCA3;1",2
"GO:0005662","GO:0005662","DNA replication factor A complex","1/33","11/25124",0.0143566594492556,0.0338817163002431,0.0151122731044795,"ATRPA70D",1
"GO:0005720","GO:0005720","nuclear heterochromatin","1/33","12/25124",0.015651854377706,0.034202200306839,0.0152552186917212,"ORTH2",1
"GO:0010369","GO:0010369","chromocenter","1/33","12/25124",0.015651854377706,0.034202200306839,0.0152552186917212,"ORTH2",1
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","1/33","13/25124",0.0169453988506878,0.0357063761496636,0.0159261267393682,"NDF2",1
"GO:0030894","GO:0030894","replisome","1/33","20/25124",0.0259541682536232,0.0510431975654589,0.0227668142575642,"ATRPA70D",1
"GO:0043601","GO:0043601","nuclear replisome","1/33","20/25124",0.0259541682536232,0.0510431975654589,0.0227668142575642,"ATRPA70D",1
"GO:0009574","GO:0009574","preprophase band","1/33","22/25124",0.0285133639999517,0.0542673701934566,0.0242048930390083,"MAP65-5",1
"GO:0061695","GO:0061695","transferase complex, transferring phosphorus-containing groups","2/33","234/25124",0.0377438238488231,0.0691642699779394,0.0308493621667883,"CYCA3;2/CYCA3;1",2
"GO:0043596","GO:0043596","nuclear replication fork","1/33","30/25124",0.0386851001571525,0.0691642699779394,0.0308493621667883,"ATRPA70D",1
"GO:0000152","GO:0000152","nuclear ubiquitin ligase complex","1/33","32/25124",0.0412118526853473,0.0715146855422204,0.0318977187967085,"ATBRCA1",1
"GO:0005657","GO:0005657","replication fork","1/33","48/25124",0.0611953404209212,0.101936136813195,0.0454666087480799,"ATRPA70D",1
"GO:0055028","GO:0055028","cortical microtubule","1/33","49/25124",0.0624308067539134,0.101936136813195,0.0454666087480799,"MAP65-5",1
"GO:0030981","GO:0030981","cortical microtubule cytoskeleton","1/33","52/25124",0.0661277535463122,0.101936136813195,0.0454666087480799,"MAP65-5",1
"GO:0005777","GO:0005777","peroxisome","2/33","324/25124",0.0673815141646544,0.101936136813195,0.0454666087480799,"NA/HIS4",2
"GO:0042579","GO:0042579","microbody","2/33","324/25124",0.0673815141646544,0.101936136813195,0.0454666087480799,"NA/HIS4",2
"GO:0005881","GO:0005881","cytoplasmic microtubule","1/33","56/25124",0.0710350334090247,0.104776674278311,0.0467335746112005,"MAP65-5",1
"GO:0030863","GO:0030863","cortical cytoskeleton","1/33","59/25124",0.0746990742696138,0.107493789802615,0.0479454905453233,"MAP65-5",1
"GO:0009524","GO:0009524","phragmoplast","1/33","62/25124",0.078349099609246,0.110061830403465,0.0490909145421341,"MAP65-5",1
"GO:0042651","GO:0042651","thylakoid membrane","2/33","363/25124",0.0820050384406236,0.110480437696313,0.04927762609113,"NDF2/NA",2
"GO:0034357","GO:0034357","photosynthetic membrane","2/33","364/25124",0.0823921908243693,0.110480437696313,0.04927762609113,"NDF2/NA",2
"GO:0005819","GO:0005819","spindle","1/33","78/25124",0.0975813309175038,0.127939967202949,0.0570651057997098,"MAP65-5",1
"GO:0009534","GO:0009534","chloroplast thylakoid","2/33","413/25124",0.102033917309024,0.129644948343642,0.0578255791006431,"NDF2/HTB4",2
"GO:0031976","GO:0031976","plastid thylakoid","2/33","416/25124",0.103276484273749,0.129644948343642,0.0578255791006431,"NDF2/HTB4",2
"GO:0005654","GO:0005654","nucleoplasm","2/33","475/25124",0.12852521428783,0.157978909228791,0.0704633850262227,"PSF1/ABAP1",2
"GO:0005938","GO:0005938","cell cortex","1/33","126/25124",0.152972007669391,0.184190784744777,0.0821546765141733,"MAP65-5",1
"GO:0005874","GO:0005874","microtubule","1/33","169/25124",0.199782234221331,0.235743036381171,0.105148544327016,"MAP65-5",1
"GO:0099081","GO:0099081","supramolecular polymer","1/33","184/25124",0.215513398264876,0.239911141464673,0.107007645613146,"MAP65-5",1
"GO:0099512","GO:0099512","supramolecular fiber","1/33","184/25124",0.215513398264876,0.239911141464673,0.107007645613146,"MAP65-5",1
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","1/33","184/25124",0.215513398264876,0.239911141464673,0.107007645613146,"MAP65-5",1
"GO:0015630","GO:0015630","microtubule cytoskeleton","1/33","255/25124",0.285995295051832,0.312476340889965,0.139373925463856,"MAP65-5",1
"GO:0099080","GO:0099080","supramolecular complex","1/33","290/25124",0.318440518354663,0.341599828780457,0.152363884380222,"MAP65-5",1
"GO:0000151","GO:0000151","ubiquitin ligase complex","1/33","318/25124",0.343362929174331,0.36175737180867,0.161354759950343,"ATBRCA1",1
"GO:0009535","GO:0009535","chloroplast thylakoid membrane","1/33","329/25124",0.352910115974839,0.364234256843021,0.162459525799742,"NDF2",1
"GO:0055035","GO:0055035","plastid thylakoid membrane","1/33","335/25124",0.358060794862631,0.364234256843021,0.162459525799742,"NDF2",1
"GO:0005856","GO:0005856","cytoskeleton","1/33","348/25124",0.36908457850387,0.36908457850387,0.164622916371039,"MAP65-5",1
