"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046982","GO:0046982","protein heterodimerization activity","9/30","125/21875",6.27000210663595e-14,2.69610090585346e-12,1.716000576553e-12,"CENH3/G-H2AX/NA/H2A.Z/HTA13/H2A.Z/HTA2/h2a.w.6/HTB4",9
"GO:0003682","GO:0003682","chromatin binding","5/30","171/21875",3.34869233134349e-06,7.19968851238851e-05,4.58242108499636e-05,"HMGA/ORTH2/CMT1/H1.2/h2a.w.6",5
"GO:0031491","GO:0031491","nucleosome binding","2/30","26/21875",0.000578941695824917,0.00829816430682382,0.0052815733654203,"HMGA/H1.2",2
"GO:0031490","GO:0031490","chromatin DNA binding","2/30","38/21875",0.00123955811940046,0.013325249783555,0.00848118713274001,"HMGA/H1.2",2
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","2/30","53/21875",0.0023989237783985,0.0206307444942271,0.013130951208076,"CYCA3;2/CYCA3;1",2
"GO:0003697","GO:0003697","single-stranded DNA binding","2/30","84/21875",0.00591093218641586,0.0423616806693137,0.0269621468152302,"ATRAD51/ATRPA70D",2
"GO:0019887","GO:0019887","protein kinase regulator activity","2/30","92/21875",0.00704985602845101,0.0428072968621278,0.0272457703406444,"CYCA3;2/CYCA3;1",2
"GO:0019207","GO:0019207","kinase regulator activity","2/30","98/21875",0.00796414825341913,0.0428072968621278,0.0272457703406444,"CYCA3;2/CYCA3;1",2
"GO:0009008","GO:0009008","DNA-methyltransferase activity","1/30","10/21875",0.0136327451631695,0.063865366610785,0.0406487033508056,"CMT1",1
"GO:0043047","GO:0043047","single-stranded telomeric DNA binding","1/30","12/21875",0.0163376519236892,0.063865366610785,0.0406487033508056,"ATRPA70D",1
"GO:0098847","GO:0098847","sequence-specific single stranded DNA binding","1/30","12/21875",0.0163376519236892,0.063865366610785,0.0406487033508056,"ATRPA70D",1
"GO:0008327","GO:0008327","methyl-CpG binding","1/30","20/21875",0.027085751871093,0.0904420603828638,0.0575641020796685,"ORTH2",1
"GO:0030234","GO:0030234","enzyme regulator activity","3/30","479/21875",0.0273429484878425,0.0904420603828638,0.0575641020796685,"ATPCNA1/CYCA3;2/CYCA3;1",3
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","2/30","197/21875",0.0297546529572046,0.0913892912256998,0.0581669907434074,"CMT1/ATRAD51",2
"GO:0042162","GO:0042162","telomeric DNA binding","1/30","26/21875",0.0350722348585355,0.100540406594468,0.0639914460576788,"ATRPA70D",1
"GO:0044877","GO:0044877","protein-containing complex binding","2/30","233/21875",0.0404151118931325,0.108615613212793,0.0691311124487792,"HMGA/H1.2",2
"GO:0016857","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","1/30","34/21875",0.0456223536578583,0.115397718075759,0.073447752018843,"NDF2",1
"GO:0003684","GO:0003684","damaged DNA binding","1/30","40/21875",0.0534616780218971,0.116644792263734,0.0742414834481541,"ATRPA70D",1
"GO:0016854","GO:0016854","racemase and epimerase activity","1/30","43/21875",0.0573579614994548,0.116644792263734,0.0742414834481541,"NDF2",1
"GO:0005347","GO:0005347","ATP transmembrane transporter activity","1/30","44/21875",0.058653273937849,0.116644792263734,0.0742414834481541,"NA",1
"GO:0000295","GO:0000295","adenine nucleotide transmembrane transporter activity","1/30","47/21875",0.0625288960270025,0.116644792263734,0.0742414834481541,"NA",1
"GO:0005346","GO:0005346","purine ribonucleotide transmembrane transporter activity","1/30","47/21875",0.0625288960270025,0.116644792263734,0.0742414834481541,"NA",1
"GO:0015216","GO:0015216","purine nucleotide transmembrane transporter activity","1/30","48/21875",0.0638173389956295,0.116644792263734,0.0742414834481541,"NA",1
"GO:0015215","GO:0015215","nucleotide transmembrane transporter activity","1/30","49/21875",0.065104070100689,0.116644792263734,0.0742414834481541,"NA",1
"GO:0015605","GO:0015605","organophosphate ester transmembrane transporter activity","1/30","56/21875",0.0740634397870881,0.127389116433791,0.0810799761879701,"NA",1
"GO:0042393","GO:0042393","histone binding","1/30","96/21875",0.123689341455443,0.204563141637848,0.130199306795203,"ORTH2",1
"GO:0004842","GO:0004842","ubiquitin-protein transferase activity","2/30","473/21875",0.13676149579691,0.204695946759568,0.130283833922858,"ORTH2/ATBRCA1",2
"GO:0015932","GO:0015932","nucleobase-containing compound transmembrane transporter activity","1/30","108/21875",0.138068845850429,0.204695946759568,0.130283833922858,"NA",1
"GO:0019787","GO:0019787","ubiquitin-like protein transferase activity","2/30","480/21875",0.140036358772313,0.204695946759568,0.130283833922858,"ORTH2/ATBRCA1",2
"GO:0008094","GO:0008094","DNA-dependent ATPase activity","1/30","112/21875",0.14281112564621,0.204695946759568,0.130283833922858,"ATRAD51",1
"GO:1901505","GO:1901505","carbohydrate derivative transmembrane transporter activity","1/30","118/21875",0.149877286042966,0.207894299995082,0.132319505504826,"NA",1
"GO:0008017","GO:0008017","microtubule binding","1/30","162/21875",0.200002505075309,0.268753366194946,0.171054774077567,"MAP65-5",1
"GO:0015631","GO:0015631","tubulin binding","1/30","174/21875",0.213169385660098,0.272346065051279,0.173341436752344,"MAP65-5",1
