"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","7/36","197/21895",2.87146092325354e-08,6.23107020346018e-06,4.11072300592086e-06,"PnsL2/NDF6/Lhca5/NDF2/LHB1B1/PnsL1/ATBCA1",7
"GO:0019684","GO:0019684","photosynthesis, light reaction","5/36","128/21895",2.05790068899779e-06,0.000122201598294908,8.06180808542686e-05,"PnsL2/NDF6/Lhca5/NDF2/LHB1B1",5
"GO:0017014","GO:0017014","protein nitrosylation","3/36","16/21895",2.25256402386927e-06,0.000122201598294908,8.06180808542686e-05,"CRB/ATCAT3/ATGER3",3
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","3/36","16/21895",2.25256402386927e-06,0.000122201598294908,8.06180808542686e-05,"CRB/ATCAT3/ATGER3",3
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","6/36","351/21895",2.11054311127349e-05,0.000915975710292697,0.000604281817122516,"PnsL2/NDF6/Lhca5/NDF2/LHB1B1/ADG2",6
"GO:0001708","GO:0001708","cell fate specification","3/36","35/21895",2.57675255998773e-05,0.000931925509195564,0.000614804119576021,"YAB2/AFO/YAB3",3
"GO:0018198","GO:0018198","peptidyl-cysteine modification","3/36","43/21895",4.81491660193128e-05,0.0014926241465987,0.000984704748665646,"CRB/ATCAT3/ATGER3",3
"GO:0009409","GO:0009409","response to cold","6/36","427/21895",6.30157632436473e-05,0.00161789023131981,0.00106734451350713,"CRB/ATCAT3/AOR/Lhca5/ATBCA1/ATGER3",6
"GO:0009767","GO:0009767","photosynthetic electron transport chain","3/36","48/21895",6.71014381653379e-05,0.00161789023131981,0.00106734451350713,"PnsL2/NDF6/NDF2",3
"GO:1902183","GO:1902183","regulation of shoot apical meristem development","2/36","10/21895",0.000117304642430929,0.00254551074075116,0.00167930856532698,"AFO/YAB3",2
"GO:0009970","GO:0009970","cellular response to sulfate starvation","2/36","12/21895",0.00017169102877068,0.00338699574938523,0.00223444783854665,"ATCAT3/ATMGL",2
"GO:1902182","GO:1902182","shoot apical meristem development","2/36","15/21895",0.000272298194256841,0.0049240590128112,0.00324846968587108,"AFO/YAB3",2
"GO:0009773","GO:0009773","photosynthetic electron transport in photosystem I","2/36","17/21895",0.000351962004885009,0.00587505808154207,0.00387585689589969,"NDF6/NDF2",2
"GO:0045165","GO:0045165","cell fate commitment","3/36","94/21895",0.000493737529592327,0.00765293170868107,0.00504874466350049,"YAB2/AFO/YAB3",3
"GO:0022900","GO:0022900","electron transport chain","3/36","101/21895",0.000609015347940743,0.00830602974769465,0.00547960245300254,"PnsL2/NDF6/NDF2",3
"GO:0009768","GO:0009768","photosynthesis, light harvesting in photosystem I","2/36","23/21895",0.000650702791294051,0.00830602974769465,0.00547960245300254,"Lhca5/LHB1B1",2
"GO:0009944","GO:0009944","polarity specification of adaxial/abaxial axis","2/36","23/21895",0.000650702791294051,0.00830602974769465,0.00547960245300254,"AFO/YAB3",2
"GO:0065001","GO:0065001","specification of axis polarity","2/36","27/21895",0.000899028888067268,0.0108382927061443,0.00715017127351745,"AFO/YAB3",2
"GO:0009943","GO:0009943","adaxial/abaxial axis specification","2/36","28/21895",0.000967184959368263,0.0110462703254165,0.00728737697917362,"AFO/YAB3",2
"GO:0009765","GO:0009765","photosynthesis, light harvesting","2/36","37/21895",0.0016883199596382,0.0183182715620744,0.0120848165531997,"Lhca5/LHB1B1",2
"GO:0042631","GO:0042631","cellular response to water deprivation","2/36","38/21895",0.00178027662511223,0.0183961917928264,0.0121362216047751,"CRB/ATMGL",2
"GO:0071462","GO:0071462","cellular response to water stimulus","2/36","39/21895",0.0018745716951613,0.0184900935386365,0.0121981698823893,"CRB/ATMGL",2
"GO:0009955","GO:0009955","adaxial/abaxial pattern specification","2/36","41/21895",0.0020701470482056,0.0195313873678529,0.0128851257920349,"AFO/YAB3",2
"GO:0009070","GO:0009070","serine family amino acid biosynthetic process","2/36","43/21895",0.00227498618871179,0.0205696667896025,0.0135700930554739,"ATMGL/AGT",2
"GO:0009798","GO:0009798","axis specification","2/36","48/21895",0.00282722294166702,0.0245402951336697,0.0161895713712301,"AFO/YAB3",2
"GO:0018193","GO:0018193","peptidyl-amino acid modification","4/36","400/21895",0.00407276582599656,0.0329566419887141,0.0217419515423969,"CRB/ATCAT3/ckl10/ATGER3",4
"GO:0009069","GO:0009069","serine family amino acid metabolic process","2/36","58/21895",0.00410059600781236,0.0329566419887141,0.0217419515423969,"ATMGL/AGT",2
"GO:0071229","GO:0071229","cellular response to acid chemical","2/36","61/21895",0.00452567153667846,0.0350739544092581,0.0231387717664764,"CRB/ATMGL",2
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","3/36","215/21895",0.00525118032018004,0.039293314809623,0.0259223420524314,"CRB/ATCAT3/ATMGL",3
"GO:0007166","GO:0007166","cell surface receptor signaling pathway","2/36","67/21895",0.00543422347563542,0.0393075498070962,0.0259317330767164,"NA/ckl10",2
"GO:0071496","GO:0071496","cellular response to external stimulus","3/36","221/21895",0.00566713079157203,0.0396699155410042,0.0261707907522512,"CRB/ATCAT3/ATMGL",3
"GO:2000024","GO:2000024","regulation of leaf development","2/36","87/21895",0.00900749471333049,0.0610820735247724,0.0402966868754259,"AFO/YAB3",2
"GO:0009991","GO:0009991","response to extracellular stimulus","3/36","267/21895",0.00951428636733007,0.0625636406578977,0.0412740971597094,"CRB/ATCAT3/ATMGL",3
"GO:0015976","GO:0015976","carbon utilization","1/36","10/21895",0.0163243181646604,0.104187560050921,0.0687339712196227,"ATBCA1",1
"GO:0006545","GO:0006545","glycine biosynthetic process","1/36","11/21895",0.0179424275796056,0.108152966243734,0.0713500044101276,"AGT",1
"GO:0010275","GO:0010275","NAD(P)H dehydrogenase complex assembly","1/36","11/21895",0.0179424275796056,0.108152966243734,0.0713500044101276,"NDH-O",1
"GO:0048509","GO:0048509","regulation of meristem development","2/36","130/21895",0.0193185831669955,0.111686182928348,0.0736809162175862,"AFO/YAB3",2
"GO:0009092","GO:0009092","homoserine metabolic process","1/36","12/21895",0.0195579490842269,0.111686182928348,0.0736809162175862,"ATMGL",1
"GO:0010093","GO:0010093","specification of floral organ identity","1/36","13/21895",0.0211708866994066,0.112050790579786,0.0739214529170551,"AFO",1
"GO:0015908","GO:0015908","fatty acid transport","1/36","13/21895",0.0211708866994066,0.112050790579786,0.0739214529170551,"ATSPLA2-ALPHA",1
"GO:0051262","GO:0051262","protein tetramerization","1/36","13/21895",0.0211708866994066,0.112050790579786,0.0739214529170551,"ATMGL",1
"GO:0090701","GO:0090701","specification of plant organ identity","1/36","14/21895",0.0227812444399613,0.112814985655721,0.0744256029550231,"AFO",1
"GO:0045087","GO:0045087","innate immune response","3/36","371/21895",0.0228010113707782,0.112814985655721,0.0744256029550231,"NA/ATBCA1/DIR1-like",3
"GO:0005977","GO:0005977","glycogen metabolic process","1/36","15/21895",0.0243890263146543,0.112814985655721,0.0744256029550231,"ADG2",1
"GO:0006112","GO:0006112","energy reserve metabolic process","1/36","15/21895",0.0243890263146543,0.112814985655721,0.0744256029550231,"ADG2",1
"GO:0007623","GO:0007623","circadian rhythm","2/36","149/21895",0.0249148268782954,0.112814985655721,0.0744256029550231,"CRB/CCL",2
"GO:0048511","GO:0048511","rhythmic process","2/36","149/21895",0.0249148268782954,0.112814985655721,0.0744256029550231,"CRB/CCL",2
"GO:0006955","GO:0006955","immune response","3/36","387/21895",0.0254321381618525,0.112814985655721,0.0744256029550231,"NA/ATBCA1/DIR1-like",3
"GO:0010037","GO:0010037","response to carbon dioxide","1/36","16/21895",0.0259942363262029,0.112814985655721,0.0744256029550231,"ATBCA1",1
"GO:2000038","GO:2000038","regulation of stomatal complex development","1/36","16/21895",0.0259942363262029,0.112814985655721,0.0744256029550231,"ATBCA1",1
"GO:0009267","GO:0009267","cellular response to starvation","2/36","161/21895",0.0287500496643073,0.11313820736964,0.0746388367803594,"ATCAT3/ATMGL",2
"GO:0006544","GO:0006544","glycine metabolic process","1/36","18/21895",0.0291969567405523,0.11313820736964,0.0746388367803594,"AGT",1
"GO:0016055","GO:0016055","Wnt signaling pathway","1/36","18/21895",0.0291969567405523,0.11313820736964,0.0746388367803594,"ckl10",1
"GO:0019344","GO:0019344","cysteine biosynthetic process","1/36","18/21895",0.0291969567405523,0.11313820736964,0.0746388367803594,"ATMGL",1
"GO:0198738","GO:0198738","cell-cell signaling by wnt","1/36","18/21895",0.0291969567405523,0.11313820736964,0.0746388367803594,"ckl10",1
"GO:1905114","GO:1905114","cell surface receptor signaling pathway involved in cell-cell signaling","1/36","18/21895",0.0291969567405523,0.11313820736964,0.0746388367803594,"ckl10",1
"GO:0002758","GO:0002758","innate immune response-activating signal transduction","1/36","19/21895",0.0307944751186361,0.117235107030597,0.0773416180264914,"NA",1
"GO:0009645","GO:0009645","response to low light intensity stimulus","1/36","20/21895",0.0323894375841568,0.118936468384064,0.0784640295912332,"Lhca5",1
"GO:0032544","GO:0032544","plastid translation","1/36","20/21895",0.0323894375841568,0.118936468384064,0.0784640295912332,"CRB",1
"GO:0002376","GO:0002376","immune system process","3/36","428/21895",0.032895079806322,0.118936468384064,0.0784640295912332,"NA/ATBCA1/DIR1-like",3
"GO:0031669","GO:0031669","cellular response to nutrient levels","2/36","176/21895",0.0338537174836086,0.118936468384064,0.0784640295912332,"ATCAT3/ATMGL",2
"GO:0002757","GO:0002757","immune response-activating signal transduction","1/36","21/21895",0.0339818481097326,0.118936468384064,0.0784640295912332,"NA",1
"GO:0003002","GO:0003002","regionalization","2/36","179/21895",0.0349142337860143,0.120260138596271,0.07933727309771,"AFO/YAB3",2
