"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015630","GO:0015630","microtubule cytoskeleton","43/376","255/25124",2.10118786671682e-32,2.7105323480647e-30,1.63671475933731e-30,"AtTPX2/ARK3/IQD28/CYCB3;1/NA/CYCB2;3/VETH2/CORD4/CYCB2;4/AtAUR2/RSW7/BUBR1/NA/AtAUR3/CYC2/POK1/POK2/NA/KINESIN-12B/AtMAD2/NA/TRM7/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/CYCB2;2/CYC1/NA/CYC1BAT/MPB2C/NA/NA/EMB3013/NA/NA/ATMAP65-3/ATK3/NA/ATEB1C",43
"GO:0099081","GO:0099081","supramolecular polymer","35/376","184/25124",2.08853780769951e-28,5.38842754386474e-27,3.25372205831082e-27,"NET3A/AtTPX2/ARK3/NA/VETH2/CORD4/AtAUR2/RSW7/BUBR1/NA/AtAUR3/POK1/POK2/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/NA/NA/EMB3013/NA/NA/AtFIM2/ATMAP65-3/ATK3/NA/ATEB1C",35
"GO:0099512","GO:0099512","supramolecular fiber","35/376","184/25124",2.08853780769951e-28,5.38842754386474e-27,3.25372205831082e-27,"NET3A/AtTPX2/ARK3/NA/VETH2/CORD4/AtAUR2/RSW7/BUBR1/NA/AtAUR3/POK1/POK2/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/NA/NA/EMB3013/NA/NA/AtFIM2/ATMAP65-3/ATK3/NA/ATEB1C",35
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","14/376","62/25124",3.37224778002814e-13,4.3501996362363e-12,2.62680353391666e-12,"CYCB3;1/CYCB2;3/CDKB2;2/CYCA1;1/CYCB2;4/CDKB2;1/CYCA2;4/CKS2/CDKB1;2/CYC2/CDC2B/CYCB2;2/CYC1/CYC1BAT",14
"GO:0000794","GO:0000794","condensed nuclear chromosome","11/376","42/25124",2.06063123194306e-11,2.21517857433879e-10,1.3376027295069e-10,"CENP-C/NA/AtAUR2/EMB2795/BUBR1/AtAUR3/NA/3xHMG-box1/3xHMG-box2/AtAUR1/ATCAP-C",11
"GO:0009524","GO:0009524","phragmoplast","9/376","62/25124",3.45085069997005e-07,2.02345336498244e-06,1.22183230525255e-06,"AtTPX2/ATNACK1/POK2/KINESIN-12B/PAKRP2/EMB3013/ATMAP65-3/ANQ1/ATEB1C",9
"GO:0018995","GO:0018995","host cellular component","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0033643","GO:0033643","host cell part","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0033646","GO:0033646","host intracellular part","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0033647","GO:0033647","host intracellular organelle","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0042025","GO:0042025","host cell nucleus","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0043656","GO:0043656","host intracellular region","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0043657","GO:0043657","host cell","10/376","161/25124",0.000164120107318676,0.000641560419518459,0.00038739674454807,"IMPA-6/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYC2/ATIMPALPHA3/CYCB2;2/CYC1/CYC1BAT",10
"GO:0044815","GO:0044815","DNA packaging complex","4/376","25/25124",0.000486928301778981,0.00169766894404023,0.00102511221427154,"EMB2795/NA/ATCAP-C/ATCAP-E1",4
"GO:0010168","GO:0010168","ER body","3/376","12/25124",0.000661690673283204,0.0021886691500906,0.00132159540682745,"ERMO3/NA/ML3",3
"GO:0046658","GO:0046658","anchored component of plasma membrane","9/376","174/25124",0.00128483156107068,0.00404251881410044,0.00244101503258615,"LTPG1/NA/NA/ARPN/AtENODL14/COBL1/LTPG2/PDCB5/NA",9
"GO:0009986","GO:0009986","cell surface","3/376","19/25124",0.00269657048278969,0.00790585436999704,0.00477383291211572,"ABCG11/ACR4/ANNAT2",3
"GO:0031225","GO:0031225","anchored component of membrane","12/376","315/25124",0.00299613562084848,0.00858892211309896,0.00518629323842777,"LTPG1/NA/NA/PDCB4/AtRLP17/ARPN/AtENODL14/COBL1/NA/LTPG2/PDCB5/NA",12
"GO:0009505","GO:0009505","plant-type cell wall","9/376","235/25124",0.00924434352934412,0.0243371492915386,0.0146956266631894,"LTPG1/AtBGAL5/ATPME2/BDG1/NA/AtLtpI-5/IMK2/NA/PAE11",9
"GO:0005938","GO:0005938","cell cortex","6/376","126/25124",0.0118570135397366,0.0299912695416866,0.0181097833217855,"VETH2/NA/TPXL3/ARAC7/ATMAP65-3/BASL",6
"GO:0048046","GO:0048046","apoplast","10/376","301/25124",0.0158158049211767,0.0384950723553169,0.0232446785336063,"CLE20/GDSL1/NA/CLE17/sks5/CLE16/ARPN/NA/ATCAD9/ATSBT1.3",10
