"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","38/336","162/21875",4.20056177922381e-34,1.17195673640344e-31,1.03908633486063e-31,"AtTPX2/ARK3/ATNACK1/NA/CORD4/DRP5A/ZCF125/NA/NA/RSW7/NA/NA/NA/POK1/POK2/NA/KINESIN-12B/NA/ATK5/CORD3/PAKRP2/NA/NA/TPXL3/NA/NA/NA/MPB2C/NA/NA/EMB3013/NA/NA/ATMAP65-3/ATK3/NA/NA/ATEB1C",38
"GO:0003777","GO:0003777","microtubule motor activity","26/336","65/21875",1.54705974708643e-30,1.43876556479038e-28,1.27564575636951e-28,"ARK3/ATNACK1/NA/ZCF125/NA/NA/RSW7/NA/NA/NA/POK1/POK2/NA/KINESIN-12B/NA/ATK5/PAKRP2/NA/NA/NA/NA/NA/NA/ATK3/NA/NA",26
"GO:0019887","GO:0019887","protein kinase regulator activity","13/336","92/21875",1.57773363236266e-09,5.50234604286478e-08,4.87851846848981e-08,"AtTPX2/CYCB3;1/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CKS2/CYC2/TPXL3/CYCB2;2/CYC1/CYC1BAT/NA",13
"GO:0030332","GO:0030332","cyclin binding","4/336","10/21875",1.06738504852937e-05,0.000270727662308812,0.000240033958281723,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","5/336","23/21875",2.22434631161509e-05,0.000413728413960408,0.000366822023318981,"KCS1/KCS8/FDH/KCS19/KCS20",5
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","5/336","23/21875",2.22434631161509e-05,0.000413728413960408,0.000366822023318981,"KCS1/KCS8/FDH/KCS19/KCS20",5
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","5/336","23/21875",2.22434631161509e-05,0.000413728413960408,0.000366822023318981,"KCS1/KCS8/FDH/KCS19/KCS20",5
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","5/336","23/21875",2.22434631161509e-05,0.000413728413960408,0.000366822023318981,"KCS1/KCS8/FDH/KCS19/KCS20",5
"GO:0008353","GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","4/336","28/21875",0.00083654276325024,0.0122839700498325,0.0108912769730641,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","4/336","33/21875",0.00157401927679252,0.0209119703916721,0.0185410792003129,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","4/336","33/21875",0.00157401927679252,0.0209119703916721,0.0185410792003129,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0008289","GO:0008289","lipid binding","11/336","269/21875",0.00311246250612174,0.039471683600362,0.0349965879874932,"HDG2/HDG12/MLP423/LTPG1/LTPG2/NA/PDF2/ATML1/ML3/FL1/HB-7",11
