"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
0,0.253316952469947,0.221,0,0,"Chir04Ox-b23490.2"
0,0.251061104154888,0.24,0,0,"Chir05Ox-b23800.2"
0,0.297555695013699,0.125,0,0,"Chir08Ox-b28480.2"
0,1.2032280485824,0.654,0.001,0,"Chir05Ox-b01300.2"
0,3.27705371347917,0.481,0.001,0,"Chir06Ox-b11410.2"
0,0.59074815901667,0.635,0.001,0,"Chir06Ox-b21480.2"
0,0.388641828284894,0.471,0.001,0,"Chir06Ox-b23300.2"
0,0.318115722816971,0.481,0.001,0,"Chir08Ox-b04810.2"
7.46142007349737e-217,0.331765958730444,0.106,0.001,1.46691518644958e-212,"Chir04Ox-b01680.2"
0,0.526378906376314,0.404,0.002,0,"Chir01Ox-b22260.2"
0,0.803833653046036,0.654,0.002,0,"Chir02Ox-b08470.2"
0,0.795730177718234,0.683,0.002,0,"Chir03Ox-b09370.2"
0,0.54173678748632,0.558,0.002,0,"Chir06Ox-b11510.2"
0,0.811968195415154,0.5,0.002,0,"Chir08Ox-b02160.2"
0,1.66935287521109,0.452,0.003,0,"Chir06Ox-b11430.2"
1.47176987346196e-223,0.894805962942281,0.192,0.003,2.89349957122622e-219,"Chir06Ox-b05920.2"
2.27832076107583e-148,0.471461540985657,0.163,0.003,4.47917861627509e-144,"Chir06Ox-b20940.2"
0,2.87817671577263,0.904,0.004,0,"Chir02Ox-b17620.2"
0,1.81744148980492,0.452,0.004,0,"Chir06Ox-b11990.2"
0,0.734991048404726,0.721,0.005,0,"Chir01Ox-b17020.2"
0,2.30500937979279,0.923,0.005,0,"Chir03Ox-b24280.2"
0,0.519672188929538,0.5,0.005,0,"Chir03Ox-b29700.2"
0,0.964818622778367,0.74,0.005,0,"Chir07Ox-b01400.2"
1.29092513471994e-188,0.844104664627983,0.212,0.005,2.5379588148594e-184,"Chir07Ox-b03170.2"
2.30584819613238e-57,0.315230677560894,0.115,0.005,4.53329755359626e-53,"Chir02Ox-b19480.2"
0,3.85350679550413,0.913,0.006,0,"Chir01Ox-b01210.2"
0,1.74475076417301,0.625,0.006,0,"Chir04Ox-b21420.2"
0,0.259723968782623,0.413,0.006,0,"Chir04Ox-b26400.2"
