"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
4.15448489414737e-202,0.449840997014239,0.155,0.022,8.16771730189374e-198,"Chir07Ox-b02670.2"
4.82613070337345e-147,0.258556139630695,0.164,0.033,9.48817296283221e-143,"Chir05Ox-b06080.2"
2.42722537712746e-105,0.324327718970727,0.143,0.033,4.77192509143259e-101,"Chir07Ox-b14860.2"
0,0.779675319050755,0.24,0.035,0,"Chir08Ox-b24790.2"
7.85092538077322e-74,0.462906934140367,0.13,0.036,1.54349192986002e-69,"Chir03Ox-b00110.2"
0,1.39005720426681,0.378,0.061,0,"Chir02Ox-b15590.2"
5.59143507888911e-203,0.388553803397595,0.269,0.063,1.0992761365096e-198,"Chir07Ox-b03620.2"
2.34530144731796e-205,0.259731123134409,0.274,0.065,4.61086264542711e-201,"Chir02Ox-b13140.2"
1.18902482072443e-162,0.319351406987423,0.289,0.082,2.33762279754422e-158,"Chir08Ox-b22680.2"
1.02593725148382e-235,0.573376752214406,0.34,0.087,2.0169926364172e-231,"Chir02Ox-b16950.2"
1.40652569256684e-189,0.357936795189641,0.33,0.096,2.76522951158641e-185,"Chir02Ox-b20320.2"
1.78804097894041e-303,0.405566543299763,0.407,0.103,3.51528856459684e-299,"Chir02Ox-b10470.2"
0,1.15461190206621,0.596,0.109,0,"Chir05Ox-b28960.2"
0,0.8972649414425,0.451,0.116,0,"Chir04Ox-b00160.2"
0,0.44367108696058,0.458,0.126,0,"Chir04Ox-b02390.2"
0,0.835166110332005,0.56,0.133,0,"Chir05Ox-b15760.2"
2.9457249980146e-242,0.372552680741816,0.444,0.138,5.7912953460967e-238,"Chir01Ox-b15200.2"
1.86657512865316e-224,0.413196810443001,0.446,0.145,3.66968670293212e-220,"Chir07Ox-b24620.2"
0,0.460361833110941,0.53,0.148,0,"Chir08Ox-b19320.2"
4.91027180884652e-278,0.518887846614845,0.494,0.161,9.65359437619226e-274,"Chir06Ox-b16640.2"
0,1.56098102893428,0.663,0.171,0,"Chir08Ox-b29440.2"
0,0.502920372915082,0.594,0.175,0,"Chir01Ox-b26840.2"
0,0.973883206569267,0.69,0.197,0,"Chir01Ox-b19750.2"
5.5417119641666e-228,0.372936970186382,0.52,0.197,1.08950057215515e-223,"Chir01Ox-b43570.2"
2.55876381818912e-171,0.290730555362995,0.52,0.216,5.03052966655981e-167,"Chir03Ox-b13250.2"
1.03870804373395e-260,0.484326914867261,0.587,0.223,2.04210001398095e-256,"Chir03Ox-b16290.2"
0,1.50789222143842,0.666,0.274,0,"Chir04Ox-b02400.2"
4.13944700687847e-280,0.532358690127161,0.681,0.277,8.13815281552307e-276,"Chir04Ox-b15600.2"
0,0.686734809907149,0.715,0.299,0,"Chir04Ox-b11550.2"
3.59146878086072e-196,0.455328625173812,0.618,0.299,7.06082762317219e-192,"Chir06Ox-b28190.2"
0,1.01062152611201,0.713,0.304,0,"Chir01Ox-b21220.2"
2.02492468778584e-180,0.377634028058165,0.615,0.304,3.98100193618697e-176,"Chir04Ox-b27660.2"
3.42657100125277e-188,0.543582191582116,0.641,0.311,6.73663858846295e-184,"Chir06Ox-b04170.2"
3.44686140741841e-186,0.630154892179037,0.67,0.356,6.77652952698459e-182,"Chir01Ox-b29910.2"
7.80936415796055e-146,0.439742376771444,0.7,0.395,1.53532099345504e-141,"Chir01Ox-b04960.2"
0,1.04709380587038,0.965,0.551,0,"Chir04Ox-b10440.2"
2.25414662742567e-271,0.844723796863906,0.944,0.625,4.43165226951887e-267,"Chir06Ox-b11690.2"
