"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir07Ox-b02670.2",4.15448489414737e-202,0.449840997014239,0.155,0.022,8.16771730189374e-198,NA,NA,NA,NA,NA
"Chir05Ox-b06080.2",4.82613070337345e-147,0.258556139630695,0.164,0.033,9.48817296283221e-143,"AT3G28420",NA,NA,"MFJ20.12","biological_process, mitochondrion, molecular_function"
"Chir07Ox-b14860.2",2.42722537712746e-105,0.324327718970727,0.143,0.033,4.77192509143259e-101,"AT4G17980","Yes","NAC","anac071","cell division, cellular response to auxin stimulus, DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to wounding, sequence-specific DNA binding"
"Chir08Ox-b24790.2",0,0.779675319050755,0.24,0.035,0,"AT5G62280",NA,NA,"MMI9.11","cellular response to ethylene stimulus, cellular_component, lipid metabolic process, molecular_function, organelle organization, organic hydroxy compound metabolic process, plant epidermis development, root morphogenesis"
"Chir03Ox-b00110.2",7.85092538077322e-74,0.462906934140367,0.13,0.036,1.54349192986002e-69,"AT3G02000",NA,NA,"ROXY1","anther development, cytoplasm, disulfide oxidoreductase activity, glutathione oxidoreductase activity, negative regulation of DNA-templated transcription, negative regulation of transcription by RNA polymerase II, nucleus, petal development, petal formation, protein binding, protein disulfide isomerase activity, stamen morphogenesis"
"Chir02Ox-b15590.2",0,1.39005720426681,0.378,0.061,0,"AT1G69180","Yes","YABBY","CRC","carpel development, cell fate commitment, DNA-binding transcription factor activity, floral meristem determinacy, leaf development, nectary development, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, style development, transcription cis-regulatory region binding"
"Chir07Ox-b03620.2",5.59143507888911e-203,0.388553803397595,0.269,0.063,1.0992761365096e-198,"AT5G39240",NA,NA,"K3K3.14","mitochondrion, molecular_function, regulation of DNA-templated transcription"
"Chir02Ox-b13140.2",2.34530144731796e-205,0.259731123134409,0.274,0.065,4.61086264542711e-201,"AT1G67050",NA,NA,"F1O19.11","cellular_component, developmental growth, molecular_function, response to auxin"
"Chir08Ox-b22680.2",1.18902482072443e-162,0.319351406987423,0.289,0.082,2.33762279754422e-158,"AT5G60200","Yes","Dof","DOF5.3","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding"
"Chir02Ox-b16950.2",1.02593725148382e-235,0.573376752214406,0.34,0.087,2.0169926364172e-231,NA,NA,NA,NA,NA
"Chir02Ox-b20320.2",1.40652569256684e-189,0.357936795189641,0.33,0.096,2.76522951158641e-185,"AT1G73590",NA,NA,"PIN1","apical part of cell, auxin efflux transmembrane transporter activity, auxin export across the plasma membrane, auxin homeostasis, auxin polar transport, basal plasma membrane, cotyledon development, cotyledon morphogenesis, cytoplasm, embryo development ending in seed dormancy, endoplasmic reticulum, flower development, gravitropism, inflorescence development, leaf formation, leaf shaping, phosphorylation, photomorphogenesis, plant-type cell wall, plasma membrane, plasmodesma, protein binding, root development, shoot system development, xylem and phloem pattern formation"
"Chir02Ox-b10470.2",1.78804097894041e-303,0.405566543299763,0.407,0.103,3.51528856459684e-299,"AT1G65090",NA,NA,"AT1G65090.3","cytoplasm, lipid droplet, nucleus, protein binding, seed development"
"Chir05Ox-b28960.2",0,1.15461190206621,0.596,0.109,0,"AT3G63300",NA,NA,"AT3G63300.1","auxin-activated signaling pathway, chloroplast, leaf vascular tissue pattern formation, nucleus, phloem or xylem histogenesis, phosphatidylinositol binding, post-Golgi vesicle-mediated transport, protein binding, response to auxin, signal transduction, trans-Golgi network"
"Chir04Ox-b00160.2",0,0.8972649414425,0.451,0.116,0,"AT2G21050",NA,NA,"LAX2","amino acid transmembrane transport, amino acid transmembrane transporter activity, cotyledon vascular tissue pattern formation, membrane, plasma membrane, response to nematode, root cap development"
"Chir04Ox-b02390.2",0,0.44367108696058,0.458,0.126,0,"AT2G23180",NA,NA,"CYP96A1","embryo development, extracellular region, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, response to light stimulus, seed development"
"Chir05Ox-b15760.2",0,0.835166110332005,0.56,0.133,0,"AT3G50410","Yes","Dof","DOF3.4","cell wall modification, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of cell cycle, positive regulation of DNA-templated transcription, protein binding, response to auxin, response to salicylic acid, transcription cis-regulatory region binding, zinc ion binding"
"Chir01Ox-b15200.2",2.9457249980146e-242,0.372552680741816,0.444,0.138,5.7912953460967e-238,"AT1G15080",NA,NA,"ATPAP2","abscisic acid-activated signaling pathway, acid phosphatase activity, cytoplasm, phosphatidate phosphatase activity, phospholipid metabolic process"
"Chir07Ox-b24620.2",1.86657512865316e-224,0.413196810443001,0.446,0.145,3.66968670293212e-220,"AT4G27450",NA,NA,"AT4G27450.1","cellular response to hypoxia, plasma membrane, plasmodesma, protein binding, response to hypoxia, response to light intensity"
"Chir08Ox-b19320.2",0,0.460361833110941,0.53,0.148,0,"AT5G57130",NA,NA,"SMXL5","carbohydrate homeostasis, cellular_component, phloem transport"
"Chir06Ox-b16640.2",4.91027180884652e-278,0.518887846614845,0.494,0.161,9.65359437619226e-274,"AT5G23100",NA,NA,"MYJ24.9","hydrotropism, meristem initiation, molecular_function, nucleus, phyllome development, plant organ morphogenesis, seed development, shoot system morphogenesis, tissue development, xylem and phloem pattern formation, xylem development"
