"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","37/677","125/21895",3.00817443613004e-26,3.31911343498474e-23,2.84530699088034e-23,"c-NAD-MDH1/SDH6/NA/ATCYTC-A/APL2/SDH5/NA/IDH-II/NA/NA/ATCS/SDH8/SDH4/FUM1/NA/AtUGP1/IDH-VI/NA/NA/SDH7/NA/NA/SDH3-2/NA/AtCIB22/IDH-I/NA/IDH-V/NA/NA/RISP/AtVDAC-3/SDH2-2/c-NAD-MDH2/SDHAF2/NA/SDH1-1",37
"GO:0045333","GO:0045333","cellular respiration","35/677","110/21895",4.26347262040429e-26,3.31911343498474e-23,2.84530699088034e-23,"c-NAD-MDH1/SDH6/NA/ATCYTC-A/SDH5/NA/IDH-II/NA/NA/ATCS/SDH8/SDH4/FUM1/NA/IDH-VI/NA/NA/SDH7/NA/NA/SDH3-2/NA/AtCIB22/IDH-I/NA/IDH-V/NA/NA/RISP/AtVDAC-3/SDH2-2/c-NAD-MDH2/SDHAF2/NA/SDH1-1",35
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","56/677","351/21895",3.08752240212954e-24,1.60242412670523e-21,1.37367663364921e-21,"c-NAD-MDH1/SDH6/iPGAM1/NA/ATCYTC-A/APL2/SDH5/ATPDI6/NA/PGK/AtFBA3/NA/IDH-II/NA/ATFD3/ENO2/NA/ATCS/SDH8/SDH4/FUM1/NA/NA/AtUGP1/GAPC/IDH-VI/NA/NA/SDH7/NA/AtFBA8/NA/ATCTIMC/NA/PPD1/SDH3-2/NA/AtCIB22/IDH-I/NA/IDH-V/NA/NA/NA/NA/TRA2/RISP/ATP5/AtVDAC-3/ATCBR/SDH2-2/PGD3/c-NAD-MDH2/SDHAF2/NA/SDH1-1",56
"GO:0009060","GO:0009060","aerobic respiration","28/677","76/21895",3.7988748808778e-23,1.47871204738169e-20,1.26762456551396e-20,"c-NAD-MDH1/SDH6/NA/ATCYTC-A/SDH5/NA/IDH-II/NA/ATCS/SDH8/SDH4/FUM1/IDH-VI/NA/SDH7/NA/SDH3-2/NA/IDH-I/NA/IDH-V/NA/NA/AtVDAC-3/SDH2-2/c-NAD-MDH2/SDHAF2/SDH1-1",28
"GO:0046034","GO:0046034","ATP metabolic process","32/677","117/21895",1.07405563241653e-21,3.34460923934508e-19,2.86716324611403e-19,"iPGAM1/NA/ATCYTC-A/NA/NA/PGK/AtFBA3/ATP3/ENO2/NA/GAPC/NA/NA/ATPQ/NA/AtFBA8/NA/ATCTIMC/NA/NA/SDH3-2/NA/AtCIB22/NA/NA/NA/RISP/ATP5/SDH2-2/NA/SDHAF2/SDH1-1",32
"GO:0046686","GO:0046686","response to cadmium ion","48/677","319/21895",7.96631153746042e-20,2.06725784397098e-17,1.77215491745611e-17,"c-NAD-MDH1/iPGAM1/AlaAT1/ATCAT3/PGM3/APT1/MSA1/THFS/AtCRT1a/MDAR6/TPX1/ATXYL1/ATPDI6/ATGSTU19/UBC13A/AtFBA3/NA/PICC/ENO2/ATCS/ATPDI11/GAPC/ATPRXIIF/ATSERAT2;2/ATGSKB6/GABA-T/ALDH2/AAE3/ATMDAR1/AtFBA8/NA/ATCTIMC/ATGPX6/ATFSD1/AAT3/PCK1/GDH2/NA/NA/CLT3/TRA2/AtGGCT2;1/DES1/PGD3/BIP/ADK1/PSL5/TPPJ",48
"GO:0006119","GO:0006119","oxidative phosphorylation","19/677","42/21895",3.69761955375599e-18,8.22456235028296e-16,7.05049863783848e-16,"NA/ATCYTC-A/NA/PGK/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/NA/RISP/ATP5/SDH2-2/SDHAF2/SDH1-1",19
"GO:0006099","GO:0006099","tricarboxylic acid cycle","19/677","47/21895",4.99303398338655e-17,9.71769239016607e-15,8.33048301438703e-15,"c-NAD-MDH1/SDH6/SDH5/IDH-II/NA/ATCS/SDH8/SDH4/FUM1/IDH-VI/SDH7/SDH3-2/IDH-I/IDH-V/NA/SDH2-2/c-NAD-MDH2/SDHAF2/SDH1-1",19
"GO:0010038","GO:0010038","response to metal ion","52/677","438/21895",8.35638243910931e-17,1.44565416196591e-14,1.2392857231334e-14,"c-NAD-MDH1/AtSOD1/iPGAM1/AlaAT1/ATCAT3/ATPDI5/PGM3/APT1/MSA1/THFS/AtCRT1a/MDAR6/TPX1/ATXYL1/ATPDI6/ATGSTU19/UBC13A/AtFBA3/NA/PICC/ENO2/ATCS/ATPDI11/GAPC/ATPRXIIF/ATSERAT2;2/ATGSKB6/GABA-T/ALDH2/AAE3/ATCML9/ATMDAR1/AtFBA8/NA/ATCTIMC/ATGPX6/ATYSL1/ATFSD1/AAT3/PCK1/GDH2/NA/NA/CLT3/TRA2/AtGGCT2;1/DES1/PGD3/BIP/ADK1/PSL5/TPPJ",52
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","16/677","35/21895",1.37824264706551e-15,2.145923801481e-13,1.83959123839902e-13,"NA/ATCYTC-A/NA/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/RISP/SDH2-2/SDHAF2/SDH1-1",16
"GO:0022904","GO:0022904","respiratory electron transport chain","17/677","42/21895",2.19382010349791e-15,3.10525263740568e-13,2.66197501553623e-13,"NA/ATCYTC-A/NA/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/RISP/SDH2-2/SDHAF2/NA/SDH1-1",17
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","16/677","36/21895",2.4103778294564e-15,3.12746523371968e-13,2.68101674364098e-13,"NA/ATCYTC-A/NA/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/RISP/SDH2-2/SDHAF2/SDH1-1",16
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","44/677","365/21895",1.2253691057955e-14,1.46761515209507e-12,1.25811176206372e-12,"NSH2/iPGAM1/IAR4/APT1/GLCNA.UT1/NA/ATNUDT1/PGK/AtFBA3/NA/NA/ATP3/ENO2/ADK/AtPRS4/AtUGP1/GAPC/NA/PYD1/GFAT/NA/UXS5/DUT1/ATPQ/AtFBA8/NA/ATCTIMC/AGK2/ATUXS2/CTPS3/NA/APT3/NA/NA/NA/ATP5/RGP5/GSDA/NA/NA/MAB1/NA/ADK1/BETA-UP",44
"GO:1902600","GO:1902600","proton transmembrane transport","20/677","80/21895",3.0087515073949e-13,3.34616149786704e-11,2.86849391832837e-11,"ATVHA-C/ATVHA-C2/NA/ATSUC1/NA/AHA1/NA/ATP3/NA/NA/ATPQ/NA/emb2448/NA/NA/AHA2/NA/NA/ATP5/NA",20
"GO:0072521","GO:0072521","purine-containing compound metabolic process","31/677","224/21895",2.91164926376838e-12,3.02229193579158e-10,2.59085702909355e-10,"NSH2/iPGAM1/IAR4/APT1/NA/ATNUDT1/PGK/AtFBA3/NA/ATP3/ENO2/ADK/AtPRS4/GAPC/NA/NA/ATPQ/AtFBA8/NA/ATCTIMC/APT3/NA/NA/NA/ATP5/GSDA/NA/NA/MAB1/NA/ADK1",31
"GO:0022900","GO:0022900","electron transport chain","21/677","101/21895",3.68305863282019e-12,3.58407643206315e-10,3.07244628053684e-10,"NA/ATCYTC-A/ATPDI6/NA/NA/ATFD3/NA/NA/NA/NA/NA/SDH3-2/NA/AtCIB22/NA/RISP/ATCBR/SDH2-2/SDHAF2/NA/SDH1-1",21
"GO:0006163","GO:0006163","purine nucleotide metabolic process","29/677","200/21895",4.54572607035967e-12,4.16335028914706e-10,3.56902827072202e-10,"iPGAM1/IAR4/APT1/NA/ATNUDT1/PGK/AtFBA3/NA/ATP3/ENO2/ADK/AtPRS4/GAPC/NA/NA/ATPQ/AtFBA8/NA/ATCTIMC/APT3/NA/NA/NA/ATP5/NA/NA/MAB1/NA/ADK1",29
"GO:0009117","GO:0009117","nucleotide metabolic process","33/677","263/21895",8.93939459380683e-12,7.7325763236429e-10,6.62874406137255e-10,"iPGAM1/IAR4/APT1/NA/ATNUDT1/PGK/AtFBA3/NA/NA/ATP3/ENO2/ADK/AtPRS4/GAPC/NA/NA/DUT1/ATPQ/AtFBA8/NA/ATCTIMC/AGK2/CTPS3/APT3/NA/NA/NA/ATP5/NA/NA/MAB1/NA/ADK1",33
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","33/677","267/21895",1.35312034193093e-11,1.10884651178235e-09,9.50557669566992e-10,"iPGAM1/IAR4/APT1/NA/ATNUDT1/PGK/AtFBA3/NA/NA/ATP3/ENO2/ADK/AtPRS4/GAPC/NA/NA/DUT1/ATPQ/AtFBA8/NA/ATCTIMC/AGK2/CTPS3/APT3/NA/NA/NA/ATP5/NA/NA/MAB1/NA/ADK1",33
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","24/677","182/21895",2.28184280329364e-09,1.7764146223641e-07,1.52282982872439e-07,"iPGAM1/IAR4/APT1/NA/PGK/AtFBA3/NA/ATP3/ENO2/GAPC/NA/NA/ATPQ/AtFBA8/NA/ATCTIMC/APT3/NA/NA/NA/ATP5/NA/MAB1/NA",24
"GO:0019693","GO:0019693","ribose phosphate metabolic process","26/677","217/21895",3.93108323712167e-09,2.91461742866592e-07,2.4985531552232e-07,"iPGAM1/IAR4/APT1/NA/PGK/AtFBA3/NA/ATP3/ENO2/AtPRS4/GAPC/NA/NA/ATPQ/AtFBA8/NA/ATCTIMC/CTPS3/APT3/NA/NA/NA/ATP5/NA/MAB1/NA",26
"GO:0034220","GO:0034220","ion transmembrane transport","33/677","338/21895",6.42934271484927e-09,4.55022118500923e-07,3.90067299637745e-07,"ATVHA-C/ATVHA-C2/NA/ATSUC1/AST56/NA/AHA1/NA/ATP3/ATVDAC1/NA/NA/ATPQ/NA/emb2448/MPC3/NA/NA/AHA2/MCA1/NA/NA/ATP5/MPT3/AtVDAC-3/NA/AtMPC1/AtCOPT5/APE2/NA/AAP6/ATGPT1/ATVDAC2",33
"GO:0009259","GO:0009259","ribonucleotide metabolic process","25/677","208/21895",7.33609787054879e-09,4.96621929758455e-07,4.25728700222236e-07,"iPGAM1/IAR4/APT1/NA/PGK/AtFBA3/NA/ATP3/ENO2/GAPC/NA/NA/ATPQ/AtFBA8/NA/ATCTIMC/CTPS3/APT3/NA/NA/NA/ATP5/NA/MAB1/NA",25
"GO:0009853","GO:0009853","photorespiration","12/677","46/21895",1.0293322816401e-08,6.67779317714017e-07,5.72453216280548e-07,"NA/NA/NA/NA/NA/NA/AtCAL2/NA/NA/AtCIB22/NA/GAMMA",12
"GO:0043094","GO:0043094","cellular metabolic compound salvage","15/677","81/21895",2.37749409647947e-08,1.48070332328742e-06,1.26933158498357e-06,"APT1/NA/NA/NA/NA/NA/NA/AtCAL2/NA/ARD1/NA/APT3/AtCIB22/NA/GAMMA",15
"GO:0006754","GO:0006754","ATP biosynthetic process","9/677","26/21895",4.77832251227067e-08,2.65708862557337e-06,2.2777868216388e-06,"NA/ATP3/NA/NA/ATPQ/NA/NA/ATP5/NA",9
"GO:0015985","GO:0015985","energy coupled proton transport, down electrochemical gradient","9/677","26/21895",4.77832251227067e-08,2.65708862557337e-06,2.2777868216388e-06,"NA/ATP3/NA/NA/ATPQ/NA/NA/ATP5/NA",9
