"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016192","GO:0016192","vesicle-mediated transport","107/1198","499/21895",3.28188990831527e-35,6.02883176157515e-32,4.85028782239435e-32,"ABCI18/ADK1/VPS2.3/AT/ECH/ADL6/ATSEC22/NA/KEU/PICALM1b/LOLITA/atgos11/ATSYP51/CHMP1B/FREE1/ARF1/ATVTI12/NA/NA/NA/ATSAR1/ADL3/AP1M2/NA/CKL2/CHMP1A/NA/TRAPPC2/ATSEC12/VPS2.1/AP19/VPS35A/ATSLY1/NA/AP4S/GC1/CLC1/NA/ATRER1B/ATRER1C1/ARF3/NA/ATVAMP722/ATMEMB11/PRA1.B4/CLC2/AT-GDI1/ATGOS12/ATI1/ARF1A1C/TRAPPC6/NA/p24beta2/ATSYP71/VPS60.1/AtCHC1/NA/ATFP8/GOM8/NA/AtCASP/NA/ERD2B/ARA-3/ATRAB8/ATVAMP727/ARA-6/PRA1.B1/ALPHA-SNAP2/NA/ASAR1/NSF/NA/FL3/ATVAMP724/AMSH3/AT-RAB2/ARA-7/AP4M/SNF7.1/NA/CAP1/NA/NA/AUXILIN-LIKE4/ATRAB-E1D/ATEXO70A1/NA/ATSNX1/ACT7/NA/RIC4/NA/NA/PICALM3/ATVTI11/HLB1/NA/FL1/AP2M/ATARLB1/AGD5/TRAPPC3/ckl12/TRAPPC5/ATGP1/AtRabE1b",107
"GO:0009832","GO:0009832","plant-type cell wall biogenesis","48/1198","188/21895",1.05092770583726e-19,6.43518065207684e-17,5.17720175086146e-17,"AT/ANAC007/AtKDO8PS/ATGUT1/HSR8/AtGXMT1/ANAC026/IRX11/REB1/AtMYB20/ATMAP70-1/UMAMIT5/FLA7/ANAC037/CSI1/ATVAMP722/RWA3/GEM1/PXC1/TBL33/RWA2/ABI8/GOM8/ATKINESIN-13A/AtMSR1/GAUT8/STL2/AtSAC9/GAUT1/emb2448/AO1/ATCESA8/ANAC076/IRX14/ATFLA11/ATEXO70A1/ATCESA3/RIC4/AtMYB43/ATCESA7/CESA4/RWA1/FRA1/AtFLA12/COB/ARAC10/CESA6/I14H",48
"GO:0071669","GO:0071669","plant-type cell wall organization or biogenesis","61/1198","303/21895",4.83238620715487e-19,1.7754186925087e-16,1.42835162838851e-16,"AT/ANAC007/AtKDO8PS/ATGUT1/HSR8/AtGXMT1/ANAC026/IRX11/REB1/AtMYB20/ATMAP70-1/UMAMIT5/FLA7/ANAC037/FLY2/CSI1/ATVAMP722/TBL37/RWA3/GEM1/PXC1/ATEXP4/TBL33/ROPGAP3/RWA2/ABI8/ROPGAP4/GOM8/ATKINESIN-13A/AtMSR1/GAUT8/UGD2/MIDD1/STL2/AtSAC9/GAUT1/emb2448/AO1/ATCESA8/ANAC076/IRX14/ATEXP20/ATFLA11/ATEXO70A1/ATCESA3/UGD3/RIC4/AtMYB43/ATCESA7/CESA4/RWA1/FRA1/GDPDL4/AtXTH22/AtFLA12/COB/ARAC10/CESA6/AtMAN7/DGL1/I14H",61
"GO:0007010","GO:0007010","cytoskeleton organization","53/1198","304/21895",5.42131533471244e-14,1.42270803855239e-11,1.1445904857047e-11,"AtWLIM1/ARP3/TCS1/ATMAP70-2/MAP65-8/NA/ATMAP70-1/ARAC5/ASK1/ADF5/ARAC1/PFN1/CSI1/AUG2/GEM1/WLIM2a/BPP1/ATVLN2/ARAC9/ABIL1/ATCDC48/ACT11/GOM8/ATKINESIN-13A/AtTCTP1/NA/ATNEK5/WDL3/ADF1/MIDD1/TON1B/WLIM2b/SCAB3/TUB9/AtPRF2/ATVLN4/ATCAP1/ACT7/TUB6/RIC4/ATSRA1/EMB40/TUB8/ARAC2/FRA1/ATGH9A1/ATK3/PFN3/ADF3/ADF4/ATEB1/ARAC10/CESA6",53
"GO:0097435","GO:0097435","supramolecular fiber organization","37/1198","172/21895",5.32690340478132e-13,1.08728017273148e-10,8.74733611732511e-11,"AtWLIM1/ARP3/TCS1/NA/ARAC5/ADF5/ARAC1/PFN1/CSI1/AUG2/GEM1/WLIM2a/BPP1/ATVLN2/ARAC9/ABIL1/ATKINESIN-13A/AtTCTP1/NA/ATNEK5/WDL3/ADF1/MIDD1/WLIM2b/SCAB3/AtPRF2/ATVLN4/ATCAP1/RIC4/ATSRA1/ARAC2/ATGH9A1/PFN3/ADF3/ADF4/ARAC10/CESA6",37
"GO:0046686","GO:0046686","response to cadmium ion","50/1198","319/21895",1.69382103717063e-11,2.72396232417108e-09,2.19146956028777e-09,"TOR2/NA/AlaAT1/PGM3/ARF1/ATELF5A-2/APT1/ATS9/ANN1/AtMAGL3/AtCRT1a/cICDH/DIN9/NA/ASK1/ADH/UBC13A/AtHsp70-14/ARF3/ATUBA1/PICC/FBA6/LEA26/ATPDI11/NA/iPGAM2/ATCDC48/ATSERAT2;2/DDI1/AtTCTP1/ATGSKB6/ALDH2/AtFBA8/NA/AtPPa4/CCH/SHM4/NA/TUB9/AtHsp90-7/RPT2a/CCoAOMT1/AtPCBER1/AGT2/NA/ATCIMS/BIP/ATOXS3/ADF3/AtTudor2",50
"GO:0010038","GO:0010038","response to metal ion","61/1198","438/21895",1.77939836091742e-11,2.72396232417108e-09,2.19146956028777e-09,"TOR2/NA/PAB1/AlaAT1/PGM3/ARF1/ATELF5A-2/APT1/ATS9/ANN1/AtMAGL3/AtCRT1a/HMA5/cICDH/DIN9/NA/ASK1/ADH/UBC13A/AtHsp70-14/CSI1/ARF3/AR781/CXIP4/ATUBA1/PICC/FBA6/LEA26/ATPDI11/NA/iPGAM2/ATCDC48/ATSERAT2;2/DDI1/AtTCTP1/ATGSKB6/ALDH2/IQD20/AtFBA8/NA/AtPPa4/ATFER3/CCH/SHM4/NA/TUB9/AtHsp90-7/RPT2a/PBA1/CCoAOMT1/AtPCBER1/ATGRP8/AGT2/PSE1/NA/ZIF1/ATCIMS/BIP/ATOXS3/ADF3/AtTudor2",61
"GO:0009226","GO:0009226","nucleotide-sugar biosynthetic process","17/1198","42/21895",2.18677206391511e-11,3.09007713954774e-09,2.48601455687192e-09,"AXS2/HSR8/GLCNA.UT1/ATMUM4/NRS/ER/DIN9/AXS1/CYT1/ATPMM/ATRHM3/UGD2/UXS5/GMD2/ATUXS2/UGD3/UDG4/ATUXS3",17
"GO:0010089","GO:0010089","xylem development","17/1198","43/21895",3.43282189928846e-11,4.50435273499493e-09,3.62382101248195e-09,"ANAC007/ATELF5A-1/ANAC026/IRX11/FST/ANAC030/AHP6/ANAC037/ATKINESIN-13A/AO1/ATHB-8/ANAC076/ATEXO70A1/ACL5/IFL/PXY/ANAC104",17
"GO:0009225","GO:0009225","nucleotide-sugar metabolic process","18/1198","52/21895",1.23160197483358e-10,1.50830188517952e-08,1.21345205099392e-08,"AXS2/HSR8/GLCNA.UT1/ATMUM4/NRS/ER/DIN9/AXS1/CYT1/ATPMM/AtUGP1/ATRHM3/UGD2/UXS5/GMD2/ATUXS2/UGD3/UDG4/ATUXS3",18
