"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005856","GO:0005856","cytoskeleton","55/433","348/25124",1.94161792353987e-36,3.66965787549035e-34,2.06424642397397e-34,"NET3A/AtTPX2/TOR2/IQD28/NA/IQD32/CYCB2;3/CORD4/NA/CYCB2;4/SKU6/CYCB2;1/AtAUR2/RSW7/TBB7/KIS/BUBR1/EDE1/ATN/CYC2/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/TON1B/TRM7/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/ARAC7/AtAUR1/CYCB2;2/ARAC6/CYC1/NA/iqd2/CYC1BAT/MPB2C/ACT7/NA/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/NA/TUB2/ATEB1C",55
"GO:0099081","GO:0099081","supramolecular polymer","37/433","184/25124",1.12653173072343e-28,4.25828994213458e-27,2.39536220638035e-27,"NET3A/AtTPX2/NA/CORD4/NA/SKU6/AtAUR2/RSW7/TBB7/BUBR1/EDE1/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/iqd2/NA/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/NA/TUB2/ATEB1C",37
"GO:0099512","GO:0099512","supramolecular fiber","37/433","184/25124",1.12653173072343e-28,4.25828994213458e-27,2.39536220638035e-27,"NET3A/AtTPX2/NA/CORD4/NA/SKU6/AtAUR2/RSW7/TBB7/BUBR1/EDE1/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/AtAUR1/NA/iqd2/NA/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/NA/TUB2/ATEB1C",37
"GO:0009534","GO:0009534","chloroplast thylakoid","50/433","413/25124",1.38436105953475e-27,4.36073733753446e-26,2.45299064935105e-26,"EMB2784/CP24/DRT112/PYG7/PSAK/PSAH-2/PSAG/PRPS6/RBCS1A/PSBY/PSRP3/1/NA/NA/NDH-O/CS17/LHCB2/NA/YCF37/BASS2/PSBW/EMB3113/NA/CAO/ATF1/PSAH-1/GHS1/LHCB2/PSRP2/CP33/PSRP5/ACSF/HEMG1/PSAD-1/ATPD/LHCB5/ATRAB8D/ATRBP31/CHLM/PORB/FKBP16-2/LHCB4.1/NA/NA/NA/ATCPN21/ADL1/AtCEST/LIL3:2/PSAN/MSP-1",50
"GO:0034357","GO:0034357","photosynthetic membrane","43/433","364/25124",2.10340801899465e-23,3.75362414352784e-22,2.11147891114627e-22,"EMB2784/PSAO/CP24/DRT112/PYG7/PSAK/PSAH-2/PSAG/PRPS6/RBCS1A/PSBY/PSRP3/1/NA/NA/NDH-O/LHCB2/YCF37/PSBW/EMB3113/NA/CAO/PSAH-1/LHCB2/PSRP2/CP33/PSRP5/ACSF/PSAD-1/ATPD/LHCB5/ATRAB8D/ATRBP31/CHLM/PORB/FKBP16-2/LHCB4.1/NA/ATCPN21/ADL1/AtCEST/LIL3:2/PSAN/MSP-1",43
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","12/433","62/25124",5.8540369689095e-10,5.82322624802051e-09,3.27566611556709e-09,"CYCB2;3/CDKB2;2/CYCB2;4/CDKB2;1/CYCB2;1/CKS2/CDKB1;2/CYC2/CYCB2;2/CYC1/CYC1BAT/CYCD3;2",12
"GO:0009524","GO:0009524","phragmoplast","11/433","62/25124",8.10315164495540e-09,6.12598264358628e-08,3.44597185743366e-08,"AtTPX2/ATSYP111/ATNACK1/SKU6/POK2/BUB3.1/KINESIN-12B/PAKRP2/ATMAP65-3/ANQ1/ATEB1C",11
"GO:0042644","GO:0042644","chloroplast nucleoid","9/433","43/25124",4.14452345358215e-08,2.79755333116795e-07,1.57367243914209e-07,"PTAC6/FLN2/HMR/FLN1/ATRAB8D/HCF145/FSD3/PRPL29/AtERG1",9
"GO:0010287","GO:0010287","plastoglobule","10/433","67/25124",2.15194880033968e-07,1.23247976746727e-06,6.93291320045639e-07,"CP24/PSAH-2/LHCB2/LHCB2/PSAD-1/ATPD/LHCB5/LHCB4.1/NA/MSP-1",10
"GO:0009295","GO:0009295","nucleoid","9/433","56/25124",4.56768783968556e-07,2.4665514334302e-06,1.38747811070148e-06,"PTAC6/FLN2/HMR/FLN1/ATRAB8D/HCF145/FSD3/PRPL29/AtERG1",9
