"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015630","GO:0015630","microtubule cytoskeleton","75/1130","255/25124",2.69736145842724e-40,8.52366220863007e-38,4.71328423262023e-38,"AtTPX2/ARK3/IQD28/CYCB3;1/IQD7/NA/IQD32/CYCB2;3/VETH2/CORD4/ATMAP70-2/NA/ATMAP70-1/CYCB2;4/IQD29/SKU6/NA/CYCB2;1/Kin7.2/AtAUR2/IQD6/RSW7/TBB7/BUBR1/GEM1/NA/EDE1/AtAUR3/SP1L3/ATN/CYC2/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/CDC2/TON1B/TRM7/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/MAP65-2/WDL5/AtAUR1/ARAC3/CYCB2;2/ATPLDDELTA/CYC1/Kin7.4/NA/iqd2/CYC1BAT/MPB2C/TUB6/NA/NA/EMB40/EMB3013/TUA5/NA/NA/ADL1/TUB4/ATMAP65-3/ATK3/NA/NA/TUB2/ATEB1C",75
"GO:0005730","GO:0005730","nucleolus","100/1130","486/25124",2.15683756532178e-38,3.40780335320841e-36,1.88439492549166e-36,"HAP1/MAC3A/AtSR45/ARP4/PCP2/ARAC4/NA/NUP54/NA/ATU2AF35A/RH5/ARP1/NA/HON5/ATNUC-L1/HTA10/Y14/NOP56/NA/CRWN3/AtTPR/NA/EMB2296/NA/ACG1/EDA27/At-RSZ22a/AGO4/HIS4/H1.2/MEE21/RPL24A/ARRS1/H2A.Z/SNZ/AtPEIP1/EMB2777/NA/ATSAP18/NSN1/SmD1a/NA/SAC56/CMR1/RACK1C/MOS4/NA/EIF4A-III/CDC73/EBP2/NA/NA/NA/ATEBP1/AtFBA8/RPL24/AtCBF5/PP2A-4/NA/LSM6A/ATRPS13A/MEE49/AtSAM2/NA/SmD1b/ATFKBP53/NA/NA/RUXF/AtAUR1/ARAC3/AT-HSC70-1/RPL4/HD2C/NA/NA/NA/NA/ACT7/HIT4/UAP56a/NA/NA/DOT2/ATTIP49A/ATHD2/NA/PDP3/ATPHB3/NA/GBPL3/ATFBR1/ATHTA1/NA/h2a.w.6/PPAN/TUB2/NA/DGL1/ATEB1C",100
"GO:0005856","GO:0005856","cytoskeleton","84/1130","348/25124",8.07863524168665e-38,8.50949578790994e-36,4.70545070217538e-36,"NET3A/AtTPX2/TOR2/ARK3/IQD28/CYCB3;1/IQD7/ATMYA1/NA/IQD32/ARAC4/CYCB2;3/VETH2/CORD4/ATMAP70-2/NA/ATMAP70-1/CYCB2;4/IQD29/SKU6/NA/CYCB2;1/Kin7.2/AtAUR2/IQD6/RSW7/TBB7/BUBR1/GEM1/NA/EDE1/AtAUR3/SP1L3/ATN/CYC2/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/CDC2/TON1B/TRM7/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/MAP65-2/ARAC7/WDL5/AtAUR1/ADF9/ARAC3/CYCB2;2/ATPLDDELTA/ARAC6/CYC1/Kin7.4/NA/iqd2/CYC1BAT/MPB2C/ACT7/TUB6/NA/NA/EMB40/EMB3013/TUA5/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/ATK3/NA/NA/TUB2/ATEB1C",84
"GO:0005874","GO:0005874","microtubule","55/1130","169/25124",2.22784659832685e-32,1.46458712559062e-30,8.0986496618269e-31,"AtTPX2/ARK3/IQD7/NA/VETH2/CORD4/ATMAP70-2/ATMAP70-1/SKU6/NA/Kin7.2/AtAUR2/IQD6/RSW7/TBB7/BUBR1/GEM1/NA/EDE1/AtAUR3/SP1L3/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/CDC2/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/MAP65-2/WDL5/AtAUR1/Kin7.4/NA/iqd2/TUB6/NA/NA/EMB3013/TUA5/NA/NA/ADL1/TUB4/ATMAP65-3/ATK3/NA/TUB2/ATEB1C",55
"GO:0099081","GO:0099081","supramolecular polymer","57/1130","184/25124",3.24433856934632e-32,1.46458712559062e-30,8.0986496618269e-31,"NET3A/AtTPX2/ARK3/IQD7/NA/VETH2/CORD4/ATMAP70-2/ATMAP70-1/SKU6/NA/Kin7.2/AtAUR2/IQD6/RSW7/TBB7/BUBR1/GEM1/NA/EDE1/AtAUR3/SP1L3/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/CDC2/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/MAP65-2/WDL5/AtAUR1/Kin7.4/NA/iqd2/TUB6/NA/NA/EMB3013/TUA5/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/ATK3/NA/TUB2/ATEB1C",57
"GO:0099512","GO:0099512","supramolecular fiber","57/1130","184/25124",3.24433856934632e-32,1.46458712559062e-30,8.0986496618269e-31,"NET3A/AtTPX2/ARK3/IQD7/NA/VETH2/CORD4/ATMAP70-2/ATMAP70-1/SKU6/NA/Kin7.2/AtAUR2/IQD6/RSW7/TBB7/BUBR1/GEM1/NA/EDE1/AtAUR3/SP1L3/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/CDC2/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/MAP65-2/WDL5/AtAUR1/Kin7.4/NA/iqd2/TUB6/NA/NA/EMB3013/TUA5/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/ATK3/NA/TUB2/ATEB1C",57
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","57/1130","184/25124",3.24433856934632e-32,1.46458712559062e-30,8.0986496618269e-31,"NET3A/AtTPX2/ARK3/IQD7/NA/VETH2/CORD4/ATMAP70-2/ATMAP70-1/SKU6/NA/Kin7.2/AtAUR2/IQD6/RSW7/TBB7/BUBR1/GEM1/NA/EDE1/AtAUR3/SP1L3/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/NA/CDC2/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/MAP65-2/WDL5/AtAUR1/Kin7.4/NA/iqd2/TUB6/NA/NA/EMB3013/TUA5/NA/NA/ADL1/TUB4/AtFIM2/ATMAP65-3/ATK3/NA/TUB2/ATEB1C",57
"GO:0099080","GO:0099080","supramolecular complex","69/1130","290/25124",8.2132461899543e-31,3.24423224503195e-29,1.79394587833212e-29,"NET3A/AtTPX2/ARK3/CENP-C/CAF1h/IQD7/NA/LSM3A/VETH2/CORD4/ATMAP70-2/ATRBP47A/ATMAP70-1/NA/SKU6/NA/NA/Kin7.2/AtAUR2/IQD6/RSW7/TBB7/BUBR1/GEM1/NA/EDE1/AtAUR3/SP1L3/POK1/POK2/BUB3.1/NA/KINESIN-12B/AtMAD2/MER3/NA/SPC25/CDC2/LSM6A/ATRH8/ATK5/CORD3/PAKRP2/NA/TPXL3/NA/MAP65-2/WDL5/AtAUR1/Kin7.4/NA/iqd2/NA/TUB6/NA/NA/EMB3013/TUA5/NA/NA/emb1644/ADL1/TUB4/AtFIM2/ATMAP65-3/ATK3/NA/TUB2/ATEB1C",69
"GO:0005840","GO:0005840","ribosome","67/1130","390/25124",2.12830746360699e-21,7.47272398333122e-20,4.13215250244165e-20,"KCS1/RPS15A/NA/TIF3H1/PAB1/NA/NA/NA/TOM20-2/NA/NFD3/NA/ARP1/PBG1/NA/NA/NA/AP40/RPL7B/PAA2/NA/EMB2296/NA/PGY1/RPL24A/NA/NA/NA/UBI6/NA/NA/NA/SAC56/NA/ATGSKB6/RACK1C/NA/RPL36aA/NA/NA/NA/NA/NA/RPL24/NA/RPL23A2/NA/ARS27A/UBQ5/NA/ATRPS13A/NA/rps15ae/NA/NA/NA/AT-HSC70-1/RPL4/ATRGP2/NA/NA/RPS11-BETA/NA/Cpn60beta3/NA/NA/NA",67
"GO:0022626","GO:0022626","cytosolic ribosome","58/1130","320/25124",7.73488115892284e-20,2.44422244621962e-18,1.35156870776968e-18,"KCS1/RPS15A/PAB1/NA/NA/TOM20-2/NA/NA/ARP1/PBG1/NA/NA/AP40/RPL7B/PAA2/NA/EMB2296/NA/PGY1/RPL24A/NA/NA/NA/UBI6/NA/NA/SAC56/NA/ATGSKB6/RACK1C/RPL36aA/NA/NA/NA/NA/NA/RPL24/NA/RPL23A2/NA/ARS27A/UBQ5/NA/ATRPS13A/NA/rps15ae/NA/NA/NA/AT-HSC70-1/RPL4/ATRGP2/NA/NA/RPS11-BETA/Cpn60beta3/NA/NA",58
"GO:0044391","GO:0044391","ribosomal subunit","55/1130","307/25124",1.22587593139418e-18,3.52160722109599e-17,1.94732444604242e-17,"RPS15A/NA/NA/NA/NA/NFD3/NA/ARP1/NA/NA/NA/AP40/RPL7B/NA/EMB2296/NA/PGY1/RPL24A/NA/NA/NA/UBI6/NA/NA/NA/SAC56/RACK1C/NA/RPL36aA/NA/NA/NA/NA/NA/RPL24/NA/RPL23A2/NA/ARS27A/UBQ5/NA/ATRPS13A/NA/rps15ae/NA/NA/NA/RPL4/NA/NA/RPS11-BETA/NA/NA/NA/NA",55
"GO:0005875","GO:0005875","microtubule associated complex","26/1130","69/25124",7.87406076394459e-18,2.07350266783874e-16,1.14657376036386e-16,"ARK3/IQD28/NA/IQD32/NA/IQD29/Kin7.2/AtAUR2/AtAUR3/ATN/POK1/POK2/NA/KINESIN-12B/NA/ATK5/PAKRP2/NA/AtAUR1/Kin7.4/NA/NA/NA/ATK3/NA/NA",26
"GO:0005871","GO:0005871","kinesin complex","17/1130","31/25124",1.63804582124073e-15,3.98171138086209e-14,2.20174580021022e-14,"ARK3/NA/Kin7.2/POK1/POK2/NA/KINESIN-12B/NA/ATK5/PAKRP2/NA/Kin7.4/NA/NA/NA/ATK3/NA",17
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","20/1130","62/25124",1.47937589405581e-12,3.3391627322974e-11,1.84643908581402e-11,"CYCA2;3/CYCB3;1/CYCB2;3/CDKB2;2/CYCA1;1/NA/CYCB2;4/CDKB2;1/CYCA2;4/CYCB2;1/CKS2/CDKB1;2/CYC2/CDC2/CDC2B/CYCD3/CYCB2;2/CYC1/CYC1BAT/CYCD3;2",20
"GO:1902554","GO:1902554","serine/threonine protein kinase complex","20/1130","80/25124",2.62631232525498e-10,5.53276463187049e-09,3.05942348064791e-09,"CYCA2;3/CYCB3;1/CYCB2;3/CDKB2;2/CYCA1;1/NA/CYCB2;4/CDKB2;1/CYCA2;4/CYCB2;1/CKS2/CDKB1;2/CYC2/CDC2/CDC2B/CYCD3/CYCB2;2/CYC1/CYC1BAT/CYCD3;2",20
"GO:0015934","GO:0015934","large ribosomal subunit","30/1130","177/25124",3.52910985880217e-10,6.96999197113430e-09,3.85415945106027e-09,"NA/NA/NA/NA/ARP1/NA/RPL7B/EMB2296/PGY1/RPL24A/NA/NA/NA/NA/NA/SAC56/RPL36aA/NA/NA/RPL24/NA/RPL23A2/NA/NA/NA/NA/RPL4/NA/NA/NA",30
"GO:0030684","GO:0030684","preribosome","21/1130","90/25124",3.77702821916068e-10,7.02082892502809e-09,3.8822704915212e-09,"NA/NA/NOP56/NA/MEE21/ARRS1/AtPEIP1/EMB2777/EBP2/NA/NA/MEE49/NA/NA/NA/NA/NA/NA/ATFBR1/PPAN/NA",21
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","26/1130","139/25124",5.83367390845111e-10,1.02413386392808e-08,5.66309864797009e-09,"NA/NA/ARP1/NA/RPL7B/EMB2296/PGY1/RPL24A/NA/NA/NA/NA/SAC56/RPL36aA/NA/NA/RPL24/NA/RPL23A2/NA/NA/NA/NA/RPL4/NA/NA",26
"GO:0015935","GO:0015935","small ribosomal subunit","25/1130","130/25124",6.77804416501555e-10,1.12729576639206e-08,6.23354754234117e-09,"RPS15A/NA/NFD3/NA/NA/AP40/NA/NA/UBI6/NA/RACK1C/NA/NA/NA/NA/ARS27A/UBQ5/ATRPS13A/rps15ae/NA/NA/NA/NA/RPS11-BETA/NA",25
"GO:1905368","GO:1905368","peptidase complex","21/1130","93/25124",7.22610779989648e-10,1.14172503238364e-08,6.3133362883306e-09,"PAB1/EMB2719/ATS9/NA/NA/PAF2/NA/RPT1A/PBG1/RPN12a/PAA2/PAG1/NA/NA/RPT2a/AE3/ATSUG1/NA/NA/RPT3/RPN5B",21
