"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006631","GO:0006631","fatty acid metabolic process","22/280","244/21895",8.67338350344149e-13,7.28564214289085e-10,6.30874526408218e-10,"KCS1/ADS1/NA/LACS2/LACS3/ATLOX6/AtCER6/EDA17/KCS8/FDH/KCS12/ATCB5-B/CYP86A8/CER8/ATMYB30/SFAR4/ATT1/ATCCH1/KCS16/KCS19/PAS2/KCS20",22
"GO:0042335","GO:0042335","cuticle development","10/280","33/21895",7.11631185200251e-12,2.46964879073796e-09,2.13850540651621e-09,"KCS1/CER1/ABCG11/LTPG1/BDG1/AtCER6/FDH/AtLtpI-5/LTPG2/ATMIXTA",10
"GO:0010143","GO:0010143","cutin biosynthetic process","9/280","24/21895",8.89397815254966e-12,2.46964879073796e-09,2.13850540651621e-09,"ATGPAT4/LACS2/BDG1/AtLtpI-5/CER8/AtEH1/AtGPAT8/ATMIXTA/DCR",9
"GO:0080167","GO:0080167","response to karrikin","15/280","128/21895",9.98574606311939e-11,1.67760533860406e-08,1.45266326939274e-08,"ATGSTU17/CASPL2A1/NA/NA/BGLU4/FDH/GIR2/ATBFRUCT1/ATGSTU27/ATMYB94/SDR1/AtCHIL/ATFLS1/DGR2/sks17",15
"GO:0009415","GO:0009415","response to water","24/280","408/21895",6.2932471751701e-10,8.81054604523813e-08,7.62918210182901e-08,"CER1/ATGSTU17/ATOCT6/ANN1/TG/BDG1/AKT1/ATGSTF10/AtLtpI-5/ANNAT4/ANN3/GPDHC1/AtLtpI-6/ASPG1/ATGRP-5/ATMYB94/ATCML9/ATWRKY70/ATRD22/RS5/CYP707A3/COR78/ATPLC/ANNAT2",24
"GO:0001101","GO:0001101","response to acid chemical","24/280","440/21895",2.81616889738296e-09,2.6284243042241e-07,2.27599147145219e-07,"CER1/ATGSTU17/ATOCT6/ANN1/TG/BDG1/AKT1/ATGSTF10/AtLtpI-5/ANNAT4/ANN3/GPDHC1/AtLtpI-6/ASPG1/ATGRP-5/ATMYB94/ATCML9/ATWRKY70/ATRD22/RS5/CYP707A3/COR78/ATPLC/ANNAT2",24
"GO:0010025","GO:0010025","wax biosynthetic process","7/280","34/21895",2.07773025746702e-07,1.52764775811162e-05,1.32281278302648e-05,"KCS1/CER1/LACS2/ABCG12/AtCER6/CER8/ATMYB94",7
"GO:1901568","GO:1901568","fatty acid derivative metabolic process","8/280","50/21895",2.18235394015946e-07,1.52764775811162e-05,1.32281278302648e-05,"KCS1/CER1/LACS2/ABCG12/AtCER6/CER8/ATMYB94/FAR1",8
"GO:0008544","GO:0008544","epidermis development","5/280","18/21895",2.46732521317314e-06,0.000121914892886202,0.000105567908501712,"AtEGL3/FDH/PDF2/ATML1/GL3",5
"GO:0009913","GO:0009913","epidermal cell differentiation","5/280","18/21895",2.46732521317314e-06,0.000121914892886202,0.000105567908501712,"AtEGL3/FDH/PDF2/ATML1/GL3",5
