"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016144","GO:0016144","S-glycoside biosynthetic process","20/73","52/21895",1.92527644661487e-37,2.95850813963151e-35,1.99958536209825e-35,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
"GO:0019758","GO:0019758","glycosinolate biosynthetic process","20/73","52/21895",1.92527644661487e-37,2.95850813963151e-35,1.99958536209825e-35,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
"GO:0019761","GO:0019761","glucosinolate biosynthetic process","20/73","52/21895",1.92527644661487e-37,2.95850813963151e-35,1.99958536209825e-35,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
"GO:1901659","GO:1901659","glycosyl compound biosynthetic process","20/73","74/21895",8.55343477127795e-34,9.85783357389784e-32,6.66267550604809e-32,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","22/73","155/21895",2.01588054617449e-30,1.85864186357288e-28,1.25621187719505e-28,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79B2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/ATCYSD2/AtATR1/AtMYB28",22
"GO:0016143","GO:0016143","S-glycoside metabolic process","20/73","125/21895",9.23370112020361e-29,5.32092027051733e-27,3.59628359418457e-27,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
"GO:0019757","GO:0019757","glycosinolate metabolic process","20/73","125/21895",9.23370112020361e-29,5.32092027051733e-27,3.59628359418457e-27,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
"GO:0019760","GO:0019760","glucosinolate metabolic process","20/73","125/21895",9.23370112020361e-29,5.32092027051733e-27,3.59628359418457e-27,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
"GO:0044550","GO:0044550","secondary metabolite biosynthetic process","21/73","173/21895",1.55409879524628e-27,7.96043938453927e-26,5.38027185254852e-26,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79B2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",21
"GO:1901657","GO:1901657","glycosyl compound metabolic process","20/73","200/21895",1.74921900564753e-24,8.06389961603513e-23,5.45019816496495e-23,"BUS1/UGT74B1/FMO/ATSOT18/AKN1/ALF1/ATLEUD1/BCAT4/IPMI1/BASS5/CYP83A1/ATR4/AKN2/CYP79A2/ATMYB29/AtMYB76/ATIMD1/GSM1/AtATR1/AtMYB28",20
