"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015165","GO:0015165","pyrimidine nucleotide-sugar transmembrane transporter activity","5/370","23/21875",3.52788894312397e-05,0.013547093541596,0.0123290434643911,"ATUTR3/NA/ATUTR1/UGNT1/ROCK1",5
"GO:0005338","GO:0005338","nucleotide-sugar transmembrane transporter activity","5/370","27/21875",8.00620762823672e-05,0.0153719186462145,0.0139897943819715,"ATUTR3/NA/ATUTR1/UGNT1/ROCK1",5
"GO:0003756","GO:0003756","protein disulfide isomerase activity","4/370","23/21875",0.000552820074390421,0.0530707271414805,0.0482990170256895,"ATPDI10/ATPDI4/ATPDI12/ATPDI1",4
"GO:0016864","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","4/370","23/21875",0.000552820074390421,0.0530707271414805,0.0482990170256895,"ATPDI10/ATPDI4/ATPDI12/ATPDI1",4
"GO:0000774","GO:0000774","adenyl-nucleotide exchange factor activity","3/370","12/21875",0.000942706122679438,0.060333191851484,0.0549084969701006,"ATBAG4/NA/ATBAG3",3
"GO:0005459","GO:0005459","UDP-galactose transmembrane transporter activity","3/370","12/21875",0.000942706122679438,0.060333191851484,0.0549084969701006,"ATUTR3/NA/ATUTR1",3
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","3/370","20/21875",0.00441892093454527,0.212108204858173,0.19303707240382,"NA/NA/NA",3
"GO:0019902","GO:0019902","phosphatase binding","3/370","20/21875",0.00441892093454527,0.212108204858173,0.19303707240382,"NA/NA/ARAC10",3
"GO:0060590","GO:0060590","ATPase regulator activity","3/370","21/21875",0.00509144852763242,0.217235137178983,0.197703030546662,"ATBAG4/NA/ATBAG3",3
"GO:0015932","GO:0015932","nucleobase-containing compound transmembrane transporter activity","6/370","108/21875",0.0101600280162986,0.256235465424348,0.23319675033137,"ATUTR3/NA/ATUTR1/UGNT1/AAC2/ROCK1",6
"GO:0019899","GO:0019899","enzyme binding","16/370","499/21875",0.0114009791554756,0.256235465424348,0.23319675033137,"PATL2/NA/NA/NA/MAPKKK17/NA/ATROPGEF4/NA/NA/DER1/AP4B/PAM1/AtPERK8/ATMYA2/NA/ARAC10",16
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","3/370","28/21875",0.0114951723201439,0.256235465424348,0.23319675033137,"NA/NA/NA",3
"GO:0004602","GO:0004602","glutathione peroxidase activity","2/370","10/21875",0.0117372583405206,0.256235465424348,0.23319675033137,"ATGPX2/ATGPX3",2
"GO:0061135","GO:0061135","endopeptidase regulator activity","3/370","29/21875",0.0126635884969741,0.256235465424348,0.23319675033137,"NA/NA/NA",3
"GO:0002020","GO:0002020","protease binding","2/370","11/21875",0.0141864311611889,0.256235465424348,0.23319675033137,"PATL2/DER1",2
"GO:0003905","GO:0003905","alkylbase DNA N-glycosylase activity","2/370","11/21875",0.0141864311611889,0.256235465424348,0.23319675033137,"NA/NA",2
"GO:0008725","GO:0008725","DNA-3-methyladenine glycosylase activity","2/370","11/21875",0.0141864311611889,0.256235465424348,0.23319675033137,"NA/NA",2
"GO:0043733","GO:0043733","DNA-3-methylbase glycosylase activity","2/370","11/21875",0.0141864311611889,0.256235465424348,0.23319675033137,"NA/NA",2
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","10/370","264/21875",0.0148619599515046,0.256235465424348,0.23319675033137,"NA/NA/NA/NA/NA/ATINT4/UGNT1/AAC2/CCX2/ATSTP13",10
"GO:0030414","GO:0030414","peptidase inhibitor activity","3/370","31/21875",0.0151972785277948,0.256235465424348,0.23319675033137,"NA/NA/NA",3
"GO:1901505","GO:1901505","carbohydrate derivative transmembrane transporter activity","6/370","118/21875",0.0152268503831961,0.256235465424348,0.23319675033137,"ATUTR3/NA/ATUTR1/UGNT1/AAC2/ROCK1",6
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","4/370","58/21875",0.016685301797411,0.256235465424348,0.23319675033137,"ATPDI10/ATPDI4/ATPDI12/ATPDI1",4
"GO:0017137","GO:0017137","Rab GTPase binding","4/370","58/21875",0.016685301797411,0.256235465424348,0.23319675033137,"NA/NA/PAM1/ATMYA2",4
"GO:0070403","GO:0070403","NAD+ binding","2/370","12/21875",0.0168351761688907,0.256235465424348,0.23319675033137,"UXS5/ATUXS3",2
"GO:0061134","GO:0061134","peptidase regulator activity","3/370","33/21875",0.0179960790866219,0.256235465424348,0.23319675033137,"NA/NA/NA",3
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","5/370","91/21875",0.0191876843926669,0.256235465424348,0.23319675033137,"NA/ATBAG4/NA/ATBAG3/PAM1",5
"GO:0016857","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","3/370","34/21875",0.0194955806748926,0.256235465424348,0.23319675033137,"ATMUM4/NA/ATUGE2",3
"GO:0061630","GO:0061630","ubiquitin protein ligase activity","9/370","236/21875",0.019502104498266,0.256235465424348,0.23319675033137,"NA/NA/AtHrd1B/ATVSR3/RGLG1/PRT1/NA/RIN2/NA",9
"GO:0061659","GO:0061659","ubiquitin-like protein ligase activity","9/370","237/21875",0.0199818421298347,0.256235465424348,0.23319675033137,"NA/NA/AtHrd1B/ATVSR3/RGLG1/PRT1/NA/RIN2/NA",9
"GO:0019901","GO:0019901","protein kinase binding","5/370","92/21875",0.0200183957362772,0.256235465424348,0.23319675033137,"NA/MAPKKK17/AP4B/AtPERK8/ARAC10",5
"GO:0015293","GO:0015293","symporter activity","3/370","36/21875",0.0226954972974318,0.264167779323076,0.240415851796221,"NA/ATINT4/ATSTP13",3
"GO:0004656","GO:0004656","procollagen-proline 4-dioxygenase activity","2/370","14/21875",0.0227019185355769,0.264167779323076,0.240415851796221,"AT-P4H-2/NA",2
"GO:0031545","GO:0031545","peptidyl-proline 4-dioxygenase activity","2/370","14/21875",0.0227019185355769,0.264167779323076,0.240415851796221,"AT-P4H-2/NA",2
"GO:0019798","GO:0019798","procollagen-proline dioxygenase activity","2/370","15/21875",0.0259056607617315,0.288299877168814,0.26237817768653,"AT-P4H-2/NA",2
"GO:0016831","GO:0016831","carboxy-lyase activity","4/370","67/21875",0.0268097081216381,0.288299877168814,0.26237817768653,"AXS1/UXS5/PCK1/ATUXS3",4
"GO:0051087","GO:0051087","chaperone binding","3/370","39/21875",0.0279977215401491,0.288299877168814,0.26237817768653,"ATBAG4/ZR3/ATBAG3",3
"GO:0019900","GO:0019900","kinase binding","6/370","137/21875",0.0292127680813963,0.288299877168814,0.26237817768653,"NA/MAPKKK17/AP4B/AtPERK8/NA/ARAC10",6
"GO:0019903","GO:0019903","protein phosphatase binding","2/370","16/21875",0.0292804562749576,0.288299877168814,0.26237817768653,"NA/ARAC10",2
"GO:0031543","GO:0031543","peptidyl-proline dioxygenase activity","2/370","16/21875",0.0292804562749576,0.288299877168814,0.26237817768653,"AT-P4H-2/NA",2
"GO:0016209","GO:0016209","antioxidant activity","6/370","139/21875",0.0310525363407674,0.290833511094017,0.264684006807055,"CAT1/ANN1/DHAR2/ATGPX2/ATGPX3/ATPCB",6
"GO:0051020","GO:0051020","GTPase binding","6/370","139/21875",0.0310525363407674,0.290833511094017,0.264684006807055,"NA/ATROPGEF4/NA/NA/PAM1/ATMYA2",6
"GO:0030234","GO:0030234","enzyme regulator activity","14/370","479/21875",0.0343258912059852,0.298349235782526,0.271523975547694,"ESP/NA/AtPYL4/NA/NA/NA/ATBAG4/NA/CCS52A1/ATBAG3/NA/PAM1/NA/ATPMEPCRF",14
"GO:0016853","GO:0016853","isomerase activity","9/370","262/21875",0.0349189297390448,0.298349235782526,0.271523975547694,"ATPDI10/NA/ATMUM4/NA/ATPDI4/ATPDI12/ATPDI1/NA/ATUGE2",9
"GO:0017016","GO:0017016","Ras GTPase binding","5/370","107/21875",0.0353722913549475,0.298349235782526,0.271523975547694,"NA/ATROPGEF4/NA/PAM1/ATMYA2",5
"GO:0031267","GO:0031267","small GTPase binding","5/370","107/21875",0.0353722913549475,0.298349235782526,0.271523975547694,"NA/ATROPGEF4/NA/PAM1/ATMYA2",5
"GO:0016854","GO:0016854","racemase and epimerase activity","3/370","43/21875",0.0359987728348746,0.298349235782526,0.271523975547694,"ATMUM4/NA/ATUGE2",3
"GO:0031418","GO:0031418","L-ascorbic acid binding","2/370","18/21875",0.0365167033379655,0.298349235782526,0.271523975547694,"AT-P4H-2/NA",2
"GO:0051287","GO:0051287","NAD binding","4/370","75/21875",0.0383301061078867,0.306583667301054,0.279018030548109,"NA/AXS1/UXS5/ATUXS3",4
"GO:0016830","GO:0016830","carbon-carbon lyase activity","5/370","110/21875",0.0391213533795616,0.306583667301054,0.279018030548109,"AXS1/FBA6/UXS5/PCK1/ATUXS3",5
"GO:0004601","GO:0004601","peroxidase activity","5/370","112/21875",0.0417502506157962,0.320641924729315,0.291812277988302,"CAT1/ANN1/ATGPX2/ATGPX3/ATPCB",5
"GO:0030276","GO:0030276","clathrin binding","3/370","46/21875",0.0426871422037191,0.321409070710355,0.292510448124556,"AUXILIN-LIKE3/CLC3/AP4B",3
"GO:0019104","GO:0019104","DNA N-glycosylase activity","2/370","21/21875",0.048492851308802,0.358101055818846,0.325903373168467,"NA/NA",2
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","5/370","118/21875",0.0502643726284925,0.364179605459267,0.331435386547359,"CAT1/ANN1/ATGPX2/ATGPX3/ATPCB",5
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","7/370","200/21875",0.0542177716508952,0.385548598406366,0.350883044602285,"ATUTR3/NA/ATUTR1/NA/UGNT1/AAC2/ROCK1",7
"GO:0003954","GO:0003954","NADH dehydrogenase activity","2/370","23/21875",0.0571548795131616,0.391623766428527,0.356411980411927,"NDB2/NA",2
"GO:0015923","GO:0015923","mannosidase activity","2/370","23/21875",0.0571548795131616,0.391623766428527,0.356411980411927,"MANIA/MNS4",2
"GO:0035091","GO:0035091","phosphatidylinositol binding","4/370","86/21875",0.0581316528292344,0.391623766428527,0.356411980411927,"AtSWAP70/NA/ATSNX1/SNX2b",4
"GO:0004842","GO:0004842","ubiquitin-protein transferase activity","13/370","473/21875",0.0601029497101405,0.397922977391275,0.362144814950393,"NA/NA/AtHrd1B/ATVSR3/RGLG1/BRG3/PRT1/NA/RIN2/NA/NA/NA/ATPUB38",13
"GO:0008509","GO:0008509","anion transmembrane transporter activity","10/370","337/21875",0.0616928292178081,0.401526210502344,0.365424073154546,"ATUTR3/PHT5;1/NA/ATUTR1/ATNRAMP3/NA/AtOM47/UGNT1/AAC2/ROCK1",10
"GO:0022804","GO:0022804","active transmembrane transporter activity","13/370","477/21875",0.0633323574382987,0.405327087605111,0.368883204728336,"NA/AtVHP2;1/NA/AHA1/NA/NA/NA/ATINT4/ABCB9/UGNT1/AAC2/CCX2/ATSTP13",13
"GO:0019787","GO:0019787","ubiquitin-like protein transferase activity","13/370","480/21875",0.0658290051258184,0.414398983087119,0.377139425397269,"NA/NA/AtHrd1B/ATVSR3/RGLG1/BRG3/PRT1/NA/RIN2/NA/NA/NA/ATPUB38",13
"GO:0015295","GO:0015295","solute:proton symporter activity","2/370","27/21875",0.0759057015898843,0.463438467940623,0.421769658323155,"ATINT4/ATSTP13",2
"GO:0015144","GO:0015144","carbohydrate transmembrane transporter activity","4/370","95/21875",0.0776851937783108,0.463438467940623,0.421769658323155,"NA/AtERDL6/ATINT4/ATSTP13",4
"GO:0005509","GO:0005509","calcium ion binding","8/370","263/21875",0.0794283480518165,0.463438467940623,0.421769658323155,"ANN1/ATVSR3/MANIA/NDB2/NA/MNS4/NA/ANNAT2",8
"GO:0031406","GO:0031406","carboxylic acid binding","4/370","96/21875",0.0800377906992467,0.463438467940623,0.421769658323155,"AtPYL4/AT-P4H-2/NA/ACX2",4
"GO:0043177","GO:0043177","organic acid binding","4/370","96/21875",0.0800377906992467,0.463438467940623,0.421769658323155,"AtPYL4/AT-P4H-2/NA/ACX2",4
"GO:0008810","GO:0008810","cellulase activity","2/370","28/21875",0.0808603576875566,0.463438467940623,0.421769658323155,"ATGH9B1/AtGH9B18",2
"GO:0016682","GO:0016682","oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor","2/370","29/21875",0.0859119702201924,0.485149949478733,0.44152901103876,"NDB2/NA",2
"GO:0008289","GO:0008289","lipid binding","8/370","269/21875",0.0877030112269646,0.488086323350064,0.444201368838326,"NA/AtSWAP70/AtPYL4/NA/NA/ATSNX1/SNX2b/ACX2",8
"GO:0048029","GO:0048029","monosaccharide binding","2/370","30/21875",0.0910558629977237,0.499506448444656,0.454594684439763,"AT-P4H-2/NA",2
"GO:0004707","GO:0004707","MAP kinase activity","2/370","31/21875",0.0962874895128913,0.513533277402087,0.467360329214619,"ATMPK12/MPK9",2
"GO:0070566","GO:0070566","adenylyltransferase activity","2/370","31/21875",0.0962874895128913,0.513533277402087,0.467360329214619,"APL2/APL4",2
"GO:0016776","GO:0016776","phosphotransferase activity, phosphate group as acceptor","2/370","32/21875",0.101602429911829,0.534456617618387,0.486402404192173,"AGK2/ATVIP2",2
"GO:0050661","GO:0050661","NADP binding","3/370","67/21875",0.104550404764153,0.542531830127495,0.493751555927435,"NA/AKR4C9/NA",3
"GO:0005507","GO:0005507","copper ion binding","6/370","191/21875",0.106268211184017,0.544093241262169,0.495172577025877,"ANN1/FBA6/mMDH2/CYTC-2/AAC2/NA",6
"GO:0003924","GO:0003924","GTPase activity","6/370","194/21875",0.11222145942432,0.560865355582766,0.510436672295719,"ATRAB-A2B/GOM8/ATSGP2/ATHSGBP/ATRABA4C/ARAC10",6
"GO:0015294","GO:0015294","solute:cation symporter activity","2/370","34/21875",0.112465188489252,0.560865355582766,0.510436672295719,"ATINT4/ATSTP13",2
"GO:0016679","GO:0016679","oxidoreductase activity, acting on diphenols and related substances as donors","2/370","35/21875",0.118004773863431,0.568987637073741,0.517828660933339,"NDB2/NA",2
"GO:0015297","GO:0015297","antiporter activity","6/370","197/21875",0.118340935486264,0.568987637073741,0.517828660933339,"NA/NA/NA/UGNT1/AAC2/CCX2",6
"GO:0019200","GO:0019200","carbohydrate kinase activity","2/370","36/21875",0.123611201896725,0.568987637073741,0.517828660933339,"FRK1/GAL1",2
"GO:0016829","GO:0016829","lyase activity","9/370","343/21875",0.129472635702053,0.568987637073741,0.517828660933339,"AtDJ1B/ATMUM4/AXS1/FBA6/UXS5/NA/PCK1/AtGGCT2;1/ATUXS3",9
"GO:0051213","GO:0051213","dioxygenase activity","4/370","115/21875",0.131031727623808,0.568987637073741,0.517828660933339,"AT-P4H-2/NA/CCD4/NA",4
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","10/370","394/21875",0.133376660139684,0.568987637073741,0.517828660933339,"ATGH9B1/NA/BAM7/NA/MANIA/NA/AtGH9B18/BGLU37/MNS4/AtXTH22",10
"GO:0004713","GO:0004713","protein tyrosine kinase activity","2/370","38/21875",0.135009376531564,0.568987637073741,0.517828660933339,"NA/ATMPK12",2
"GO:0043178","GO:0043178","alcohol binding","2/370","39/21875",0.140793790314883,0.568987637073741,0.517828660933339,"NA/AtPYL4",2
"GO:0004857","GO:0004857","enzyme inhibitor activity","6/370","209/21875",0.144417529038316,0.568987637073741,0.517828660933339,"AtPYL4/NA/NA/NA/NA/ATPMEPCRF",6
"GO:1901681","GO:1901681","sulfur compound binding","2/370","41/21875",0.152515727501117,0.568987637073741,0.517828660933339,"DHAR2/NA",2
"GO:0004032","GO:0004032","alditol:NADP+ 1-oxidoreductase activity","1/370","10/21875",0.156862363283372,0.568987637073741,0.517828660933339,"AKR4C9",1
"GO:0010997","GO:0010997","anaphase-promoting complex binding","1/370","10/21875",0.156862363283372,0.568987637073741,0.517828660933339,"CCS52A1",1
"GO:0030060","GO:0030060","L-malate dehydrogenase activity","1/370","10/21875",0.156862363283372,0.568987637073741,0.517828660933339,"mMDH2",1
"GO:0055106","GO:0055106","ubiquitin-protein transferase regulator activity","1/370","10/21875",0.156862363283372,0.568987637073741,0.517828660933339,"CCS52A1",1
"GO:0070569","GO:0070569","uridylyltransferase activity","1/370","10/21875",0.156862363283372,0.568987637073741,0.517828660933339,"GLCNA.UT2",1
"GO:0022853","GO:0022853","active ion transmembrane transporter activity","6/370","217/21875",0.163139629890037,0.568987637073741,0.517828660933339,"AtVHP2;1/AHA1/ATINT4/AAC2/CCX2/ATSTP13",6
"GO:0031072","GO:0031072","heat shock protein binding","2/370","44/21875",0.170431798794038,0.568987637073741,0.517828660933339,"ATBAG4/ATBAG3",2
"GO:0003689","GO:0003689","DNA clamp loader activity","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"NA",1
"GO:0005086","GO:0005086","ARF guanyl-nucleotide exchange factor activity","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"NA",1
"GO:0008169","GO:0008169","C-methyltransferase activity","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"SMT3",1
"GO:0008199","GO:0008199","ferric iron binding","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"NA",1
"GO:0008865","GO:0008865","fructokinase activity","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"FRK1",1
"GO:0015368","GO:0015368","calcium:cation antiporter activity","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"CCX2",1
"GO:0016774","GO:0016774","phosphotransferase activity, carboxyl group as acceptor","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"ATP5CS",1
"GO:0033170","GO:0033170","protein-DNA loading ATPase activity","1/370","11/21875",0.17112995649559,0.568987637073741,0.517828660933339,"NA",1
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","9/370","368/21875",0.173406924463071,0.568987637073741,0.517828660933339,"IAR1/AtVHP2;1/AHA1/ATNRAMP3/NA/ATMGT4/ATINT4/CCX2/ATSTP13",9
"GO:0008238","GO:0008238","exopeptidase activity","3/370","85/21875",0.174220121779581,0.568987637073741,0.517828660933339,"CPY/scpl48/NA",3
"GO:0003993","GO:0003993","acid phosphatase activity","2/370","45/21875",0.17648011270502,0.568987637073741,0.517828660933339,"NA/NA",2
"GO:0009678","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","2/370","45/21875",0.17648011270502,0.568987637073741,0.517828660933339,"AtVHP2;1/AHA1",2
"GO:0030246","GO:0030246","carbohydrate binding","5/370","176/21875",0.178703260519824,0.568987637073741,0.517828660933339,"AtPP2-B1/AtPP2-B2/ArathEULS3/AT-P4H-2/NA",5
"GO:0033293","GO:0033293","monocarboxylic acid binding","2/370","46/21875",0.18256161136417,0.568987637073741,0.517828660933339,"AtPYL4/ACX2",2
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","2/370","46/21875",0.18256161136417,0.568987637073741,0.517828660933339,"CLE25/ATPUB38",2
"GO:0008252","GO:0008252","nucleotidase activity","1/370","12/21875",0.185156754707107,0.568987637073741,0.517828660933339,"AHL",1
"GO:0008381","GO:0008381","mechanosensitive ion channel activity","1/370","12/21875",0.185156754707107,0.568987637073741,0.517828660933339,"MSL4",1
"GO:0016229","GO:0016229","steroid dehydrogenase activity","1/370","12/21875",0.185156754707107,0.568987637073741,0.517828660933339,"AKR4C9",1
"GO:0016634","GO:0016634","oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor","1/370","12/21875",0.185156754707107,0.568987637073741,0.517828660933339,"ACX2",1
"GO:0052793","GO:0052793","pectin acetylesterase activity","1/370","12/21875",0.185156754707107,0.568987637073741,0.517828660933339,"PAE8",1
"GO:0016790","GO:0016790","thiolester hydrolase activity","2/370","47/21875",0.188673452355822,0.568987637073741,0.517828660933339,"ATNUDT15/GLX2-5",2
"GO:0016791","GO:0016791","phosphatase activity","8/370","327/21875",0.191382497188461,0.568987637073741,0.517828660933339,"NA/NA/PTPMT1/ATHPP2C5/APD8/NA/AHL/HAI1",8
"GO:0004709","GO:0004709","MAP kinase kinase kinase activity","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"MAPKKK17",1
"GO:0015037","GO:0015037","peptide disulfide oxidoreductase activity","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"DHAR2",1
"GO:0015038","GO:0015038","glutathione disulfide oxidoreductase activity","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"DHAR2",1
"GO:0015086","GO:0015086","cadmium ion transmembrane transporter activity","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"ATNRAMP3",1
"GO:0015149","GO:0015149","hexose transmembrane transporter activity","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"ATSTP13",1
"GO:0015217","GO:0015217","ADP transmembrane transporter activity","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"AAC2",1
"GO:0016624","GO:0016624","oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"NA",1
"GO:0016778","GO:0016778","diphosphotransferase activity","1/370","13/21875",0.198946811001229,0.568987637073741,0.517828660933339,"PRS2",1
"GO:0030599","GO:0030599","pectinesterase activity","3/370","91/21875",0.199789521631247,0.568987637073741,0.517828660933339,"NA/NA/ATPMEPCRF",3
"GO:0005048","GO:0005048","signal sequence binding","2/370","49/21875",0.200977220458319,0.568987637073741,0.517828660933339,"NA/ERD2B",2
"GO:0004190","GO:0004190","aspartic-type endopeptidase activity","2/370","50/21875",0.207163885301981,0.568987637073741,0.517828660933339,"NA/NA",2
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","2/370","50/21875",0.207163885301981,0.568987637073741,0.517828660933339,"ATROPGEF4/NA",2
"GO:0042277","GO:0042277","peptide binding","3/370","93/21875",0.208504442492881,0.568987637073741,0.517828660933339,"NA/DHAR2/ERD2B",3
"GO:0042802","GO:0042802","identical protein binding","9/370","387/21875",0.210811996814875,0.568987637073741,0.517828660933339,"ANN1/BIM2/AtPYL4/AT-HSFA4A/CTPS4/ATOST1/BIM1/ANAC092/ATWNK8",9
