"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","GO:0009534","chloroplast thylakoid","10/36","413/25124",2.24443214507392e-10,4.09349006438441e-09,1.52080126231e-09,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1/CSP41A/ATFKBP13",10
"GO:0031976","GO:0031976","plastid thylakoid","10/36","416/25124",2.40793533199083e-10,4.09349006438441e-09,1.52080126231e-09,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1/CSP41A/ATFKBP13",10
"GO:0009535","GO:0009535","chloroplast thylakoid membrane","8/36","329/25124",1.74678328314992e-08,1.70812064492995e-07,6.34595905237134e-08,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1",8
"GO:0055035","GO:0055035","plastid thylakoid membrane","8/36","335/25124",2.00955369991759e-08,1.70812064492995e-07,6.34595905237134e-08,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1",8
"GO:0042651","GO:0042651","thylakoid membrane","8/36","363/25124",3.73838294182655e-08,2.16385784822919e-07,8.03910036493817e-08,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1",8
"GO:0034357","GO:0034357","photosynthetic membrane","8/36","364/25124",3.81857267334563e-08,2.16385784822919e-07,8.03910036493817e-08,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1",8
"GO:0010319","GO:0010319","stromule","4/36","35/25124",1.80047125596767e-07,8.74514610041441e-07,3.24897068746046e-07,"CRB/AOR/ATBCA1/CSP41A",4
"GO:0009543","GO:0009543","chloroplast thylakoid lumen","4/36","45/25124",5.07144324068383e-07,1.91587855759167e-06,7.11781507464397e-07,"PnsL2/NA/PnsL1/ATFKBP13",4
"GO:0031978","GO:0031978","plastid thylakoid lumen","4/36","45/25124",5.07144324068383e-07,1.91587855759167e-06,7.11781507464397e-07,"PnsL2/NA/PnsL1/ATFKBP13",4
"GO:0009521","GO:0009521","photosystem","4/36","47/25124",6.05876669504771e-07,2.05998067631622e-06,7.65317898321815e-07,"PnsL2/Lhca5/NA/PnsL1",4
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","3/36","13/25124",7.65104472232757e-07,2.36486836871943e-06,8.78588867635702e-07,"NDF2/NDH-O/CRR7",3
"GO:0031977","GO:0031977","thylakoid lumen","4/36","61/25124",1.74754332796249e-06,4.9513727625604e-06,1.8395192925921e-06,"PnsL2/NA/PnsL1/ATFKBP13",4
"GO:0048046","GO:0048046","apoplast","6/36","301/25124",4.04965210870179e-06,1.05913978227585e-05,3.93488464003413e-06,"CRB/AOR/AGT/ATBCA1/CSP41A/ATGER3",6
"GO:0009654","GO:0009654","photosystem II oxygen evolving complex","3/36","23/25124",4.69131364520371e-06,1.1393190281209e-05,4.23276419116124e-06,"PnsL2/NA/PnsL1",3
"GO:0009523","GO:0009523","photosystem II","3/36","33/25124",1.4311097533122e-05,3.24384877417432e-05,1.2051450554208e-05,"PnsL2/NA/PnsL1",3
"GO:0019898","GO:0019898","extrinsic component of membrane","3/36","76/25124",0.000176757719532273,0.00037561015400608,0.000139545568051795,"PnsL2/NA/PnsL1",3
"GO:1990204","GO:1990204","oxidoreductase complex","3/36","141/25124",0.00107872449920568,0.00215744899841135,0.000801529039657469,"PnsL2/NA/PnsL1",3
"GO:0010287","GO:0010287","plastoglobule","2/36","67/25124",0.00416280164876314,0.00786306978099705,0.0029212643149215,"CRB/CSP41A",2
"GO:0005777","GO:0005777","peroxisome","3/36","324/25124",0.0110782183789325,0.0188329712441853,0.00699676950248369,"CRB/DHNS/AGT",3
"GO:0042579","GO:0042579","microbody","3/36","324/25124",0.0110782183789325,0.0188329712441853,0.00699676950248369,"CRB/DHNS/AGT",3
"GO:0009522","GO:0009522","photosystem I","1/36","17/25124",0.0240895201203485,0.0390020801948499,0.0144899369144953,"Lhca5",1
"GO:0031012","GO:0031012","extracellular matrix","1/36","21/25124",0.0296751139794097,0.0458615397863604,0.017038342954685,"ATGER3",1
"GO:0009706","GO:0009706","chloroplast inner membrane","1/36","65/25124",0.0891015236754321,0.13171529586803,0.0489344752450886,"AtLrgB",1
"GO:0009528","GO:0009528","plastid inner membrane","1/36","69/25124",0.0943249887374579,0.133627067378065,0.0496447309144515,"AtLrgB",1
