"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","GO:0009534","chloroplast thylakoid","10/36","413/25124",2.24443214507392e-10,4.09349006438441e-09,1.52080126231e-09,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1/CSP41A/ATFKBP13",10
"GO:0031976","GO:0031976","plastid thylakoid","10/36","416/25124",2.40793533199083e-10,4.09349006438441e-09,1.52080126231e-09,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1/CSP41A/ATFKBP13",10
"GO:0042651","GO:0042651","thylakoid membrane","8/36","363/25124",3.73838294182655e-08,2.16385784822919e-07,8.03910036493817e-08,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1",8
"GO:0034357","GO:0034357","photosynthetic membrane","8/36","364/25124",3.81857267334563e-08,2.16385784822919e-07,8.03910036493817e-08,"PnsL2/Lhca5/NDF2/NDH-O/NA/PnsL1/CRR6/ATBCA1",8
"GO:0010319","GO:0010319","stromule","4/36","35/25124",1.80047125596767e-07,8.74514610041441e-07,3.24897068746046e-07,"CRB/AOR/ATBCA1/CSP41A",4
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)","3/36","13/25124",7.65104472232757e-07,2.36486836871943e-06,8.78588867635702e-07,"NDF2/NDH-O/CRR7",3
"GO:0031977","GO:0031977","thylakoid lumen","4/36","61/25124",1.74754332796249e-06,4.9513727625604e-06,1.8395192925921e-06,"PnsL2/NA/PnsL1/ATFKBP13",4
"GO:0048046","GO:0048046","apoplast","6/36","301/25124",4.04965210870179e-06,1.05913978227585e-05,3.93488464003413e-06,"CRB/AOR/AGT/ATBCA1/CSP41A/ATGER3",6
"GO:0019898","GO:0019898","extrinsic component of membrane","3/36","76/25124",0.000176757719532273,0.00037561015400608,0.000139545568051795,"PnsL2/NA/PnsL1",3
"GO:1990204","GO:1990204","oxidoreductase complex","3/36","141/25124",0.00107872449920568,0.00215744899841135,0.000801529039657469,"PnsL2/NA/PnsL1",3
"GO:0010287","GO:0010287","plastoglobule","2/36","67/25124",0.00416280164876314,0.00786306978099705,0.0029212643149215,"CRB/CSP41A",2
"GO:0005777","GO:0005777","peroxisome","3/36","324/25124",0.0110782183789325,0.0188329712441853,0.00699676950248369,"CRB/DHNS/AGT",3
"GO:0042579","GO:0042579","microbody","3/36","324/25124",0.0110782183789325,0.0188329712441853,0.00699676950248369,"CRB/DHNS/AGT",3
"GO:0031012","GO:0031012","extracellular matrix","1/36","21/25124",0.0296751139794097,0.0458615397863604,0.017038342954685,"ATGER3",1
