"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","39/179","162/21875",1.08465794674463e-46,1.7571458737263e-44,1.41576405680352e-44,"AtTPX2/ADL6/ATNACK1/NA/DRP5A/ZCF125/NA/NA/NA/RSW7/NA/NA/NA/NA/POK1/POK2/ARC5/NA/KINESIN-12B/NA/ADL1E/ATK5/CORD3/PAKRP2/NA/NA/TPXL3/NA/Kin7.4/NA/EMB3013/NA/NA/ADL1/ATMAP65-3/NA/NA/KAC2/ATEB1C",39
"GO:0003777","GO:0003777","microtubule motor activity","26/179","65/21875",6.30301655337492e-38,2.55272170411684e-36,2.05677382268024e-36,"ATNACK1/NA/ZCF125/NA/NA/RSW7/NA/NA/NA/NA/POK1/POK2/NA/KINESIN-12B/NA/ATK5/PAKRP2/NA/Kin7.4/NA/NA/NA/NA/NA/NA/KAC2",26
"GO:0019887","GO:0019887","protein kinase regulator activity","10/179","92/21875",4.22505357559121e-09,8.5557334905722e-08,6.89350846543829e-08,"AtTPX2/CYCA2;3/CYCB2;3/CYCA1;1/CYCB2;4/CYCA2;4/CYCB2;1/CKS2/TPXL3/CYC1",10
"GO:0030332","GO:0030332","cyclin binding","4/179","10/21875",8.76155643106421e-07,1.29033831075673e-05,1.03964880138944e-05,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0008353","GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","4/179","28/21875",7.61299889581387e-05,0.00102775485093487,0.00082808058164993,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","4/179","33/21875",0.000147369823904639,0.00170527939089654,0.00137397429805829,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","4/179","33/21875",0.000147369823904639,0.00170527939089654,0.00137397429805829,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0003924","GO:0003924","GTPase activity","8/179","194/21875",0.000203063806149514,0.00219308910641475,0.00176701136579226,"ADL6/DRP5A/TBB7/AtRABA1g/ARC5/ADL1E/ARAC7/ADL1",8
"GO:0008139","GO:0008139","nuclear localization sequence binding","3/179","18/21875",0.000401624484127343,0.00366788556192135,0.00295528141441356,"IMPA-6/NA/ATIMPALPHA3",3
"GO:0061608","GO:0061608","nuclear import signal receptor activity","3/179","18/21875",0.000401624484127343,0.00366788556192135,0.00295528141441356,"IMPA-6/NA/ATIMPALPHA3",3
"GO:0004520","GO:0004520","endodeoxyribonuclease activity","3/179","33/21875",0.00245412315648779,0.0172855631022184,0.0139272893091298,"HIGLE/AtSEND1/NA",3
"GO:0019901","GO:0019901","protein kinase binding","4/179","92/21875",0.00692643329976202,0.0400743640914802,0.0322886364349808,"CKS2/ARAC7/ADL1/ANQ1",4
