"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir05Ox-b21110.2","Chir05Ox-b21110.2","AT3G55500","ATEXPA16",2.4836894808491,0.403,0.002,0.775316160381665,2,0,0,NA,NA,"extracellular region, plant-type cell wall loosening, plant-type cell wall organization, syncytium formation, unidimensional cell growth","GEP_28"
"Chir01Ox-b08370.2","Chir01Ox-b08370.2","AT1G08810","AtMYB60",1.14545596297234,0.459,0.003,0.644664231592264,4,0,0,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of response to water deprivation, nucleus, response to abscisic acid, response to absence of light, response to auxin, response to blue light, response to cold, response to light stimulus, response to salt, response to sucrose, response to UV, response to water deprivation, stomatal movement, transcription cis-regulatory region binding","GEP_28"
"Chir01Ox-b17020.2","Chir01Ox-b17020.2","AT1G16960","F17F16.18",1.62588318479544,0.525,0.004,0.467131038826758,11,0,0,NA,NA,"biological_process, cytoplasm, molecular_function","GEP_28"
"Chir08Ox-b21640.2","Chir08Ox-b21640.2",NA,NA,1.32339100654408,0.116,0.006,0.359379119710611,17,4.58101348127957e-69,9.00627250419564e-65,NA,NA,NA,"GEP_28"
"Chir07Ox-b15170.2","Chir07Ox-b15170.2","AT4G18280","GRPL1",4.42291865662746,0.431,0.013,0.616010614364878,5,0,0,NA,NA,"cellular_component, molecular_function, response to stress","GEP_28"
"Chir03Ox-b30540.2","Chir03Ox-b30540.2","AT2G16630","FOCL1",1.08415046589607,0.331,0.015,0.417686535517951,14,3.04323179929152e-235,5.98299371740714e-231,NA,NA,"extracellular region, molecular_function, stomatal complex development","GEP_28"
"Chir01Ox-b27220.2","Chir01Ox-b27220.2",NA,NA,3.36524241837901,0.42,0.018,0.427224586141024,13,0,0,NA,NA,NA,"GEP_28"
"Chir08Ox-b30170.2","Chir08Ox-b30170.2","AT5G66400","RAB18",3.50225028150225,0.298,0.025,0.532357023135391,9,1.89906873758229e-120,3.73356913808678e-116,NA,NA,"cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation","GEP_28"
"Chir05Ox-b12230.2","Chir05Ox-b12230.2","AT3G47380","AtPMEI11",2.46186373272446,0.68,0.03,0.328291919977264,19,0,0,NA,NA,"apoplast, enzyme inhibitor activity, extracellular region, negative regulation of catalytic activity, pectinesterase inhibitor activity, plant-type cell wall organization or biogenesis","GEP_28"
"Chir06Ox-b17360.2","Chir06Ox-b17360.2","AT5G22390","MWD9.19",1.73722453577329,0.354,0.042,0.205175629153358,25,5.13032640920613e-98,1.00862217204993e-93,NA,NA,"cellular response to oxygen-containing compound, chlorophyll biosynthetic process, hormone-mediated signaling pathway, molecular_function, nucleus, response to abscisic acid, response to light stimulus, response to organonitrogen compound, response to wounding","GEP_28"
