"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b11410.2","AT5G25980","BGLU37",3.25352866372952,0.481,0.001,0,0,NA,NA,"apoplast, beta-glucosidase activity, carbohydrate metabolic process, chloroplast, cytosolic ribosome, defense response to insect, extracellular region, glucosinolate catabolic process, glucosinolate glucohydrolase activity, peroxisome, plant-type vacuole, plasmodesma, plastid, regulation of stomatal movement, response to abscisic acid, secretory vesicle, thioglucosidase activity","DEGs"
"Chir07Ox-b15170.2","AT4G18280","GRPL1",1.79626145243697,0.811,0.013,0,0,NA,NA,"cellular_component, molecular_function, response to stress","DEGs"
"Chir01Ox-b27220.2",NA,NA,2.77174141022222,0.868,0.017,0,0,NA,NA,NA,"DEGs"
"Chir08Ox-b30160.2","AT5G66440","K1F13.9",2.33936109937097,0.915,0.019,0,0,NA,NA,"defense response to other organism, molecular_function, nucleus, regulation of developmental process, response to fungus","DEGs"
"Chir06Ox-b13660.2",NA,NA,6.72628791926924,0.792,0.02,0,0,NA,NA,NA,"DEGs"
"Chir08Ox-b30170.2","AT5G66400","RAB18",1.0941987310042,0.292,0.025,1.0872699651661e-66,2.13757275151656e-62,NA,NA,"cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation","DEGs"
"Chir04Ox-b09930.2","AT2G28410","T1B3.7",3.32696347552314,0.84,0.032,0,0,NA,NA,"cell differentiation, membrane, meristem development, molecular_function","DEGs"
"Chir01Ox-b25590.2","AT1G25230","F4F7.38",1.00920980967381,0.802,0.034,0,0,NA,NA,"acid phosphatase activity, cellular catabolic process, extracellular region, ferric iron binding, ferrous iron binding, growth, organic acid metabolic process, organic substance catabolic process, protein-containing complex assembly, response to light intensity","DEGs"
"Chir04Ox-b28960.2","AT2G46070","ATMPK12",1.43670013806892,0.906,0.04,0,0,NA,NA,"ATP binding, cellular response to carbon dioxide, cytoplasm, intracellular signal transduction, kinase activity, MAP kinase activity, nucleus, protein autophosphorylation, protein binding, protein serine/threonine kinase activity, protein tyrosine kinase activity, regulation of stomatal closure, regulation of stomatal movement, response to auxin, response to indolebutyric acid, signal transduction","DEGs"
"Chir06Ox-b11500.2",NA,NA,7.35566501489788,0.896,0.041,0,0,NA,NA,NA,"DEGs"
